      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 58.497  , 74.760 ,    62.680     ,   51.127   ,     55.690     ,  96.320   , 10.205 ,   16.429   ,  82.361   ,    8.950
   bottle_cap    , 71.977  , 85.025 ,    67.680     ,   59.932   ,     63.536     ,  98.663   , 25.223 ,   31.504   ,  94.797   ,   18.697
 button_battery  , 52.002  , 69.798 ,    54.048     ,   63.595   ,     76.206     ,  94.255   , 5.004  ,   10.850   ,  82.917   ,    5.736
     end_cap     , 57.412  , 71.483 ,    59.014     ,   65.281   ,     73.540     ,  87.191   , 0.713  ,   2.273    ,  67.261   ,    1.150
     eraser      , 89.183  , 94.865 ,    86.284     ,   87.235   ,     79.599     ,  99.078   , 32.231 ,   35.772   ,  95.712   ,   21.782
    fire_hood    , 73.280  , 84.130 ,    82.408     ,   74.239   ,     69.672     ,  98.527   , 34.797 ,   38.672   ,  88.606   ,   23.971
      mint       , 71.094  , 92.421 ,    57.843     ,   59.676   ,     65.064     ,  92.769   , 6.370  ,   13.211   ,  76.851   ,    7.073
     mounts      , 81.046  , 90.874 ,    71.335     ,   56.809   ,     62.147     ,  96.980   , 16.294 ,   21.962   ,  93.281   ,   12.336
       pcb       , 58.625  , 73.746 ,    59.821     ,   68.093   ,     76.042     ,  92.671   , 2.007  ,   4.679    ,  74.872   ,    2.396
  phone_battery  , 69.077  , 83.367 ,    54.411     ,   52.171   ,     59.551     ,  96.482   , 12.075 ,   17.432   ,  88.193   ,    9.548
   plastic_nut   , 65.160  , 80.491 ,    57.361     ,   44.441   ,     50.746     ,  96.810   , 13.971 ,   21.247   ,  86.326   ,   11.886
  plastic_plug   , 64.297  , 83.831 ,    60.858     ,   55.207   ,     57.451     ,  98.539   , 22.465 ,   28.386   ,  94.238   ,   16.540
 porcelain_doll  , 87.541  , 94.087 ,    82.091     ,   76.871   ,     66.923     ,  97.995   , 19.507 ,   29.274   ,  93.897   ,   17.147
    regulator    , 38.021  , 59.847 ,    41.544     ,   21.408   ,     41.423     ,  92.496   , 0.265  ,   0.812    ,  79.883   ,    0.407
rolled_strip_base, 66.544  , 84.034 ,    62.180     ,   79.976   ,     82.545     ,  98.839   , 16.797 ,   19.814   ,  97.045   ,   10.996
  sim_card_set   , 27.542  , 55.178 ,    55.371     ,   50.698   ,     67.433     ,  98.022   , 7.431  ,   15.561   ,  89.475   ,    8.437
     switch      , 71.528  , 84.793 ,    66.217     ,   68.707   ,     69.395     ,  84.044   , 2.701  ,   6.710    ,  74.450   ,    3.471
      tape       , 90.654  , 95.603 ,    90.822     ,   88.544   ,     83.636     ,  99.216   , 35.823 ,   45.505   ,  97.603   ,   29.454
  terminalblock  , 56.771  , 75.525 ,    60.056     ,   61.870   ,     70.718     ,  96.497   , 7.078  ,   12.191   ,  91.382   ,    6.491
   toothbrush    , 72.753  , 79.678 ,    55.026     ,   60.705   ,     71.134     ,  89.582   , 3.678  ,   7.547    ,  71.276   ,    3.921
       toy       , 63.958  , 80.031 ,    50.875     ,   59.962   ,     73.793     ,  90.113   , 1.089  ,   3.227    ,  72.569   ,    1.640
    toy_brick    , 82.958  , 91.314 ,    82.732     ,   83.665   ,     75.145     ,  98.602   , 38.479 ,   43.722   ,  92.615   ,   27.977
   transistor1   , 71.208  , 85.792 ,    60.994     ,   67.405   ,     72.928     ,  96.434   , 6.586  ,   13.118   ,  86.844   ,    7.019
     u_block     , 73.299  , 86.190 ,    70.119     ,   53.996   ,     57.738     ,  98.051   , 17.504 ,   26.456   ,  94.452   ,   15.245
       usb       , 49.877  , 64.307 ,    53.212     ,   46.439   ,     60.985     ,  94.374   , 3.358  ,   9.021    ,  74.626   ,    4.724
   usb_adaptor   , 61.514  , 82.145 ,    54.753     ,   45.396   ,     56.974     ,  96.073   , 5.336  ,   11.538   ,  84.268   ,    6.122
     vcpill      , 73.280  , 85.772 ,    76.775     ,   74.598   ,     67.769     ,  97.120   , 27.804 ,   30.727   ,  93.268   ,   18.152
  wooden_beads   , 63.265  , 81.816 ,    63.737     ,   58.939   ,     62.069     ,  96.446   , 10.089 ,   16.534   ,  91.138   ,    9.012
    woodstick    , 81.400  , 91.774 ,    87.113     ,   81.739   ,     73.333     ,  95.385   , 33.312 ,   41.450   ,  88.640   ,   26.144
     zipper      , 73.880  , 87.066 ,    56.527     ,   72.409   ,     75.712     ,  94.486   , 11.486 ,   15.493   ,  87.917   ,    8.397
       Avg       , 67.255  , 81.658 ,    64.796     ,   63.038   ,     67.297     ,  95.402   , 14.323 ,   19.704   ,  86.225   ,   11.494
