      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 72.141  , 85.151 ,    65.936     ,   51.545   ,     58.442     ,  96.135   , 9.906  ,   18.858   ,  78.350   ,   10.411
   bottle_cap    , 95.016  , 97.770 ,    84.807     ,   85.434   ,     73.469     ,  97.357   , 16.527 ,   25.505   ,  87.949   ,   14.616
 button_battery  , 75.368  , 88.007 ,    71.802     ,   79.862   ,     79.070     ,  95.536   , 39.255 ,   41.861   ,  74.782   ,   26.471
     end_cap     , 69.391  , 82.351 ,    71.479     ,   76.361   ,     74.556     ,  87.014   , 2.209  ,   7.604    ,  67.020   ,    3.952
     eraser      , 88.221  , 94.635 ,    87.685     ,   86.176   ,     77.778     ,  96.659   , 18.267 ,   23.748   ,  82.878   ,   13.474
    fire_hood    , 76.320  , 87.632 ,    71.934     ,   64.485   ,     57.669     ,  96.424   , 17.363 ,   28.118   ,  72.624   ,   16.359
      mint       , 81.467  , 95.620 ,    73.476     ,   76.370   ,     67.654     ,  95.032   , 24.007 ,   32.826   ,  67.752   ,   19.636
     mounts      , 83.292  , 91.177 ,    83.065     ,   75.877   ,     70.175     ,  97.476   , 22.914 ,   32.066   ,  88.380   ,   19.094
       pcb       , 75.042  , 87.108 ,    69.016     ,   78.402   ,     76.440     ,  94.795   , 14.571 ,   24.001   ,  71.612   ,   13.637
  phone_battery  , 75.490  , 89.410 ,    86.242     ,   83.955   ,     75.439     ,  97.938   , 18.671 ,   25.964   ,  87.673   ,   14.919
   plastic_nut   , 86.880  , 93.038 ,    78.014     ,   71.288   ,     66.171     ,  93.211   , 18.678 ,   25.258   ,  75.669   ,   14.454
  plastic_plug   , 84.069  , 91.879 ,    72.693     ,   66.069   ,     63.043     ,  94.133   , 14.673 ,   23.055   ,  76.724   ,   13.030
 porcelain_doll  , 86.356  , 84.526 ,    75.999     ,   56.720   ,     64.029     ,  92.295   , 5.513  ,   15.927   ,  72.140   ,    8.653
    regulator    , 47.716  , 68.990 ,    46.792     ,   23.701   ,     41.921     ,  77.645   , 0.366  ,   2.951    ,  42.804   ,    1.497
rolled_strip_base, 83.497  , 91.905 ,    85.239     ,   91.985   ,     87.455     ,  96.858   , 11.780 ,   20.369   ,  89.306   ,   11.339
  sim_card_set   , 91.500  , 94.626 ,    94.779     ,   94.453   ,     88.154     ,  97.127   , 35.219 ,   36.028   ,  82.969   ,   21.972
     switch      , 84.681  , 92.488 ,    71.425     ,   78.043   ,     68.783     ,  97.628   , 52.715 ,   51.474   ,  77.713   ,   34.657
      tape       , 88.385  , 93.818 ,    88.698     ,   85.997   ,     75.958     ,  97.560   , 27.475 ,   35.710   ,  89.169   ,   21.736
  terminalblock  , 93.670  , 97.232 ,    83.766     ,   87.377   ,     79.535     ,  97.516   , 15.401 ,   24.679   ,  89.778   ,   14.076
   toothbrush    , 94.730  , 97.572 ,    84.323     ,   87.664   ,     79.747     ,  91.008   , 19.497 ,   29.619   ,  74.224   ,   17.384
       toy       , 71.250  , 85.860 ,    72.705     ,   79.076   ,     77.734     ,  82.964   , 9.024  ,   17.430   ,  64.741   ,    9.547
    toy_brick    , 82.167  , 90.405 ,    68.960     ,   66.988   ,     67.436     ,  91.065   , 14.926 ,   24.544   ,  61.198   ,   13.989
   transistor1   , 82.667  , 92.462 ,    80.172     ,   85.770   ,     78.070     ,  94.572   , 21.383 ,   24.239   ,  80.389   ,   13.791
     u_block     , 96.641  , 98.298 ,    82.745     ,   73.285   ,     69.912     ,  96.587   , 26.826 ,   33.452   ,  85.564   ,   20.086
       usb       , 71.242  , 80.599 ,    70.897     ,   66.588   ,     64.055     ,  95.203   , 7.940  ,   19.441   ,  80.434   ,   10.767
   usb_adaptor   , 88.446  , 94.583 ,    76.157     ,   69.792   ,     64.042     ,  93.357   , 8.320  ,   19.875   ,  72.334   ,   11.034
     vcpill      , 88.440  , 94.315 ,    84.965     ,   84.697   ,     72.924     ,  97.478   , 44.611 ,   52.862   ,  81.828   ,   35.927
  wooden_beads   , 76.488  , 90.997 ,    81.745     ,   79.045   ,     72.864     ,  96.363   , 29.841 ,   35.905   ,  80.730   ,   21.881
    woodstick    , 82.120  , 90.219 ,    78.419     ,   64.389   ,     58.307     ,  89.512   , 21.489 ,   27.199   ,  66.104   ,   15.740
     zipper      , 99.240  , 99.634 ,    96.671     ,   97.853   ,     92.683     ,  94.286   , 23.674 ,   30.376   ,  72.127   ,   17.908
       Avg       , 82.398  , 90.744 ,    78.020     ,   75.642   ,     71.451     ,  94.024   , 19.768 ,   27.032   ,  76.499   ,   16.068
