      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.801  , 96.749 ,    87.314     ,   82.571   ,     70.693     ,  98.175   , 24.024 ,   33.518   ,  88.264   ,   20.133
   bottle_cap    , 95.795  , 98.145 ,    92.732     ,   91.475   ,     81.954     ,  99.168   , 18.471 ,   24.612   ,  95.735   ,   14.033
 button_battery  , 87.567  , 92.426 ,    86.629     ,   89.023   ,     81.718     ,  98.337   , 40.043 ,   47.872   ,  85.652   ,   31.468
     end_cap     , 91.911  , 95.462 ,    83.880     ,   85.460   ,     81.125     ,  97.448   , 7.810  ,   15.184   ,  89.927   ,    8.216
     eraser      , 94.462  , 97.110 ,    89.839     ,   86.318   ,     76.918     ,  98.608   , 19.304 ,   27.146   ,  89.742   ,   15.704
    fire_hood    , 84.868  , 91.523 ,    79.688     ,   72.941   ,     64.978     ,  98.302   , 16.378 ,   25.702   ,  85.467   ,   14.746
      mint       , 76.974  , 93.688 ,    71.632     ,   72.195   ,     65.952     ,  94.979   , 13.894 ,   26.633   ,  67.500   ,   15.362
     mounts      , 99.078  , 99.586 ,    88.061     ,   77.360   ,     77.515     ,  98.909   , 24.468 ,   30.314   ,  90.880   ,   17.865
       pcb       , 92.539  , 96.557 ,    89.690     ,   94.070   ,     84.561     ,  98.359   , 30.563 ,   39.738   ,  88.778   ,   24.796
  phone_battery  , 93.680  , 97.094 ,    92.672     ,   90.790   ,     82.440     ,  99.266   , 31.932 ,   39.923   ,  93.917   ,   24.940
   plastic_nut   , 92.407  , 95.853 ,    89.332     ,   81.765   ,     75.041     ,  99.275   , 20.080 ,   26.889   ,  95.450   ,   15.532
  plastic_plug   , 92.822  , 96.713 ,    84.493     ,   79.227   ,     70.567     ,  96.408   , 11.354 ,   20.649   ,  83.534   ,   11.513
 porcelain_doll  , 96.742  , 96.947 ,    79.957     ,   63.706   ,     65.592     ,  95.899   , 7.147  ,   15.464   ,  80.413   ,    8.380
    regulator    , 84.487  , 92.722 ,    78.425     ,   70.970   ,     61.608     ,  96.912   , 21.615 ,   30.379   ,  84.813   ,   17.910
rolled_strip_base, 99.628  , 99.838 ,    99.283     ,   99.650   ,     97.293     ,  99.408   , 20.054 ,   27.011   ,  97.119   ,   15.614
  sim_card_set   , 97.503  , 98.369 ,    94.834     ,   95.047   ,     88.569     ,  97.737   , 29.009 ,   33.980   ,  84.314   ,   20.467
     switch      , 98.646  , 99.464 ,    95.748     ,   96.932   ,     90.312     ,  99.449   , 57.915 ,   58.038   ,  94.410   ,   40.883
      tape       , 98.958  , 99.466 ,    96.991     ,   95.368   ,     89.242     ,  99.338   , 25.225 ,   33.080   ,  96.716   ,   19.818
  terminalblock  , 98.255  , 99.360 ,    96.375     ,   97.144   ,     90.547     ,  99.433   , 25.155 ,   31.806   ,  96.556   ,   18.910
   toothbrush    , 95.647  , 97.578 ,    90.268     ,   91.486   ,     83.832     ,  96.902   , 29.127 ,   38.112   ,  89.212   ,   23.542
       toy       , 91.930  , 95.468 ,    82.245     ,   86.002   ,     80.808     ,  95.185   , 9.369  ,   18.218   ,  85.369   ,   10.022
    toy_brick    , 73.590  , 84.180 ,    71.100     ,   62.145   ,     63.537     ,  95.791   , 11.281 ,   19.969   ,  72.394   ,   11.092
   transistor1   , 99.275  , 99.601 ,    97.145     ,   97.843   ,     92.710     ,  99.027   , 29.687 ,   34.466   ,  95.131   ,   20.821
     u_block     , 97.678  , 98.687 ,    90.916     ,   87.393   ,     77.537     ,  99.127   , 23.970 ,   33.086   ,  93.625   ,   19.822
       usb       , 92.808  , 95.795 ,    91.124     ,   91.161   ,     82.986     ,  99.011   , 26.227 ,   33.968   ,  93.540   ,   20.459
   usb_adaptor   , 93.855  , 97.296 ,    82.510     ,   75.889   ,     70.169     ,  95.859   , 11.180 ,   19.583   ,  77.701   ,   10.854
     vcpill      , 92.020  , 95.783 ,    91.499     ,   89.984   ,     80.972     ,  99.092   , 55.839 ,   56.642   ,  92.013   ,   39.511
  wooden_beads   , 90.817  , 96.308 ,    87.951     ,   87.606   ,     78.184     ,  98.555   , 33.271 ,   40.186   ,  87.694   ,   25.146
    woodstick    , 80.073  , 89.186 ,    81.636     ,   68.827   ,     63.343     ,  97.684   , 23.268 ,   32.164   ,  83.523   ,   19.164
     zipper      , 99.906  , 99.953 ,    99.560     ,   99.737   ,     97.427     ,  99.140   , 49.124 ,   52.422   ,  96.164   ,   35.521
       Avg       , 92.591  , 96.230 ,    88.118     ,   85.336   ,     78.938     ,  98.026   , 24.893 ,   32.225   ,  88.518   ,   19.742
