      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 89.849  , 95.050 ,    88.739     ,   85.414   ,     74.979     ,  98.582   , 46.132 ,   51.200   ,  91.071   ,   34.409
   bottle_cap    , 95.296  , 97.920 ,    93.634     ,   92.456   ,     84.251     ,  99.440   , 31.866 ,   35.154   ,  96.900   ,   21.325
 button_battery  , 87.220  , 92.839 ,    86.647     ,   89.209   ,     81.430     ,  98.602   , 49.555 ,   55.850   ,  90.175   ,   38.745
     end_cap     , 90.955  , 95.050 ,    83.130     ,   85.045   ,     80.471     ,  98.090   , 17.700 ,   25.471   ,  93.435   ,   14.594
     eraser      , 89.897  , 95.133 ,    89.557     ,   86.387   ,     76.495     ,  99.281   , 35.744 ,   40.297   ,  94.977   ,   25.232
    fire_hood    , 80.865  , 89.123 ,    81.049     ,   73.236   ,     67.594     ,  98.521   , 22.190 ,   31.800   ,  87.992   ,   18.906
      mint       , 71.479  , 91.392 ,    71.588     ,   70.089   ,     66.317     ,  94.826   , 21.469 ,   30.966   ,  69.374   ,   18.319
     mounts      , 98.917  , 99.498 ,    89.233     ,   81.241   ,     77.279     ,  99.426   , 41.519 ,   43.875   ,  96.174   ,   28.103
       pcb       , 90.955  , 95.960 ,    91.108     ,   94.909   ,     85.880     ,  99.015   , 52.604 ,   54.444   ,  93.464   ,   37.404
  phone_battery  , 93.337  , 96.886 ,    94.121     ,   92.487   ,     85.086     ,  99.583   , 52.699 ,   56.514   ,  96.566   ,   39.386
   plastic_nut   , 93.018  , 96.725 ,    90.350     ,   84.096   ,     77.025     ,  99.541   , 38.569 ,   42.014   ,  97.078   ,   26.594
  plastic_plug   , 92.892  , 96.773 ,    89.918     ,   85.933   ,     78.348     ,  98.987   , 28.825 ,   35.672   ,  94.894   ,   21.708
 porcelain_doll  , 95.548  , 97.881 ,    88.299     ,   81.386   ,     72.847     ,  98.726   , 31.823 ,   38.430   ,  93.872   ,   23.785
    regulator    , 86.059  , 93.790 ,    82.118     ,   76.183   ,     67.285     ,  97.889   , 37.841 ,   44.752   ,  90.027   ,   28.826
rolled_strip_base, 99.153  , 99.600 ,    99.126     ,   99.543   ,     97.148     ,  99.719   , 38.958 ,   44.871   ,  98.734   ,   28.925
  sim_card_set   , 98.153  , 98.990 ,    95.585     ,   95.981   ,     89.799     ,  98.637   , 48.613 ,   50.034   ,  91.174   ,   33.364
     switch      , 98.797  , 99.498 ,    96.756     ,   97.571   ,     91.611     ,  97.466   , 58.685 ,   58.876   ,  94.586   ,   41.720
      tape       , 99.036  , 99.505 ,    97.016     ,   94.908   ,     89.553     ,  99.649   , 49.864 ,   52.001   ,  98.065   ,   35.136
  terminalblock  , 98.377  , 99.369 ,    98.163     ,   98.597   ,     94.192     ,  99.791   , 47.441 ,   48.792   ,  98.620   ,   32.268
   toothbrush    , 94.408  , 96.908 ,    88.972     ,   89.833   ,     83.318     ,  97.381   , 41.170 ,   44.902   ,  90.658   ,   28.950
       toy       , 91.315  , 95.251 ,    85.146     ,   89.149   ,     81.534     ,  93.040   , 21.103 ,   29.615   ,  88.328   ,   17.381
    toy_brick    , 71.873  , 82.296 ,    68.399     ,   59.749   ,     60.951     ,  95.330   , 16.907 ,   24.796   ,  71.619   ,   14.152
   transistor1   , 98.752  , 99.334 ,    95.772     ,   97.027   ,     90.749     ,  99.151   , 50.546 ,   50.756   ,  95.834   ,   34.009
     u_block     , 96.521  , 98.193 ,    90.849     ,   86.674   ,     78.042     ,  99.314   , 43.708 ,   49.603   ,  95.299   ,   32.982
       usb       , 93.550  , 96.924 ,    92.581     ,   92.194   ,     83.691     ,  99.132   , 42.697 ,   47.348   ,  96.313   ,   31.017
   usb_adaptor   , 94.147  , 97.340 ,    82.315     ,   74.094   ,     71.035     ,  98.361   , 24.025 ,   30.884   ,  89.552   ,   18.262
     vcpill      , 97.461  , 98.772 ,    92.868     ,   92.325   ,     83.357     ,  98.963   , 66.917 ,   65.142   ,  92.611   ,   48.304
  wooden_beads   , 87.476  , 95.068 ,    86.351     ,   85.895   ,     75.706     ,  98.336   , 47.447 ,   50.380   ,  88.544   ,   33.672
    woodstick    , 74.992  , 84.968 ,    79.633     ,   63.461   ,     60.538     ,  97.276   , 30.551 ,   35.987   ,  81.817   ,   21.942
     zipper      , 99.716  , 99.837 ,    99.396     ,   99.598   ,     97.073     ,  99.359   , 68.186 ,   65.645   ,  97.165   ,   48.859
       Avg       , 91.667  , 95.862 ,    88.947     ,   86.489   ,     80.119     ,  98.380   , 40.178 ,   44.536   ,  91.831   ,   29.276
