      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 92.228  , 96.186 ,    88.125     ,   84.317   ,     74.381     ,  98.239   , 48.533 ,   52.080   ,  89.132   ,   35.208
   bottle_cap    , 94.069  , 97.375 ,    92.429     ,   91.335   ,     81.732     ,  99.418   , 38.724 ,   41.063   ,  96.703   ,   25.836
 button_battery  , 85.088  , 91.429 ,    82.754     ,   86.308   ,     79.329     ,  98.046   , 39.692 ,   53.273   ,  87.361   ,   36.308
     end_cap     , 90.342  , 95.069 ,    80.900     ,   84.249   ,     78.355     ,  97.297   , 15.856 ,   25.586   ,  91.207   ,   14.669
     eraser      , 91.339  , 95.849 ,    90.864     ,   88.807   ,     78.840     ,  99.214   , 44.818 ,   47.642   ,  94.497   ,   31.270
    fire_hood    , 81.954  , 90.173 ,    82.121     ,   74.727   ,     68.114     ,  98.619   , 28.088 ,   36.179   ,  89.852   ,   22.084
      mint       , 78.395  , 94.544 ,    73.619     ,   74.814   ,     66.865     ,  94.380   , 23.665 ,   36.489   ,  68.757   ,   22.316
     mounts      , 98.377  , 99.285 ,    88.045     ,   80.142   ,     75.269     ,  99.452   , 43.015 ,   44.531   ,  97.064   ,   28.643
       pcb       , 90.183  , 95.483 ,    89.369     ,   93.785   ,     84.765     ,  98.717   , 53.296 ,   54.989   ,  91.768   ,   37.921
  phone_battery  , 89.718  , 95.117 ,    92.460     ,   90.479   ,     81.716     ,  99.484   , 63.547 ,   58.735   ,  95.904   ,   41.578
   plastic_nut   , 93.608  , 96.728 ,    88.985     ,   82.567   ,     74.377     ,  99.380   , 41.052 ,   43.893   ,  96.164   ,   28.117
  plastic_plug   , 88.193  , 94.711 ,    87.307     ,   84.076   ,     73.796     ,  98.746   , 29.546 ,   36.639   ,  93.441   ,   22.429
 porcelain_doll  , 94.004  , 97.146 ,    87.940     ,   82.537   ,     73.035     ,  98.458   , 32.103 ,   40.181   ,  92.616   ,   25.141
    regulator    , 82.069  , 91.734 ,    73.561     ,   64.949   ,     55.766     ,  96.442   , 29.893 ,   40.308   ,  84.384   ,   25.241
rolled_strip_base, 99.045  , 99.539 ,    98.694     ,   99.310   ,     96.718     ,  99.751   , 46.652 ,   49.462   ,  98.968   ,   32.857
  sim_card_set   , 97.642  , 98.826 ,    95.353     ,   96.127   ,     89.015     ,  98.391   , 55.391 ,   55.101   ,  90.545   ,   38.027
     switch      , 97.829  , 98.975 ,    93.995     ,   95.471   ,     87.809     ,  96.775   , 58.250 ,   59.557   ,  92.650   ,   42.407
      tape       , 99.253  , 99.588 ,    96.412     ,   94.819   ,     89.470     ,  99.575   , 52.098 ,   53.571   ,  97.750   ,   36.585
  terminalblock  , 98.167  , 99.285 ,    97.450     ,   97.954   ,     92.355     ,  99.759   , 51.062 ,   49.865   ,  98.597   ,   33.213
   toothbrush    , 93.601  , 96.788 ,    88.552     ,   89.905   ,     82.743     ,  97.194   , 40.476 ,   45.166   ,  90.495   ,   29.170
       toy       , 88.706  , 93.830 ,    82.399     ,   86.982   ,     79.396     ,  91.218   , 21.002 ,   28.899   ,  85.292   ,   16.890
    toy_brick    , 75.972  , 85.951 ,    72.765     ,   65.639   ,     63.376     ,  96.548   , 21.448 ,   29.609   ,  79.892   ,   17.377
   transistor1   , 97.859  , 98.992 ,    94.020     ,   95.634   ,     88.749     ,  98.937   , 49.442 ,   48.731   ,  94.910   ,   32.215
     u_block     , 97.198  , 98.687 ,    89.030     ,   85.914   ,     77.211     ,  99.208   , 52.440 ,   54.867   ,  94.426   ,   37.804
       usb       , 93.886  , 97.120 ,    92.434     ,   92.403   ,     83.782     ,  98.859   , 44.031 ,   48.458   ,  95.168   ,   31.977
   usb_adaptor   , 89.536  , 95.002 ,    82.968     ,   78.793   ,     70.666     ,  98.247   , 31.286 ,   37.588   ,  89.283   ,   23.144
     vcpill      , 95.680  , 97.852 ,    91.782     ,   90.957   ,     81.504     ,  98.768   , 64.851 ,   64.898   ,  91.717   ,   48.036
  wooden_beads   , 89.691  , 96.000 ,    87.224     ,   86.622   ,     76.745     ,  98.009   , 48.828 ,   51.423   ,  88.104   ,   34.611
    woodstick    , 78.368  , 87.677 ,    80.689     ,   67.047   ,     62.030     ,  97.459   , 42.822 ,   46.429   ,  84.422   ,   30.233
     zipper      , 99.800  , 99.897 ,    99.161     ,   99.470   ,     96.713     ,  99.322   , 68.318 ,   65.780   ,  97.113   ,   49.009
       Avg       , 91.393  , 95.828 ,    88.047     ,   86.205   ,     78.821     ,  98.130   , 42.674 ,   46.700   ,  91.273   ,   31.011
