      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 92.291  , 96.022 ,    84.565     ,   77.798   ,     68.102     ,  98.035   , 23.017 ,   33.231   ,  87.603   ,   19.926
   bottle_cap    , 95.672  , 97.968 ,    91.137     ,   90.922   ,     81.994     ,  98.849   , 22.115 ,   27.399   ,  93.773   ,   15.874
 button_battery  , 84.553  , 91.008 ,    82.221     ,   85.680   ,     79.107     ,  97.828   , 28.484 ,   45.508   ,  83.109   ,   29.457
     end_cap     , 88.900  , 93.867 ,    79.655     ,   83.624   ,     77.338     ,  96.555   , 8.385  ,   16.229   ,  86.613   ,    8.831
     eraser      , 89.736  , 95.225 ,    88.764     ,   86.550   ,     75.523     ,  98.268   , 29.568 ,   36.702   ,  88.723   ,   22.475
    fire_hood    , 84.034  , 90.698 ,    79.659     ,   73.083   ,     65.405     ,  98.327   , 25.011 ,   30.720   ,  86.707   ,   18.148
      mint       , 78.803  , 94.646 ,    72.883     ,   74.337   ,     65.944     ,  95.345   , 16.593 ,   29.914   ,  71.518   ,   17.588
     mounts      , 97.295  , 98.705 ,    88.499     ,   81.849   ,     74.653     ,  98.972   , 29.478 ,   35.707   ,  92.184   ,   21.734
       pcb       , 88.542  , 94.795 ,    84.096     ,   90.493   ,     80.466     ,  98.117   , 31.506 ,   40.401   ,  86.862   ,   25.314
  phone_battery  , 93.244  , 96.919 ,    90.426     ,   88.054   ,     79.849     ,  99.082   , 50.659 ,   48.044   ,  92.446   ,   31.617
   plastic_nut   , 90.510  , 95.182 ,    85.341     ,   78.473   ,     70.348     ,  98.493   , 23.477 ,   30.008   ,  91.906   ,   17.652
  plastic_plug   , 87.615  , 93.963 ,    82.367     ,   76.969   ,     69.073     ,  96.986   , 16.416 ,   25.965   ,  84.344   ,   14.919
 porcelain_doll  , 96.281  , 97.945 ,    84.449     ,   76.650   ,     70.043     ,  96.182   , 19.128 ,   30.217   ,  82.361   ,   17.797
    regulator    , 72.765  , 86.787 ,    67.752     ,   56.058   ,     47.383     ,  93.299   , 15.426 ,   27.004   ,  72.580   ,   15.609
rolled_strip_base, 99.020  , 99.531 ,    98.252     ,   99.106   ,     95.616     ,  99.467   , 23.339 ,   30.977   ,  97.681   ,   18.327
  sim_card_set   , 97.528  , 98.474 ,    95.214     ,   95.206   ,     90.302     ,  97.470   , 35.602 ,   38.933   ,  84.524   ,   24.172
     switch      , 97.310  , 98.740 ,    91.562     ,   93.978   ,     85.181     ,  98.748   , 51.312 ,   53.499   ,  90.794   ,   36.518
      tape       , 99.175  , 99.586 ,    96.150     ,   94.990   ,     88.763     ,  99.282   , 31.684 ,   39.064   ,  96.165   ,   24.273
  terminalblock  , 96.984  , 98.714 ,    92.991     ,   94.378   ,     86.266     ,  99.145   , 27.546 ,   34.395   ,  94.872   ,   20.769
   toothbrush    , 94.244  , 97.082 ,    86.999     ,   88.519   ,     81.569     ,  96.697   , 30.775 ,   37.495   ,  88.138   ,   23.073
       toy       , 93.217  , 96.190 ,    78.786     ,   82.095   ,     78.976     ,  90.470   , 8.352  ,   17.034   ,  78.670   ,    9.310
    toy_brick    , 78.627  , 87.840 ,    72.817     ,   66.882   ,     62.621     ,  95.617   , 19.365 ,   27.849   ,  75.397   ,   16.177
   transistor1   , 96.064  , 98.121 ,    92.635     ,   94.489   ,     87.914     ,  98.592   , 33.560 ,   36.937   ,  92.844   ,   22.652
     u_block     , 96.747  , 98.159 ,    88.531     ,   84.976   ,     75.890     ,  98.775   , 34.652 ,   43.271   ,  90.808   ,   27.609
       usb       , 92.182  , 94.841 ,    89.487     ,   89.506   ,     81.746     ,  98.667   , 26.494 ,   34.378   ,  91.785   ,   20.757
   usb_adaptor   , 93.184  , 97.034 ,    80.837     ,   74.446   ,     69.418     ,  95.753   , 13.013 ,   21.798   ,  78.404   ,   12.232
     vcpill      , 89.803  , 94.747 ,    87.014     ,   85.582   ,     75.867     ,  98.434   , 52.737 ,   56.036   ,  87.446   ,   38.924
  wooden_beads   , 90.746  , 96.374 ,    85.427     ,   85.035   ,     75.038     ,  97.509   , 32.161 ,   38.390   ,  83.862   ,   23.755
    woodstick    , 77.792  , 88.078 ,    79.260     ,   66.615   ,     60.647     ,  96.744   , 34.109 ,   40.772   ,  79.915   ,   25.606
     zipper      , 99.379  , 99.673 ,    98.849     ,   99.288   ,     96.082     ,  99.052   , 55.225 ,   54.911   ,  95.049   ,   37.847
       Avg       , 91.075  , 95.564 ,    85.887     ,   83.854   ,     76.571     ,  97.492   , 28.306 ,   35.426   ,  86.903   ,   21.965
