      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 91.759  , 96.045 ,    87.773     ,   83.226   ,     73.929     ,  98.333   , 45.121 ,   49.984   ,  89.383   ,   33.319
   bottle_cap    , 95.738  , 97.964 ,    94.346     ,   93.581   ,     86.062     ,  99.495   , 36.757 ,   40.020   ,  97.116   ,   25.016
 button_battery  , 82.579  , 90.710 ,    81.488     ,   85.520   ,     78.784     ,  97.877   , 38.999 ,   52.120   ,  86.489   ,   35.244
     end_cap     , 90.634  , 95.277 ,    80.674     ,   84.479   ,     78.195     ,  97.225   , 18.093 ,   26.169   ,  90.892   ,   15.054
     eraser      , 90.968  , 95.521 ,    90.662     ,   88.042   ,     79.356     ,  99.342   , 43.625 ,   46.177   ,  95.200   ,   30.020
    fire_hood    , 82.608  , 90.383 ,    82.643     ,   74.775   ,     68.268     ,  98.662   , 31.456 ,   37.794   ,  90.135   ,   23.300
      mint       , 78.397  , 94.404 ,    74.130     ,   74.701   ,     66.989     ,  95.332   , 23.984 ,   35.950   ,  73.219   ,   21.914
     mounts      , 97.081  , 98.668 ,    88.440     ,   80.804   ,     75.518     ,  99.296   , 44.412 ,   46.219   ,  95.590   ,   30.055
       pcb       , 91.562  , 95.980 ,    90.631     ,   94.411   ,     86.104     ,  99.052   , 53.844 ,   54.420   ,  93.255   ,   37.381
  phone_battery  , 91.890  , 96.134 ,    93.089     ,   91.557   ,     82.650     ,  99.479   , 61.981 ,   57.911   ,  95.657   ,   40.757
   plastic_nut   , 88.541  , 94.320 ,    85.614     ,   77.740   ,     69.530     ,  99.280   , 39.335 ,   42.821   ,  95.366   ,   27.244
  plastic_plug   , 87.022  , 93.755 ,    86.016     ,   81.631   ,     72.691     ,  98.949   , 31.319 ,   37.115   ,  94.594   ,   22.786
 porcelain_doll  , 94.716  , 97.299 ,    88.757     ,   83.574   ,     75.140     ,  98.712   , 33.020 ,   40.348   ,  93.593   ,   25.273
    regulator    , 80.714  , 90.695 ,    73.848     ,   64.773   ,     56.393     ,  96.613   , 30.881 ,   39.636   ,  84.754   ,   24.716
rolled_strip_base, 97.920  , 98.912 ,    97.806     ,   98.787   ,     95.390     ,  99.717   , 43.216 ,   46.762   ,  98.806   ,   30.516
  sim_card_set   , 97.195  , 98.580 ,    95.491     ,   96.172   ,     89.115     ,  98.697   , 57.196 ,   55.934   ,  91.984   ,   38.826
     switch      , 97.828  , 98.855 ,    94.114     ,   95.565   ,     87.800     ,  96.214   , 55.861 ,   57.891   ,  91.591   ,   40.737
      tape       , 98.163  , 99.065 ,    95.957     ,   93.894   ,     88.187     ,  99.606   , 50.955 ,   53.701   ,  97.884   ,   36.707
  terminalblock  , 97.141  , 98.886 ,    96.962     ,   97.580   ,     91.671     ,  99.756   , 50.293 ,   50.075   ,  98.595   ,   33.400
   toothbrush    , 90.781  , 95.114 ,    85.420     ,   86.785   ,     80.147     ,  96.591   , 36.867 ,   41.891   ,  88.422   ,   26.495
       toy       , 89.748  , 94.595 ,    82.542     ,   87.115   ,     79.621     ,  91.655   , 21.503 ,   30.109   ,  85.214   ,   17.722
    toy_brick    , 78.406  , 86.960 ,    75.202     ,   68.291   ,     64.965     ,  96.389   , 26.175 ,   32.844   ,  79.295   ,   19.649
   transistor1   , 97.731  , 98.898 ,    93.849     ,   95.603   ,     89.155     ,  98.663   , 48.255 ,   48.545   ,  93.698   ,   32.053
     u_block     , 93.996  , 96.995 ,    87.896     ,   83.261   ,     73.608     ,  99.192   , 44.602 ,   49.387   ,  94.741   ,   32.791
       usb       , 93.133  , 96.608 ,    91.395     ,   91.514   ,     83.813     ,  98.702   , 43.332 ,   47.728   ,  94.331   ,   31.344
   usb_adaptor   , 90.193  , 95.358 ,    81.821     ,   75.764   ,     69.926     ,  98.491   , 28.051 ,   35.840   ,  91.051   ,   21.832
     vcpill      , 94.988  , 97.511 ,    90.389     ,   89.021   ,     79.597     ,  98.744   , 64.106 ,   64.154   ,  91.566   ,   47.226
  wooden_beads   , 86.543  , 94.513 ,    85.835     ,   84.406   ,     75.256     ,  98.050   , 47.919 ,   49.505   ,  88.493   ,   32.895
    woodstick    , 79.558  , 88.996 ,    80.868     ,   68.354   ,     61.259     ,  97.195   , 45.311 ,   48.745   ,  83.960   ,   32.227
     zipper      , 99.763  , 99.879 ,    99.088     ,   99.420   ,     96.643     ,  99.286   , 64.611 ,   64.525   ,  96.954   ,   47.629
       Avg       , 90.910  , 95.563 ,    87.758     ,   85.678   ,     78.525     ,  98.153   , 42.036 ,   46.144   ,  91.394   ,   30.471
