      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 87.663  , 94.212 ,    70.779     ,   53.955   ,     62.500     ,  95.625   , 8.169  ,   14.502   ,  76.451   ,    7.818
   bottle_cap    , 98.203  , 99.271 ,    90.460     ,   91.175   ,     85.424     ,  99.220   , 29.756 ,   34.995   ,  95.887   ,   21.208
 button_battery  , 74.428  , 87.084 ,    69.226     ,   78.981   ,     77.481     ,  95.411   , 25.389 ,   31.901   ,  82.300   ,   18.978
     end_cap     , 69.952  , 80.343 ,    66.905     ,   70.022   ,     74.249     ,  90.567   , 5.816  ,   12.518   ,  74.916   ,    6.677
     eraser      , 72.997  , 88.719 ,    80.306     ,   81.937   ,     71.280     ,  98.484   , 23.636 ,   32.435   ,  91.404   ,   19.357
    fire_hood    , 82.280  , 91.887 ,    80.791     ,   77.646   ,     69.630     ,  98.418   , 20.516 ,   28.880   ,  86.687   ,   16.877
      mint       , 62.847  , 88.440 ,    64.275     ,   62.367   ,     65.802     ,  93.317   , 4.662  ,   13.823   ,  65.848   ,    7.425
     mounts      , 93.342  , 96.679 ,    81.901     ,   72.707   ,     68.085     ,  98.136   , 24.587 ,   33.219   ,  91.931   ,   19.918
       pcb       , 74.083  , 87.153 ,    69.854     ,   78.254   ,     76.655     ,  94.299   , 5.099  ,   9.300    ,  79.162   ,    4.877
  phone_battery  , 96.814  , 97.688 ,    84.446     ,   80.015   ,     75.200     ,  97.929   , 22.509 ,   29.733   ,  90.892   ,   17.463
   plastic_nut   , 84.040  , 90.335 ,    82.901     ,   73.813   ,     69.091     ,  98.412   , 24.580 ,   32.983   ,  91.763   ,   19.748
  plastic_plug   , 78.391  , 89.967 ,    75.745     ,   69.593   ,     64.548     ,  98.268   , 22.018 ,   31.535   ,  90.876   ,   18.719
 porcelain_doll  , 87.173  , 91.323 ,    81.705     ,   70.662   ,     67.532     ,  97.721   , 15.694 ,   24.716   ,  91.527   ,   14.101
    regulator    , 70.353  , 84.937 ,    50.397     ,   28.308   ,     42.765     ,  90.038   , 0.324  ,   1.581    ,  68.220   ,    0.797
rolled_strip_base, 96.405  , 98.104 ,    95.134     ,   97.462   ,     92.742     ,  98.867   , 19.200 ,   25.869   ,  96.651   ,   14.856
  sim_card_set   , 87.458  , 91.624 ,    86.673     ,   84.609   ,     81.818     ,  98.889   , 40.042 ,   41.844   ,  92.294   ,   26.457
     switch      , 86.438  , 93.438 ,    75.957     ,   79.400   ,     72.874     ,  89.678   , 13.588 ,   20.242   ,  80.440   ,   11.260
      tape       , 90.077  , 94.916 ,    89.344     ,   86.097   ,     76.923     ,  99.072   , 32.980 ,   37.966   ,  96.265   ,   23.431
  terminalblock  , 95.994  , 98.345 ,    85.104     ,   86.383   ,     82.432     ,  98.938   , 23.374 ,   28.229   ,  95.859   ,   16.434
   toothbrush    , 76.634  , 86.246 ,    71.765     ,   74.104   ,     75.345     ,  94.377   , 18.366 ,   25.275   ,  82.387   ,   14.466
       toy       , 58.542  , 78.961 ,    66.607     ,   72.830   ,     75.145     ,  90.840   , 5.837  ,   12.992   ,  74.661   ,    6.947
    toy_brick    , 64.667  , 71.962 ,    63.397     ,   57.920   ,     67.234     ,  95.703   , 7.711  ,   16.535   ,  80.984   ,    9.012
   transistor1   , 90.083  , 94.555 ,    89.256     ,   90.790   ,     85.778     ,  98.605   , 27.269 ,   30.371   ,  93.367   ,   17.905
     u_block     , 90.349  , 95.323 ,    81.769     ,   75.163   ,     65.421     ,  99.101   , 32.200 ,   38.927   ,  95.129   ,   24.167
       usb       , 79.126  , 86.759 ,    71.837     ,   65.484   ,     66.518     ,  96.763   , 14.600 ,   21.689   ,  85.365   ,   12.163
   usb_adaptor   , 74.436  , 87.932 ,    70.524     ,   62.557   ,     61.370     ,  96.677   , 8.990  ,   18.497   ,  83.184   ,   10.191
     vcpill      , 82.080  , 91.318 ,    78.093     ,   78.797   ,     67.119     ,  97.866   , 37.425 ,   44.238   ,  87.902   ,   28.401
  wooden_beads   , 76.403  , 90.049 ,    79.433     ,   76.517   ,     70.968     ,  96.662   , 20.224 ,   26.309   ,  85.505   ,   15.147
    woodstick    , 80.880  , 90.229 ,    74.192     ,   60.691   ,     57.872     ,  94.788   , 17.995 ,   24.064   ,  79.597   ,   13.678
     zipper      , 98.320  , 99.071 ,    94.135     ,   96.382   ,     91.342     ,  98.105   , 35.630 ,   43.957   ,  93.267   ,   28.170
       Avg       , 82.015  , 90.562 ,    77.430     ,   74.487   ,     72.038     ,  96.359   , 19.606 ,   26.304   ,  86.024   ,   15.555
