      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 83.088  , 89.866 ,    72.354     ,   60.708   ,     62.305     ,  94.452   , 7.657  ,   15.009   ,  71.265   ,    8.113
   bottle_cap    , 92.116  , 96.636 ,    81.093     ,   80.355   ,     69.010     ,  98.729   , 26.995 ,   32.229   ,  93.463   ,   19.210
 button_battery  , 66.258  , 82.493 ,    67.217     ,   75.462   ,     78.369     ,  93.606   , 14.031 ,   19.707   ,  78.097   ,   10.931
     end_cap     , 69.471  , 82.834 ,    59.591     ,   66.969   ,     74.256     ,  85.090   , 3.536  ,   9.273    ,  60.862   ,    4.862
     eraser      , 82.732  , 93.289 ,    86.700     ,   86.393   ,     76.254     ,  98.810   , 28.923 ,   35.213   ,  93.154   ,   21.369
    fire_hood    , 79.280  , 91.204 ,    78.338     ,   74.476   ,     67.556     ,  98.291   , 23.764 ,   32.215   ,  85.813   ,   19.200
      mint       , 68.273  , 90.891 ,    62.909     ,   65.058   ,     65.109     ,  90.545   , 7.816  ,   16.603   ,  57.114   ,    9.053
     mounts      , 93.219  , 96.983 ,    78.033     ,   70.982   ,     65.693     ,  97.066   , 21.676 ,   30.485   ,  88.427   ,   17.984
       pcb       , 68.458  , 76.153 ,    61.026     ,   68.818   ,     76.122     ,  89.063   , 1.158  ,   3.193    ,  61.773   ,    1.623
  phone_battery  , 75.163  , 88.706 ,    65.409     ,   64.476   ,     61.187     ,  95.750   , 15.990 ,   22.970   ,  81.435   ,   12.975
   plastic_nut   , 70.800  , 83.716 ,    71.071     ,   58.707   ,     57.639     ,  96.874   , 17.707 ,   28.405   ,  86.542   ,   16.553
  plastic_plug   , 72.100  , 87.472 ,    75.322     ,   72.692   ,     63.699     ,  98.331   , 32.695 ,   41.848   ,  91.099   ,   26.461
 porcelain_doll  , 79.330  , 90.111 ,    78.043     ,   66.612   ,     64.052     ,  96.380   , 10.567 ,   18.850   ,  88.258   ,   10.406
    regulator    , 63.542  , 79.046 ,    43.269     ,   26.883   ,     41.871     ,  84.770   , 0.600  ,   1.508    ,  57.818   ,    0.760
rolled_strip_base, 97.345  , 98.817 ,    90.433     ,   95.737   ,     87.896     ,  98.011   , 14.218 ,   20.110   ,  94.887   ,   11.179
  sim_card_set   , 69.458  , 85.039 ,    78.077     ,   78.467   ,     75.497     ,  98.588   , 37.810 ,   42.325   ,  91.001   ,   26.843
     switch      , 77.042  , 88.006 ,    61.707     ,   67.246   ,     69.943     ,  82.034   , 4.628  ,   8.735    ,  73.968   ,    4.567
      tape       , 85.577  , 93.491 ,    85.568     ,   85.706   ,     78.884     ,  97.516   , 25.409 ,   36.735   ,  91.264   ,   22.500
  terminalblock  , 91.707  , 96.422 ,    71.791     ,   78.019   ,     71.958     ,  95.912   , 17.036 ,   25.828   ,  87.084   ,   14.829
   toothbrush    , 79.044  , 87.979 ,    66.816     ,   73.263   ,     72.481     ,  93.495   , 16.395 ,   21.590   ,  79.919   ,   12.101
       toy       , 60.000  , 76.830 ,    55.661     ,   62.413   ,     73.997     ,  87.103   , 2.466  ,   7.953    ,  63.640   ,    4.141
    toy_brick    , 70.917  , 77.525 ,    69.546     ,   65.539   ,     67.368     ,  97.420   , 20.200 ,   29.903   ,  88.580   ,   17.580
   transistor1   , 97.208  , 98.546 ,    88.856     ,   92.139   ,     83.756     ,  98.537   , 27.695 ,   29.941   ,  93.367   ,   17.606
     u_block     , 76.956  , 89.514 ,    72.813     ,   61.838   ,     58.472     ,  98.617   , 23.422 ,   26.783   ,  93.637   ,   15.462
       usb       , 64.052  , 83.780 ,    66.721     ,   63.407   ,     63.905     ,  94.657   , 4.724  ,   8.479    ,  78.358   ,    4.427
   usb_adaptor   , 67.472  , 83.878 ,    61.293     ,   51.208   ,     57.079     ,  96.202   , 7.750  ,   18.388   ,  82.453   ,   10.125
     vcpill      , 69.040  , 85.272 ,    71.310     ,   69.855   ,     64.069     ,  96.899   , 25.356 ,   33.523   ,  85.949   ,   20.136
  wooden_beads   , 75.043  , 89.910 ,    81.513     ,   78.534   ,     72.566     ,  96.412   , 22.247 ,   28.827   ,  86.630   ,   16.841
    woodstick    , 79.960  , 89.755 ,    78.950     ,   67.829   ,     62.698     ,  95.556   , 22.722 ,   32.138   ,  85.667   ,   19.146
     zipper      , 98.480  , 99.414 ,    82.363     ,   90.176   ,     78.788     ,  96.359   , 29.093 ,   34.361   ,  88.009   ,   20.745
       Avg       , 77.438  , 88.453 ,    72.126     ,   70.665   ,     68.749     ,  94.703   , 17.143 ,   23.771   ,  81.984   ,   13.924
