      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 64.706  , 74.960 ,    68.180     ,   48.149   ,     62.121     ,  94.554   , 2.680  ,   8.116    ,  73.494   ,    4.229
   bottle_cap    , 51.430  , 76.475 ,    73.392     ,   58.812   ,     74.444     ,  98.691   , 20.009 ,   23.509   ,  94.014   ,   13.320
 button_battery  , 61.397  , 79.067 ,    67.043     ,   73.980   ,     79.927     ,  93.917   , 14.493 ,   18.407   ,  78.380   ,   10.137
     end_cap     , 51.202  , 75.648 ,    57.318     ,   61.073   ,     74.266     ,  86.592   , 0.658  ,   1.919    ,  65.120   ,    0.969
     eraser      , 85.897  , 93.850 ,    85.146     ,   84.216   ,     75.399     ,  98.536   , 25.601 ,   28.492   ,  93.049   ,   16.613
    fire_hood    , 65.560  , 78.190 ,    70.626     ,   51.740   ,     63.023     ,  98.209   , 8.195  ,   14.045   ,  85.681   ,    7.553
      mint       , 64.931  , 90.205 ,    61.603     ,   62.418   ,     65.827     ,  92.647   , 10.037 ,   20.238   ,  62.787   ,   11.258
     mounts      , 94.894  , 97.648 ,    80.622     ,   71.634   ,     69.010     ,  97.520   , 27.597 ,   31.505   ,  89.414   ,   18.698
       pcb       , 58.625  , 76.744 ,    58.678     ,   66.179   ,     76.174     ,  88.564   , 0.909  ,   2.357    ,  62.850   ,    1.193
  phone_battery  , 82.721  , 92.105 ,    64.227     ,   57.843   ,     60.177     ,  96.124   , 7.719  ,   14.425   ,  84.091   ,    7.773
   plastic_nut   , 73.120  , 83.632 ,    70.643     ,   53.620   ,     57.221     ,  97.168   , 15.398 ,   24.834   ,  87.181   ,   14.177
  plastic_plug   , 87.010  , 93.655 ,    77.304     ,   70.861   ,     67.052     ,  98.669   , 31.704 ,   35.932   ,  93.210   ,   21.901
 porcelain_doll  , 85.131  , 92.716 ,    81.220     ,   70.910   ,     68.990     ,  97.612   , 13.580 ,   21.739   ,  92.493   ,   12.195
    regulator    , 62.220  , 78.922 ,    40.717     ,   20.834   ,     41.629     ,  84.636   , 0.105  ,   0.260    ,  57.035   ,    0.130
rolled_strip_base, 98.121  , 99.112 ,    95.118     ,   97.858   ,     93.200     ,  98.335   , 17.672 ,   25.791   ,  95.919   ,   14.805
  sim_card_set   , 88.625  , 93.654 ,    84.283     ,   85.099   ,     78.641     ,  98.481   , 41.970 ,   44.789   ,  89.866   ,   28.857
     switch      , 82.108  , 90.646 ,    71.963     ,   76.009   ,     70.703     ,  89.076   , 9.213  ,   13.727   ,  79.150   ,    7.369
      tape       , 94.885  , 97.609 ,    88.179     ,   84.134   ,     77.273     ,  97.880   , 22.843 ,   31.244   ,  92.344   ,   18.514
  terminalblock  , 74.119  , 85.260 ,    59.498     ,   59.319   ,     71.658     ,  96.324   , 3.022  ,   5.587    ,  87.111   ,    2.874
   toothbrush    , 84.600  , 92.164 ,    73.643     ,   76.558   ,     74.214     ,  93.423   , 11.378 ,   20.303   ,  80.653   ,   11.298
       toy       , 58.042  , 73.183 ,    49.946     ,   58.111   ,     73.413     ,  83.789   , 0.627  ,   1.258    ,  54.945   ,    0.633
    toy_brick    , 69.708  , 78.151 ,    69.320     ,   59.716   ,     69.048     ,  97.299   , 7.856  ,   16.516   ,  86.845   ,    9.001
   transistor1   , 97.333  , 98.723 ,    92.075     ,   94.493   ,     87.089     ,  97.927   , 14.525 ,   21.820   ,  91.172   ,   12.246
     u_block     , 79.464  , 90.882 ,    75.721     ,   64.813   ,     60.417     ,  98.744   , 25.442 ,   28.357   ,  94.506   ,   16.521
       usb       , 67.892  , 80.728 ,    57.565     ,   47.059   ,     64.301     ,  93.433   , 1.000  ,   2.703    ,  72.419   ,    1.370
   usb_adaptor   , 76.892  , 89.327 ,    62.538     ,   50.533   ,     56.951     ,  96.833   , 5.853  ,   12.602   ,  85.513   ,    6.725
     vcpill      , 83.640  , 93.044 ,    76.337     ,   77.340   ,     66.894     ,  97.466   , 23.836 ,   31.190   ,  89.090   ,   18.476
  wooden_beads   , 86.352  , 93.346 ,    81.605     ,   76.320   ,     73.936     ,  96.793   , 12.403 ,   16.501   ,  88.743   ,    8.993
    woodstick    , 72.520  , 86.291 ,    77.438     ,   58.177   ,     62.992     ,  95.580   , 17.187 ,   27.442   ,  85.668   ,   15.903
     zipper      , 98.280  , 99.233 ,    83.560     ,   89.848   ,     79.904     ,  96.160   , 18.344 ,   27.002   ,  84.883   ,   15.608
       Avg       , 76.714  , 87.506 ,    71.850     ,   66.922   ,     69.863     ,  95.033   , 13.729 ,   19.087   ,  82.587   ,   10.978
