      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 64.236  , 77.197 ,    64.760     ,   46.436   ,     54.324     ,  94.189   , 2.845  ,   7.627    ,  71.774   ,    3.965
   bottle_cap    , 90.232  , 95.719 ,    84.239     ,   79.834   ,     78.228     ,  99.028   , 16.836 ,   25.257   ,  95.438   ,   14.454
 button_battery  , 68.126  , 83.954 ,    67.855     ,   74.199   ,     73.509     ,  95.555   , 23.708 ,   29.041   ,  80.869   ,   16.987
     end_cap     , 75.715  , 87.477 ,    68.951     ,   76.820   ,     73.158     ,  93.147   , 9.347  ,   18.239   ,  79.005   ,   10.035
     eraser      , 74.171  , 88.892 ,    81.401     ,   80.561   ,     69.252     ,  98.676   , 22.097 ,   29.288   ,  92.199   ,   17.156
    fire_hood    , 79.321  , 88.896 ,    77.282     ,   68.812   ,     63.177     ,  98.010   , 17.321 ,   26.146   ,  87.059   ,   15.039
      mint       , 56.438  , 85.872 ,    61.178     ,   59.698   ,     64.236     ,  91.480   , 6.411  ,   15.851   ,  65.095   ,    8.608
     mounts      , 97.189  , 98.743 ,    86.712     ,   79.606   ,     72.203     ,  98.475   , 23.703 ,   32.210   ,  90.339   ,   19.197
       pcb       , 72.784  , 86.330 ,    69.474     ,   79.544   ,     76.034     ,  95.111   , 10.152 ,   18.203   ,  81.375   ,   10.013
  phone_battery  , 82.041  , 92.049 ,    80.977     ,   79.198   ,     69.474     ,  79.113   , 18.085 ,   29.830   ,  88.743   ,   17.530
   plastic_nut   , 81.872  , 90.734 ,    76.293     ,   67.429   ,     59.579     ,  97.110   , 19.998 ,   28.395   ,  86.773   ,   16.547
  plastic_plug   , 83.155  , 91.667 ,    79.877     ,   73.083   ,     67.082     ,  98.360   , 18.678 ,   26.462   ,  91.826   ,   15.249
 porcelain_doll  , 91.786  , 95.225 ,    85.435     ,   76.175   ,     71.351     ,  98.997   , 22.623 ,   31.846   ,  95.614   ,   18.938
    regulator    , 54.968  , 70.726 ,    46.992     ,   27.708   ,     44.022     ,  91.795   , 0.565  ,   1.555    ,  69.786   ,    0.784
rolled_strip_base, 96.622  , 98.384 ,    95.192     ,   97.624   ,     91.548     ,  99.336   , 20.433 ,   29.954   ,  97.714   ,   17.615
  sim_card_set   , 92.037  , 95.479 ,    91.257     ,   92.250   ,     84.531     ,  98.398   , 36.304 ,   39.210   ,  89.959   ,   24.386
     switch      , 76.761  , 88.300 ,    69.916     ,   74.282   ,     69.860     ,  92.318   , 12.205 ,   17.451   ,  83.530   ,    9.559
      tape       , 95.459  , 97.928 ,    94.128     ,   93.373   ,     85.651     ,  99.500   , 37.449 ,   45.879   ,  97.820   ,   29.769
  terminalblock  , 94.152  , 97.651 ,    86.129     ,   86.675   ,     81.703     ,  98.825   , 20.681 ,   27.491   ,  95.331   ,   15.936
   toothbrush    , 80.972  , 88.961 ,    74.683     ,   77.688   ,     73.025     ,  95.807   , 23.854 ,   30.567   ,  86.220   ,   18.041
       toy       , 65.362  , 79.549 ,    62.596     ,   69.402   ,     73.872     ,  91.251   , 7.430  ,   14.726   ,  78.341   ,    7.948
    toy_brick    , 67.218  , 80.242 ,    64.954     ,   57.560   ,     59.200     ,  94.930   , 11.674 ,   18.782   ,  76.392   ,   10.364
   transistor1   , 94.430  , 97.543 ,    88.645     ,   92.412   ,     82.576     ,  98.757   , 33.501 ,   37.914   ,  93.995   ,   23.391
     u_block     , 80.865  , 90.069 ,    81.250     ,   72.855   ,     65.208     ,  99.123   , 24.564 ,   32.793   ,  95.288   ,   19.612
       usb       , 76.257  , 87.197 ,    70.615     ,   70.923   ,     65.646     ,  96.339   , 16.235 ,   25.460   ,  83.606   ,   14.587
   usb_adaptor   , 77.603  , 89.213 ,    71.141     ,   64.650   ,     61.444     ,  94.031   , 11.065 ,   19.356   ,  75.721   ,   10.715
     vcpill      , 84.785  , 92.524 ,    79.579     ,   75.743   ,     66.024     ,  97.329   , 30.378 ,   37.694   ,  85.331   ,   23.224
  wooden_beads   , 76.747  , 90.078 ,    80.701     ,   79.471   ,     70.304     ,  96.871   , 20.578 ,   28.447   ,  84.107   ,   16.582
    woodstick    , 74.433  , 87.201 ,    76.071     ,   63.048   ,     56.252     ,  96.327   , 26.858 ,   35.346   ,  80.048   ,   21.467
     zipper      , 99.379  , 99.680 ,    94.793     ,   97.123   ,     89.886     ,  98.685   , 43.257 ,   48.056   ,  95.145   ,   31.628
       Avg       , 80.170  , 89.783 ,    77.103     ,   74.473   ,     70.412     ,  95.896   , 19.628 ,   26.969   ,  85.815   ,   15.978
