      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 91.647  , 95.648 ,    81.117     ,   72.463   ,     64.101     ,  96.836   , 25.574 ,   37.182   ,  82.126   ,   22.836
   bottle_cap    , 95.244  , 97.884 ,    89.198     ,   89.046   ,     78.834     ,  99.395   , 35.340 ,   35.791   ,  96.719   ,   21.796
 button_battery  , 83.076  , 90.734 ,    77.106     ,   81.295   ,     77.421     ,  95.997   , 32.249 ,   37.867   ,  82.044   ,   23.355
     end_cap     , 84.168  , 91.378 ,    76.413     ,   81.327   ,     76.261     ,  95.664   , 12.724 ,   23.033   ,  87.088   ,   13.015
     eraser      , 89.293  , 95.305 ,    88.106     ,   86.523   ,     75.053     ,  98.608   , 31.303 ,   38.503   ,  91.764   ,   23.842
    fire_hood    , 87.924  , 93.527 ,    82.974     ,   77.809   ,     68.866     ,  98.504   , 29.933 ,   36.275   ,  90.393   ,   22.156
      mint       , 67.620  , 90.982 ,    64.933     ,   64.312   ,     64.524     ,  93.284   , 9.431  ,   21.277   ,  68.715   ,   11.905
     mounts      , 96.496  , 98.232 ,    83.804     ,   74.193   ,     70.963     ,  99.059   , 35.195 ,   37.094   ,  94.830   ,   22.770
       pcb       , 83.892  , 91.942 ,    81.253     ,   88.441   ,     78.752     ,  97.308   , 17.397 ,   24.404   ,  85.167   ,   13.898
  phone_battery  , 98.056  , 99.249 ,    85.308     ,   79.690   ,     75.783     ,  86.779   , 19.408 ,   26.536   ,  92.356   ,   15.298
   plastic_nut   , 95.427  , 97.235 ,    87.245     ,   80.343   ,     71.245     ,  98.960   , 32.733 ,   37.289   ,  95.557   ,   22.917
  plastic_plug   , 77.708  , 89.663 ,    79.770     ,   76.350   ,     65.246     ,  98.408   , 28.601 ,   35.419   ,  91.216   ,   21.521
 porcelain_doll  , 85.200  , 92.065 ,    75.189     ,   63.640   ,     58.934     ,  98.211   , 15.860 ,   24.961   ,  92.111   ,   14.260
    regulator    , 68.187  , 83.591 ,    59.133     ,   45.852   ,     43.983     ,  94.324   , 13.396 ,   22.837   ,  77.328   ,   12.891
rolled_strip_base, 99.573  , 99.808 ,    97.946     ,   99.022   ,     94.612     ,  99.566   , 30.977 ,   38.528   ,  98.749   ,   23.860
  sim_card_set   , 95.231  , 96.561 ,    90.608     ,   92.037   ,     83.222     ,  98.304   , 45.300 ,   48.242   ,  90.536   ,   31.788
     switch      , 93.191  , 96.801 ,    85.645     ,   89.449   ,     78.699     ,  98.369   , 49.770 ,   56.206   ,  91.327   ,   39.088
      tape       , 98.986  , 99.491 ,    95.458     ,   94.931   ,     88.020     ,  99.571   , 41.209 ,   45.086   ,  98.235   ,   29.104
  terminalblock  , 95.361  , 97.998 ,    90.145     ,   91.869   ,     83.255     ,  99.591   , 35.480 ,   41.638   ,  97.735   ,   26.293
   toothbrush    , 95.401  , 97.678 ,    86.034     ,   86.338   ,     82.072     ,  97.052   , 30.025 ,   37.219   ,  90.241   ,   22.864
       toy       , 84.173  , 90.873 ,    73.686     ,   79.529   ,     75.733     ,  91.438   , 8.993  ,   16.954   ,  78.112   ,    9.262
    toy_brick    , 79.867  , 89.397 ,    80.235     ,   77.484   ,     68.970     ,  97.592   , 28.472 ,   35.094   ,  89.967   ,   21.282
   transistor1   , 97.896  , 98.987 ,    93.994     ,   95.359   ,     89.620     ,  98.945   , 32.415 ,   37.979   ,  94.966   ,   23.441
     u_block     , 94.754  , 96.953 ,    83.809     ,   75.268   ,     68.335     ,  99.014   , 29.883 ,   38.552   ,  93.383   ,   23.879
       usb       , 86.155  , 92.549 ,    85.036     ,   85.064   ,     75.255     ,  98.459   , 31.469 ,   41.966   ,  90.706   ,   26.555
   usb_adaptor   , 85.725  , 93.641 ,    79.136     ,   75.929   ,     67.027     ,  97.615   , 23.198 ,   31.456   ,  88.388   ,   18.663
     vcpill      , 76.108  , 87.993 ,    78.963     ,   76.373   ,     65.935     ,  98.001   , 40.399 ,   44.798   ,  88.236   ,   28.864
  wooden_beads   , 85.489  , 94.108 ,    82.799     ,   81.171   ,     72.117     ,  96.753   , 25.452 ,   31.808   ,  83.803   ,   18.912
    woodstick    , 73.801  , 87.390 ,    79.001     ,   69.013   ,     61.109     ,  96.794   , 40.300 ,   46.505   ,  83.577   ,   30.298
     zipper      , 99.270  , 99.215 ,    98.185     ,   98.859   ,     95.109     ,  98.652   , 46.317 ,   50.641   ,  95.250   ,   33.906
       Avg       , 88.164  , 94.229 ,    83.074     ,   80.966   ,     73.969     ,  97.235   , 29.293 ,   36.038   ,  89.354   ,   22.351
