      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 94.437  , 97.387 ,    80.600     ,   70.068   ,     63.857     ,  96.646   , 24.083 ,   35.603   ,  81.320   ,   21.657
   bottle_cap    , 96.642  , 98.654 ,    90.451     ,   90.687   ,     80.615     ,  99.456   , 35.373 ,   35.310   ,  97.026   ,   21.441
 button_battery  , 61.994  , 80.673 ,    68.252     ,   73.976   ,     73.419     ,  94.988   , 28.758 ,   33.101   ,  78.616   ,   19.833
     end_cap     , 84.022  , 91.635 ,    75.844     ,   81.180   ,     75.819     ,  95.273   , 12.374 ,   22.222   ,  86.012   ,   12.500
     eraser      , 87.554  , 94.619 ,    87.955     ,   87.229   ,     77.139     ,  98.789   , 31.944 ,   39.059   ,  92.573   ,   24.269
    fire_hood    , 85.496  , 92.735 ,    82.382     ,   77.699   ,     69.717     ,  98.595   , 30.504 ,   36.395   ,  90.866   ,   22.246
      mint       , 69.055  , 91.831 ,    66.289     ,   66.577   ,     64.507     ,  92.586   , 9.152  ,   22.648   ,  66.685   ,   12.770
     mounts      , 97.372  , 98.679 ,    84.589     ,   74.739   ,     71.870     ,  99.022   , 35.349 ,   37.096   ,  94.733   ,   22.772
       pcb       , 84.753  , 93.244 ,    79.548     ,   88.128   ,     76.880     ,  97.337   , 25.129 ,   30.659   ,  84.761   ,   18.105
  phone_battery  , 98.287  , 99.359 ,    83.937     ,   75.745   ,     75.044     ,  88.270   , 11.710 ,   18.153   ,  90.897   ,    9.983
   plastic_nut   , 95.896  , 97.688 ,    86.755     ,   80.549   ,     71.197     ,  98.957   , 33.166 ,   37.302   ,  95.603   ,   22.927
  plastic_plug   , 79.153  , 90.421 ,    80.623     ,   77.348   ,     66.337     ,  98.335   , 29.206 ,   36.008   ,  90.901   ,   21.957
 porcelain_doll  , 92.279  , 96.114 ,    81.043     ,   71.945   ,     64.756     ,  98.520   , 20.635 ,   30.090   ,  93.432   ,   17.709
    regulator    , 53.265  , 73.077 ,    56.760     ,   35.283   ,     44.169     ,  92.144   , 3.774  ,   8.482    ,  71.124   ,    4.429
rolled_strip_base, 99.537  , 99.797 ,    97.669     ,   98.904   ,     94.197     ,  99.598   , 31.943 ,   39.378   ,  98.836   ,   24.516
  sim_card_set   , 95.419  , 97.007 ,    89.971     ,   92.134   ,     84.263     ,  98.282   , 45.512 ,   48.208   ,  90.572   ,   31.760
     switch      , 95.167  , 97.742 ,    85.215     ,   89.069   ,     78.280     ,  98.395   , 53.970 ,   57.065   ,  90.529   ,   39.923
      tape       , 99.277  , 99.646 ,    95.033     ,   94.740   ,     88.567     ,  99.551   , 40.492 ,   44.671   ,  98.172   ,   28.759
  terminalblock  , 97.509  , 99.012 ,    91.626     ,   93.001   ,     84.780     ,  99.545   , 35.408 ,   41.770   ,  97.537   ,   26.398
   toothbrush    , 94.841  , 97.412 ,    85.661     ,   87.136   ,     81.013     ,  97.017   , 31.064 ,   36.992   ,  90.105   ,   22.694
       toy       , 78.977  , 87.018 ,    70.097     ,   76.357   ,     74.670     ,  89.384   , 7.353  ,   14.406   ,  75.167   ,    7.762
    toy_brick    , 80.116  , 89.655 ,    79.715     ,   76.730   ,     68.159     ,  97.561   , 27.775 ,   34.601   ,  89.624   ,   20.920
   transistor1   , 98.983  , 99.544 ,    94.681     ,   96.388   ,     90.326     ,  98.973   , 34.314 ,   39.114   ,  95.006   ,   24.312
     u_block     , 86.922  , 92.733 ,    80.983     ,   71.901   ,     65.861     ,  99.057   , 29.203 ,   38.145   ,  93.624   ,   23.567
       usb       , 85.565  , 92.707 ,    82.146     ,   83.897   ,     72.135     ,  98.253   , 31.262 ,   40.583   ,  89.830   ,   25.457
   usb_adaptor   , 85.373  , 93.258 ,    80.004     ,   76.346   ,     68.053     ,  97.580   , 22.157 ,   30.146   ,  88.240   ,   17.749
     vcpill      , 80.761  , 90.710 ,    82.003     ,   80.069   ,     68.240     ,  98.254   , 44.598 ,   47.770   ,  89.433   ,   31.380
  wooden_beads   , 85.588  , 94.721 ,    82.993     ,   83.163   ,     71.692     ,  97.103   , 27.364 ,   34.412   ,  85.017   ,   20.782
    woodstick    , 73.772  , 87.342 ,    79.009     ,   69.185   ,     61.072     ,  96.672   , 39.665 ,   46.201   ,  83.063   ,   30.040
     zipper      , 99.399  , 99.196 ,    97.873     ,   98.590   ,     94.698     ,  97.910   , 24.890 ,   33.763   ,  92.524   ,   20.310
       Avg       , 87.247  , 93.787 ,    82.657     ,   80.625   ,     74.044     ,  97.068   , 28.604 ,   34.978   ,  88.728   ,   21.631
