      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 92.908  , 96.643 ,    79.478     ,   68.966   ,     63.615     ,  96.613   , 23.002 ,   34.875   ,  81.351   ,   21.120
   bottle_cap    , 94.629  , 97.584 ,    88.414     ,   88.441   ,     78.587     ,  99.407   , 34.968 ,   35.336   ,  96.789   ,   21.459
 button_battery  , 67.365  , 83.608 ,    69.833     ,   75.495   ,     73.929     ,  94.442   , 26.245 ,   32.154   ,  76.756   ,   19.157
     end_cap     , 83.827  , 91.494 ,    75.491     ,   80.806   ,     75.623     ,  95.312   , 12.228 ,   22.078   ,  86.215   ,   12.409
     eraser      , 88.373  , 95.037 ,    87.822     ,   86.904   ,     75.879     ,  98.663   , 31.821 ,   39.438   ,  91.911   ,   24.563
    fire_hood    , 85.810  , 92.770 ,    82.418     ,   77.155   ,     68.883     ,  98.527   , 30.156 ,   36.008   ,  90.394   ,   21.957
      mint       , 67.758  , 91.093 ,    65.326     ,   64.790   ,     64.636     ,  92.775   , 9.452  ,   22.221   ,  66.577   ,   12.499
     mounts      , 97.241  , 98.631 ,    84.023     ,   74.846   ,     71.438     ,  99.039   , 36.022 ,   38.077   ,  94.633   ,   23.516
       pcb       , 82.964  , 92.302 ,    79.006     ,   87.632   ,     77.117     ,  97.369   , 22.552 ,   32.589   ,  84.722   ,   19.466
  phone_battery  , 97.161  , 98.737 ,    85.463     ,   78.855   ,     74.348     ,  90.084   , 11.418 ,   18.804   ,  90.685   ,   10.378
   plastic_nut   , 94.786  , 97.105 ,    86.097     ,   78.496   ,     69.832     ,  98.853   , 29.579 ,   33.562   ,  95.258   ,   20.165
  plastic_plug   , 79.934  , 90.716 ,    80.447     ,   77.073   ,     66.092     ,  98.282   , 29.075 ,   36.288   ,  90.774   ,   22.166
 porcelain_doll  , 86.143  , 92.894 ,    75.836     ,   64.708   ,     59.822     ,  98.228   , 15.064 ,   25.148   ,  92.173   ,   14.382
    regulator    , 53.316  , 69.647 ,    46.380     ,   24.837   ,     43.845     ,  91.939   , 1.073  ,   4.175    ,  70.253   ,    2.132
rolled_strip_base, 99.423  , 99.752 ,    97.438     ,   98.793   ,     93.613     ,  99.609   , 32.423 ,   39.558   ,  98.859   ,   24.656
  sim_card_set   , 93.854  , 96.451 ,    89.777     ,   91.676   ,     83.628     ,  98.125   , 41.631 ,   44.745   ,  89.784   ,   28.821
     switch      , 93.250  , 96.933 ,    84.826     ,   88.830   ,     77.587     ,  98.969   , 59.383 ,   61.771   ,  91.068   ,   44.688
      tape       , 99.005  , 99.520 ,    94.664     ,   94.336   ,     88.000     ,  99.549   , 40.496 ,   44.657   ,  98.164   ,   28.747
  terminalblock  , 96.505  , 98.564 ,    90.058     ,   91.612   ,     83.322     ,  99.500   , 34.560 ,   40.223   ,  97.306   ,   25.175
   toothbrush    , 94.615  , 97.219 ,    85.585     ,   86.855   ,     81.052     ,  96.895   , 30.377 ,   36.080   ,  89.671   ,   22.011
       toy       , 79.860  , 84.994 ,    70.828     ,   75.371   ,     74.614     ,  91.999   , 5.978  ,   13.144   ,  77.995   ,    7.034
    toy_brick    , 81.781  , 90.660 ,    79.716     ,   76.503   ,     68.297     ,  97.603   , 27.789 ,   34.752   ,  89.609   ,   21.031
   transistor1   , 97.968  , 99.054 ,    93.807     ,   95.372   ,     88.879     ,  98.949   , 32.898 ,   38.372   ,  94.895   ,   23.741
     u_block     , 89.197  , 94.308 ,    80.601     ,   71.713   ,     65.120     ,  98.960   , 28.659 ,   37.043   ,  93.096   ,   22.732
       usb       , 85.148  , 92.094 ,    81.745     ,   82.870   ,     72.340     ,  98.415   , 28.483 ,   39.154   ,  90.009   ,   24.342
   usb_adaptor   , 83.382  , 92.306 ,    78.303     ,   74.429   ,     66.128     ,  97.458   , 20.633 ,   29.191   ,  87.895   ,   17.090
     vcpill      , 79.924  , 90.074 ,    80.958     ,   78.289   ,     67.487     ,  98.231   , 42.287 ,   45.779   ,  89.160   ,   29.684
  wooden_beads   , 84.902  , 94.242 ,    82.486     ,   81.716   ,     71.441     ,  96.914   , 26.401 ,   33.754   ,  84.210   ,   20.304
    woodstick    , 73.266  , 87.127 ,    78.219     ,   68.354   ,     60.563     ,  96.530   , 39.462 ,   46.160   ,  82.416   ,   30.005
     zipper      , 99.535  , 99.328 ,    97.761     ,   98.465   ,     94.635     ,  97.410   , 20.330 ,   28.453   ,  90.664   ,   16.586
       Avg       , 86.794  , 93.363 ,    81.760     ,   79.473   ,     73.345     ,  97.155   , 27.481 ,   34.120   ,  88.443   ,   21.067
