      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 89.664  , 94.891 ,    76.514     ,   64.304   ,     60.263     ,  95.837   , 16.929 ,   28.774   ,  77.699   ,   16.805
   bottle_cap    , 90.934  , 95.589 ,    84.124     ,   84.107   ,     74.552     ,  99.313   , 32.134 ,   33.749   ,  96.357   ,   20.300
 button_battery  , 75.420  , 87.852 ,    64.885     ,   73.487   ,     72.784     ,  92.443   , 18.359 ,   26.103   ,  71.729   ,   15.010
     end_cap     , 52.464  , 69.828 ,    51.817     ,   58.919   ,     73.247     ,  84.089   , 1.226  ,   4.577    ,  56.475   ,    2.342
     eraser      , 86.445  , 94.274 ,    85.660     ,   83.726   ,     74.320     ,  98.690   , 27.797 ,   34.867   ,  92.081   ,   21.114
    fire_hood    , 74.375  , 86.645 ,    76.886     ,   71.407   ,     63.278     ,  97.912   , 26.972 ,   33.091   ,  88.274   ,   19.826
      mint       , 64.638  , 87.216 ,    59.569     ,   54.669   ,     64.143     ,  91.162   , 1.609  ,   5.745    ,  60.053   ,    2.957
     mounts      , 66.184  , 81.882 ,    64.096     ,   45.427   ,     59.967     ,  93.019   , 2.063  ,   5.164    ,  71.991   ,    2.650
       pcb       , 76.995  , 88.604 ,    74.594     ,   83.198   ,     76.769     ,  94.841   , 8.105  ,   18.276   ,  75.225   ,   10.057
  phone_battery  , 93.060  , 96.324 ,    76.053     ,   69.498   ,     65.868     ,  82.477   , 7.220  ,   13.761   ,  83.554   ,    7.389
   plastic_nut   , 53.718  , 71.400 ,    61.326     ,   41.650   ,     51.938     ,  89.852   , 0.447  ,   1.300    ,  64.069   ,    0.654
  plastic_plug   , 77.135  , 89.297 ,    78.041     ,   73.813   ,     63.985     ,  97.699   , 27.059 ,   34.984   ,  87.932   ,   21.201
 porcelain_doll  , 78.294  , 88.607 ,    69.016     ,   54.303   ,     54.272     ,  97.514   , 7.847  ,   16.160   ,  90.009   ,    8.791
    regulator    , 52.175  , 67.882 ,    40.481     ,   22.246   ,     43.817     ,  83.154   , 0.119  ,   0.294    ,  40.988   ,    0.147
rolled_strip_base, 92.603  , 96.144 ,    90.630     ,   94.669   ,     88.786     ,  97.768   , 11.701 ,   18.216   ,  93.752   ,   10.021
  sim_card_set   , 91.816  , 95.113 ,    87.438     ,   88.895   ,     82.090     ,  97.948   , 25.816 ,   31.895   ,  88.428   ,   18.973
     switch      , 86.986  , 93.743 ,    77.480     ,   81.201   ,     72.740     ,  97.815   , 25.304 ,   38.161   ,  85.539   ,   23.579
      tape       , 79.509  , 89.703 ,    68.727     ,   61.714   ,     57.774     ,  89.183   , 6.453  ,   12.759   ,  66.792   ,    6.814
  terminalblock  , 34.274  , 59.750 ,    71.146     ,   65.138   ,     75.214     ,  97.523   , 4.916  ,   7.269    ,  89.308   ,    3.771
   toothbrush    , 90.823  , 94.278 ,    81.555     ,   83.457   ,     77.124     ,  95.685   , 21.503 ,   30.118   ,  85.712   ,   17.728
       toy       , 68.379  , 80.317 ,    55.187     ,   64.949   ,     73.507     ,  84.229   , 0.538  ,   1.952    ,  54.018   ,    0.986
    toy_brick    , 58.814  , 72.014 ,    64.425     ,   48.543   ,     62.277     ,  94.597   , 2.832  ,   5.798    ,  76.313   ,    2.985
   transistor1   , 92.075  , 96.137 ,    86.234     ,   89.162   ,     82.140     ,  98.004   , 17.234 ,   24.156   ,  90.956   ,   13.737
     u_block     , 68.962  , 84.483 ,    73.193     ,   60.594   ,     59.606     ,  98.194   , 18.711 ,   22.677   ,  90.270   ,   12.789
       usb       , 82.109  , 86.883 ,    74.329     ,   73.096   ,     66.993     ,  96.741   , 8.558  ,   16.836   ,  81.839   ,    9.192
   usb_adaptor   , 81.357  , 90.221 ,    76.117     ,   69.640   ,     65.524     ,  97.132   , 17.128 ,   25.121   ,  87.307   ,   14.365
     vcpill      , 85.046  , 92.143 ,    77.772     ,   70.327   ,     65.092     ,  96.457   , 8.071  ,   16.869   ,  83.456   ,    9.211
  wooden_beads   , 80.881  , 91.794 ,    76.699     ,   69.870   ,     68.144     ,  95.806   , 9.917  ,   17.637   ,  80.204   ,    9.671
    woodstick    , 63.007  , 79.656 ,    61.457     ,   47.950   ,     45.171     ,  90.324   , 19.250 ,   27.336   ,  63.307   ,   15.832
     zipper      , 98.966  , 99.293 ,    93.348     ,   95.800   ,     89.573     ,  95.813   , 10.815 ,   21.051   ,  85.878   ,   11.764
       Avg       , 76.237  , 86.732 ,    72.627     ,   68.192   ,     67.699     ,  94.041   , 12.888 ,   19.156   ,  78.650   ,   11.022
