      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 86.731  , 93.364 ,    80.296     ,   74.847   ,     63.001     ,  96.490   , 28.010 ,   38.002   ,  80.053   ,   23.458
   bottle_cap    , 96.206  , 98.459 ,    90.398     ,   90.109   ,     78.902     ,  99.447   , 32.778 ,   34.799   ,  96.952   ,   21.065
 button_battery  , 73.870  , 88.047 ,    71.339     ,   78.512   ,     73.722     ,  96.428   , 36.244 ,   40.128   ,  83.326   ,   25.100
     end_cap     , 82.801  , 90.923 ,    73.334     ,   79.271   ,     74.867     ,  94.474   , 12.301 ,   21.326   ,  82.853   ,   11.936
     eraser      , 83.313  , 93.284 ,    85.751     ,   86.055   ,     76.345     ,  98.926   , 30.550 ,   37.869   ,  92.771   ,   23.357
    fire_hood    , 82.165  , 90.732 ,    79.608     ,   73.245   ,     66.980     ,  98.354   , 23.100 ,   31.418   ,  89.155   ,   18.636
      mint       , 63.541  , 90.003 ,    66.083     ,   66.561   ,     64.441     ,  92.890   , 10.365 ,   24.023   ,  67.001   ,   13.651
     mounts      , 95.567  , 97.431 ,    86.346     ,   76.751   ,     73.835     ,  98.861   , 32.849 ,   34.912   ,  92.370   ,   21.148
       pcb       , 79.503  , 90.561 ,    76.122     ,   85.291   ,     77.137     ,  97.298   , 29.571 ,   36.566   ,  85.947   ,   22.374
  phone_battery  , 92.459  , 96.425 ,    86.367     ,   84.275   ,     75.046     ,  84.632   , 26.418 ,   34.298   ,  91.879   ,   20.699
   plastic_nut   , 91.970  , 95.688 ,    84.887     ,   78.751   ,     69.523     ,  98.839   , 31.829 ,   36.766   ,  94.532   ,   22.524
  plastic_plug   , 79.068  , 89.662 ,    79.305     ,   73.918   ,     65.366     ,  98.575   , 24.827 ,   32.189   ,  91.953   ,   19.182
 porcelain_doll  , 94.510  , 97.105 ,    86.416     ,   79.876   ,     71.302     ,  98.952   , 25.655 ,   34.204   ,  95.137   ,   20.630
    regulator    , 61.917  , 79.847 ,    51.649     ,   37.071   ,     44.198     ,  93.387   , 9.016  ,   17.375   ,  74.047   ,    9.514
rolled_strip_base, 99.270  , 99.668 ,    98.037     ,   99.073   ,     95.025     ,  99.572   , 28.902 ,   36.131   ,  98.632   ,   22.049
  sim_card_set   , 95.570  , 97.029 ,    93.801     ,   94.456   ,     87.315     ,  98.605   , 47.225 ,   48.218   ,  91.677   ,   31.768
     switch      , 92.309  , 96.636 ,    82.412     ,   86.545   ,     75.789     ,  96.763   , 44.111 ,   50.530   ,  88.548   ,   33.806
      tape       , 99.799  , 99.902 ,    96.052     ,   95.654   ,     89.772     ,  99.596   , 41.653 ,   46.213   ,  98.295   ,   30.050
  terminalblock  , 96.626  , 98.666 ,    90.405     ,   91.279   ,     85.159     ,  99.448   , 30.624 ,   35.075   ,  97.204   ,   21.267
   toothbrush    , 92.179  , 95.940 ,    84.330     ,   86.776   ,     79.701     ,  97.022   , 32.681 ,   38.904   ,  90.085   ,   24.150
       toy       , 76.558  , 87.823 ,    69.038     ,   76.930   ,     74.187     ,  92.111   , 12.201 ,   21.597   ,  80.228   ,   12.106
    toy_brick    , 71.776  , 83.745 ,    72.401     ,   66.268   ,     62.974     ,  96.628   , 20.652 ,   27.668   ,  84.111   ,   16.055
   transistor1   , 98.344  , 99.256 ,    92.226     ,   94.977   ,     87.583     ,  99.035   , 39.900 ,   41.556   ,  95.194   ,   26.228
     u_block     , 92.292  , 96.404 ,    83.557     ,   79.011   ,     68.481     ,  99.275   , 35.345 ,   44.828   ,  95.006   ,   28.889
       usb       , 84.280  , 91.619 ,    82.972     ,   84.405   ,     73.423     ,  97.867   , 32.244 ,   41.436   ,  89.100   ,   26.132
   usb_adaptor   , 85.570  , 93.277 ,    77.792     ,   74.418   ,     65.578     ,  97.395   , 19.244 ,   28.990   ,  86.618   ,   16.952
     vcpill      , 88.207  , 94.383 ,    84.527     ,   83.169   ,     71.652     ,  98.158   , 43.513 ,   49.159   ,  89.017   ,   32.590
  wooden_beads   , 81.982  , 92.833 ,    81.973     ,   81.532   ,     70.548     ,  97.291   , 28.575 ,   35.040   ,  85.022   ,   21.242
    woodstick    , 73.051  , 86.530 ,    78.022     ,   66.765   ,     59.555     ,  96.739   , 37.787 ,   44.504   ,  81.654   ,   28.621
     zipper      , 99.192  , 99.055 ,    97.585     ,   98.468   ,     94.165     ,  98.905   , 54.491 ,   56.671   ,  96.306   ,   39.539
       Avg       , 86.354  , 93.477 ,    82.101     ,   80.809   ,     73.852     ,  97.065   , 30.089 ,   36.680   ,  88.822   ,   22.824
