      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 76.634  , 86.604 ,    64.065     ,   52.985   ,     57.803     ,  94.341   , 8.004  ,   15.270   ,  72.612   ,    8.266
   bottle_cap    , 59.681  , 76.490 ,    68.042     ,   58.842   ,     65.438     ,  98.310   , 15.128 ,   21.966   ,  90.851   ,   12.338
 button_battery  , 78.595  , 88.095 ,    59.547     ,   74.129   ,     76.461     ,  93.581   , 19.033 ,   25.301   ,  74.054   ,   14.483
     end_cap     , 58.694  , 77.470 ,    58.274     ,   64.642   ,     73.111     ,  85.489   , 1.561  ,   5.589    ,  63.410   ,    2.875
     eraser      , 86.178  , 91.188 ,    85.729     ,   82.989   ,     76.786     ,  98.329   , 21.371 ,   28.949   ,  90.270   ,   16.924
    fire_hood    , 80.200  , 88.814 ,    77.619     ,   71.829   ,     65.637     ,  97.779   , 23.800 ,   31.272   ,  80.935   ,   18.534
      mint       , 74.219  , 91.765 ,    62.489     ,   61.387   ,     65.584     ,  90.009   , 2.764  ,   9.605    ,  51.648   ,    5.045
     mounts      , 89.951  , 93.961 ,    74.184     ,   63.486   ,     62.614     ,  98.191   , 21.947 ,   29.157   ,  90.889   ,   17.066
       pcb       , 64.292  , 78.526 ,    58.684     ,   68.859   ,     76.125     ,  88.796   , 1.429  ,   3.918    ,  57.744   ,    1.998
  phone_battery  , 57.598  , 76.046 ,    58.994     ,   54.716   ,     60.769     ,  93.605   , 7.169  ,   13.979   ,  76.985   ,    7.515
   plastic_nut   , 51.240  , 69.247 ,    52.554     ,   39.952   ,     49.799     ,  92.802   , 4.689  ,   13.066   ,  70.679   ,    6.990
  plastic_plug   , 66.789  , 83.081 ,    67.469     ,   58.076   ,     59.893     ,  96.828   , 7.782  ,   15.126   ,  84.042   ,    8.182
 porcelain_doll  , 76.185  , 82.512 ,    69.387     ,   53.599   ,     55.828     ,  96.041   , 4.298  ,   10.300   ,  85.180   ,    5.430
    regulator    , 40.986  , 59.800 ,    41.662     ,   21.535   ,     41.509     ,  85.156   , 0.145  ,   0.815    ,  50.041   ,    0.409
rolled_strip_base, 82.802  , 89.716 ,    65.085     ,   82.663   ,     81.081     ,  97.775   , 9.632  ,   15.909   ,  92.474   ,    8.642
  sim_card_set   , 73.667  , 83.124 ,    69.498     ,   66.846   ,     71.674     ,  95.711   , 7.513  ,   14.989   ,  77.314   ,    8.102
     switch      , 46.977  , 65.166 ,    45.353     ,   51.062   ,     68.662     ,  89.332   , 3.419  ,   7.825    ,  68.074   ,    4.072
      tape       , 89.462  , 93.910 ,    86.756     ,   86.466   ,     77.903     ,  98.513   , 27.180 ,   35.646   ,  93.639   ,   21.688
  terminalblock  , 78.606  , 89.409 ,    55.652     ,   66.352   ,     70.224     ,  95.045   , 3.954  ,   8.438    ,  82.832   ,    4.405
   toothbrush    , 53.962  , 70.280 ,    53.730     ,   58.508   ,     71.379     ,  89.629   , 4.262  ,   9.323    ,  65.324   ,    4.889
       toy       , 52.125  , 69.641 ,    48.553     ,   57.527   ,     73.555     ,  86.273   , 0.539  ,   1.416    ,  55.922   ,    0.713
    toy_brick    , 74.417  , 82.026 ,    71.270     ,   64.547   ,     69.647     ,  95.983   , 8.329  ,   17.220   ,  75.353   ,    9.421
   transistor1   , 82.875  , 89.134 ,    82.315     ,   85.308   ,     80.374     ,  96.855   , 14.627 ,   21.007   ,  86.935   ,   11.736
     u_block     , 67.474  , 80.534 ,    73.340     ,   62.781   ,     60.000     ,  97.737   , 16.817 ,   22.768   ,  89.563   ,   12.846
       usb       , 68.260  , 76.932 ,    66.923     ,   62.258   ,     62.722     ,  92.620   , 2.321  ,   7.066    ,  64.508   ,    3.662
   usb_adaptor   , 61.755  , 77.573 ,    56.993     ,   46.775   ,     56.495     ,  92.412   , 3.096  ,   7.872    ,  69.815   ,    4.097
     vcpill      , 86.640  , 90.885 ,    76.952     ,   72.355   ,     67.677     ,  97.169   , 19.867 ,   26.383   ,  88.970   ,   15.196
  wooden_beads   , 80.315  , 89.749 ,    65.183     ,   65.540   ,     60.870     ,  96.086   , 13.195 ,   18.887   ,  82.999   ,   10.428
    woodstick    , 78.040  , 86.586 ,    82.827     ,   71.672   ,     66.667     ,  92.881   , 31.269 ,   38.572   ,  83.802   ,   23.894
     zipper      , 99.480  , 97.730 ,    86.349     ,   90.570   ,     84.082     ,  94.295   , 9.972  ,   14.676   ,  83.243   ,    7.919
       Avg       , 71.270  , 82.533 ,    66.183     ,   63.942   ,     67.012     ,  93.919   , 10.504 ,   16.410   ,  76.670   ,    9.259
