      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 87.132  , 94.458 ,    74.974     ,   67.898   ,     63.587     ,  96.251   , 20.437 ,   31.174   ,  77.206   ,   18.465
   bottle_cap    , 99.183  , 99.611 ,    80.456     ,   78.560   ,     73.224     ,  98.341   , 17.558 ,   29.822   ,  90.874   ,   17.524
 button_battery  , 77.042  , 87.618 ,    68.492     ,   79.542   ,     76.923     ,  96.795   , 44.700 ,   46.875   ,  80.302   ,   30.612
     end_cap     , 73.838  , 84.937 ,    70.433     ,   74.813   ,     75.986     ,  89.114   , 6.967  ,   14.474   ,  66.845   ,    7.802
     eraser      , 86.378  , 93.967 ,    88.784     ,   88.178   ,     78.209     ,  98.779   , 28.657 ,   33.425   ,  92.352   ,   20.066
    fire_hood    , 75.040  , 86.768 ,    74.728     ,   67.607   ,     62.585     ,  97.248   , 14.358 ,   25.991   ,  79.704   ,   14.936
      mint       , 63.108  , 90.374 ,    68.329     ,   71.312   ,     66.052     ,  94.257   , 23.433 ,   34.647   ,  65.124   ,   20.953
     mounts      , 88.725  , 93.639 ,    79.399     ,   70.906   ,     65.409     ,  97.613   , 22.858 ,   32.909   ,  89.362   ,   19.695
       pcb       , 85.375  , 92.007 ,    72.615     ,   80.642   ,     77.895     ,  95.034   , 9.979  ,   17.329   ,  77.032   ,    9.486
  phone_battery  , 91.013  , 95.446 ,    89.235     ,   87.734   ,     78.698     ,  97.988   , 25.449 ,   35.053   ,  91.190   ,   21.251
   plastic_nut   , 85.640  , 93.227 ,    77.047     ,   68.344   ,     62.706     ,  97.051   , 21.760 ,   30.886   ,  84.226   ,   18.263
  plastic_plug   , 80.964  , 90.961 ,    77.148     ,   70.686   ,     66.049     ,  97.939   , 18.121 ,   24.927   ,  88.623   ,   14.238
 porcelain_doll  , 86.111  , 88.295 ,    82.718     ,   67.926   ,     67.797     ,  98.325   , 13.863 ,   21.680   ,  92.532   ,   12.158
    regulator    , 64.103  , 81.960 ,    41.360     ,   23.155   ,     41.684     ,  89.830   , 1.018  ,   1.814    ,  63.441   ,    0.915
rolled_strip_base, 98.734  , 99.432 ,    95.964     ,   98.217   ,     92.161     ,  99.362   , 26.286 ,   36.702   ,  97.254   ,   22.475
  sim_card_set   , 94.708  , 97.246 ,    91.719     ,   92.412   ,     82.902     ,  97.200   , 41.015 ,   41.269   ,  83.611   ,   26.000
     switch      , 86.397  , 93.183 ,    78.350     ,   80.541   ,     75.056     ,  92.661   , 17.358 ,   26.631   ,  79.475   ,   15.361
      tape       , 98.846  , 99.487 ,    91.764     ,   89.692   ,     80.392     ,  99.173   , 29.023 ,   37.516   ,  96.316   ,   23.089
  terminalblock  , 92.829  , 97.086 ,    84.800     ,   85.889   ,     81.166     ,  97.901   , 19.542 ,   27.872   ,  92.652   ,   16.192
   toothbrush    , 75.408  , 87.618 ,    80.351     ,   84.486   ,     77.598     ,  95.570   , 27.131 ,   36.747   ,  83.270   ,   22.510
       toy       , 73.375  , 83.990 ,    71.912     ,   78.838   ,     75.636     ,  90.668   , 12.740 ,   21.968   ,  76.946   ,   12.339
    toy_brick    , 76.500  , 84.431 ,    66.054     ,   63.438   ,     65.753     ,  94.506   , 17.328 ,   24.621   ,  71.871   ,   14.039
   transistor1   , 89.542  , 95.210 ,    87.425     ,   89.971   ,     83.373     ,  98.527   , 30.766 ,   33.320   ,  93.217   ,   19.991
     u_block     , 93.027  , 96.355 ,    81.656     ,   74.558   ,     65.649     ,  98.496   , 30.431 ,   39.341   ,  92.035   ,   24.488
       usb       , 82.557  , 90.463 ,    74.002     ,   74.718   ,     64.789     ,  96.740   , 25.936 ,   35.174   ,  85.741   ,   21.340
   usb_adaptor   , 92.110  , 96.477 ,    70.644     ,   63.795   ,     60.845     ,  92.826   , 10.144 ,   19.200   ,  68.737   ,   10.619
     vcpill      , 83.400  , 91.113 ,    81.213     ,   80.791   ,     71.080     ,  97.856   , 47.064 ,   53.088   ,  85.038   ,   36.136
  wooden_beads   , 83.929  , 92.532 ,    86.090     ,   83.647   ,     76.923     ,  96.885   , 32.237 ,   36.825   ,  82.113   ,   22.568
    woodstick    , 77.600  , 88.286 ,    68.144     ,   53.139   ,     50.968     ,  92.232   , 22.916 ,   32.365   ,  69.920   ,   19.307
     zipper      , 99.920  , 99.960 ,    96.953     ,   97.897   ,     93.512     ,  98.874   , 45.509 ,   48.587   ,  95.047   ,   32.089
       Avg       , 84.751  , 92.205 ,    78.425     ,   76.311   ,     71.820     ,  96.135   , 23.486 ,   31.074   ,  83.069   ,   18.830
