      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.418  , 96.551 ,    78.562     ,   63.132   ,     63.494     ,  96.702   , 15.495 ,   25.276   ,  82.639   ,   14.466
   bottle_cap    , 91.340  , 95.335 ,    86.468     ,   84.453   ,     76.847     ,  99.341   , 33.598 ,   35.368   ,  96.398   ,   21.483
 button_battery  , 72.614  , 85.875 ,    72.113     ,   77.013   ,     75.680     ,  93.767   , 23.924 ,   30.114   ,  74.478   ,   17.726
     end_cap     , 82.649  , 90.190 ,    76.171     ,   80.186   ,     76.876     ,  95.965   , 11.065 ,   20.224   ,  87.505   ,   11.250
     eraser      , 92.157  , 96.696 ,    86.639     ,   80.778   ,     74.384     ,  98.582   , 22.839 ,   28.840   ,  91.854   ,   16.849
    fire_hood    , 86.485  , 92.384 ,    82.238     ,   75.823   ,     67.367     ,  98.369   , 27.928 ,   34.283   ,  89.306   ,   20.687
      mint       , 67.629  , 91.063 ,    64.645     ,   63.774   ,     64.449     ,  93.116   , 8.980  ,   20.348   ,  67.133   ,   11.326
     mounts      , 96.750  , 98.378 ,    83.323     ,   74.166   ,     70.097     ,  99.022   , 35.147 ,   37.905   ,  94.300   ,   23.385
       pcb       , 87.749  , 93.862 ,    83.032     ,   89.314   ,     80.161     ,  96.323   , 3.625  ,   7.948    ,  81.392   ,    4.138
  phone_battery  , 98.303  , 99.085 ,    81.596     ,   68.995   ,     74.496     ,  92.648   , 5.647  ,   8.970    ,  85.861   ,    4.695
   plastic_nut   , 94.880  , 96.565 ,    85.633     ,   75.995   ,     69.079     ,  98.727   , 27.660 ,   32.857   ,  94.474   ,   19.658
  plastic_plug   , 80.357  , 90.955 ,    80.477     ,   76.257   ,     66.563     ,  98.099   , 21.811 ,   31.544   ,  89.873   ,   18.725
 porcelain_doll  , 83.471  , 91.484 ,    68.359     ,   52.659   ,     53.768     ,  97.193   , 5.259  ,   11.561   ,  88.267   ,    6.135
    regulator    , 60.120  , 77.668 ,    58.579     ,   37.638   ,     44.707     ,  94.051   , 7.308  ,   13.090   ,  77.393   ,    7.004
rolled_strip_base, 99.506  , 99.784 ,    97.723     ,   98.921   ,     94.136     ,  99.411   , 29.158 ,   37.402   ,  98.270   ,   23.003
  sim_card_set   , 97.833  , 98.541 ,    89.965     ,   90.250   ,     83.877     ,  97.265   , 19.527 ,   27.096   ,  85.853   ,   15.671
     switch      , 92.566  , 96.598 ,    86.540     ,   89.727   ,     79.505     ,  99.224   , 63.249 ,   64.633   ,  92.345   ,   47.746
      tape       , 98.912  , 99.451 ,    95.839     ,   94.890   ,     87.360     ,  99.541   , 40.537 ,   44.249   ,  98.060   ,   28.410
  terminalblock  , 93.744  , 97.294 ,    87.782     ,   89.990   ,     80.667     ,  99.520   , 34.603 ,   40.784   ,  97.317   ,   25.615
   toothbrush    , 94.747  , 97.216 ,    86.012     ,   86.520   ,     81.934     ,  96.937   , 26.614 ,   33.704   ,  89.400   ,   20.267
       toy       , 83.242  , 88.923 ,    72.670     ,   77.101   ,     77.328     ,  93.703   , 5.795  ,   11.850   ,  80.173   ,    6.298
    toy_brick    , 85.884  , 92.976 ,    77.616     ,   69.270   ,     67.150     ,  97.046   , 13.766 ,   20.042   ,  87.236   ,   11.137
   transistor1   , 98.156  , 99.127 ,    94.210     ,   95.381   ,     89.551     ,  98.807   , 30.570 ,   36.450   ,  94.194   ,   22.286
     u_block     , 92.405  , 96.311 ,    80.101     ,   64.892   ,     64.531     ,  98.011   , 6.198  ,   9.762    ,  89.556   ,    5.131
       usb       , 86.650  , 92.047 ,    86.093     ,   84.536   ,     76.769     ,  98.430   , 17.457 ,   28.561   ,  90.213   ,   16.660
   usb_adaptor   , 84.767  , 92.378 ,    78.622     ,   73.223   ,     65.954     ,  97.623   , 17.745 ,   26.361   ,  87.798   ,   15.181
     vcpill      , 89.701  , 94.851 ,    77.597     ,   70.213   ,     64.855     ,  97.585   , 21.417 ,   29.191   ,  87.565   ,   17.090
  wooden_beads   , 84.476  , 93.734 ,    81.665     ,   80.179   ,     70.082     ,  96.753   , 24.371 ,   31.054   ,  83.679   ,   18.381
    woodstick    , 73.180  , 86.948 ,    76.921     ,   66.560   ,     59.064     ,  96.119   , 38.001 ,   45.337   ,  79.964   ,   29.313
     zipper      , 99.510  , 99.386 ,    97.306     ,   98.105   ,     94.310     ,  95.931   , 11.093 ,   18.600   ,  85.460   ,   10.254
       Avg       , 88.107  , 94.055 ,    81.816     ,   77.665   ,     73.168     ,  97.127   , 21.680 ,   28.113   ,  87.599   ,   16.999
