      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.120  , 96.430 ,    78.410     ,   62.336   ,     63.639     ,  96.724   , 14.085 ,   24.574   ,  82.755   ,   14.008
   bottle_cap    , 91.331  , 95.307 ,    86.268     ,   84.136   ,     76.508     ,  99.328   , 33.414 ,   35.236   ,  96.357   ,   21.386
 button_battery  , 74.730  , 87.226 ,    71.211     ,   77.004   ,     74.773     ,  93.771   , 24.246 ,   31.727   ,  74.552   ,   18.855
     end_cap     , 82.568  , 90.223 ,    76.230     ,   80.405   ,     76.998     ,  96.020   , 11.115 ,   20.281   ,  87.626   ,   11.285
     eraser      , 92.766  , 96.955 ,    86.346     ,   80.294   ,     74.438     ,  98.570   , 21.360 ,   26.881   ,  91.866   ,   15.528
    fire_hood    , 86.077  , 92.213 ,    82.212     ,   75.773   ,     67.232     ,  98.370   , 27.968 ,   34.385   ,  89.295   ,   20.762
      mint       , 66.978  , 90.894 ,    64.380     ,   63.447   ,     64.564     ,  93.077   , 8.762  ,   20.022   ,  66.963   ,   11.125
     mounts      , 96.916  , 98.460 ,    83.415     ,   74.279   ,     70.093     ,  98.989   , 35.041 ,   37.891   ,  93.900   ,   23.373
       pcb       , 87.442  , 93.830 ,    82.924     ,   89.360   ,     80.073     ,  96.299   , 3.342  ,   7.375    ,  81.312   ,    3.829
  phone_battery  , 98.312  , 99.094 ,    81.904     ,   69.597   ,     74.425     ,  94.360   , 6.041  ,   9.578    ,  86.524   ,    5.030
   plastic_nut   , 94.906  , 96.587 ,    85.252     ,   75.005   ,     68.883     ,  98.664   , 25.963 ,   30.486   ,  94.183   ,   17.984
  plastic_plug   , 81.296  , 91.324 ,    80.527     ,   76.006   ,     66.646     ,  98.012   , 14.735 ,   28.206   ,  89.591   ,   16.418
 porcelain_doll  , 84.077  , 91.805 ,    67.756     ,   51.384   ,     53.529     ,  96.935   , 4.110  ,   8.743    ,  87.352   ,    4.572
    regulator    , 58.024  , 75.751 ,    56.347     ,   35.918   ,     44.116     ,  93.812   , 7.091  ,   12.790   ,  76.683   ,    6.832
rolled_strip_base, 99.543  , 99.801 ,    97.794     ,   98.940   ,     94.287     ,  99.373   , 28.444 ,   36.522   ,  98.173   ,   22.340
  sim_card_set   , 98.171  , 98.688 ,    89.360     ,   89.248   ,     83.872     ,  96.988   , 17.385 ,   23.383   ,  84.729   ,   13.239
     switch      , 92.825  , 96.688 ,    86.860     ,   89.977   ,     79.707     ,  99.237   , 62.573 ,   64.091   ,  92.600   ,   47.157
      tape       , 99.008  , 99.503 ,    95.826     ,   94.884   ,     87.266     ,  99.544   , 40.358 ,   44.114   ,  98.088   ,   28.299
  terminalblock  , 93.416  , 97.162 ,    87.456     ,   89.686   ,     80.162     ,  99.506   , 34.137 ,   40.663   ,  97.237   ,   25.520
   toothbrush    , 95.133  , 97.392 ,    86.190     ,   86.775   ,     81.885     ,  96.891   , 25.487 ,   33.147   ,  89.270   ,   19.866
       toy       , 84.523  , 88.953 ,    74.384     ,   77.820   ,     78.554     ,  94.168   , 5.950  ,   12.324   ,  80.507   ,    6.567
    toy_brick    , 86.131  , 93.123 ,    77.683     ,   69.269   ,     67.580     ,  96.999   , 13.352 ,   19.809   ,  87.167   ,   10.993
   transistor1   , 98.056  , 99.083 ,    94.121     ,   95.295   ,     89.561     ,  98.809   , 27.870 ,   34.823   ,  94.191   ,   21.083
     u_block     , 92.710  , 96.470 ,    80.533     ,   64.772   ,     64.495     ,  97.957   , 5.582  ,   9.569    ,  89.408   ,    5.025
       usb       , 84.769  , 91.098 ,    85.395     ,   83.874   ,     75.708     ,  98.419   , 15.792 ,   27.807   ,  90.212   ,   16.149
   usb_adaptor   , 84.495  , 92.123 ,    78.623     ,   72.798   ,     65.931     ,  97.580   , 15.321 ,   24.197   ,  87.629   ,   13.764
     vcpill      , 91.688  , 95.739 ,    77.408     ,   69.680   ,     65.196     ,  97.604   , 22.028 ,   29.384   ,  87.511   ,   17.223
  wooden_beads   , 85.289  , 94.032 ,    81.817     ,   80.341   ,     70.387     ,  96.710   , 24.156 ,   30.408   ,  83.375   ,   17.930
    woodstick    , 72.825  , 86.810 ,    76.886     ,   66.683   ,     59.142     ,  96.089   , 38.158 ,   45.598   ,  79.902   ,   29.532
     zipper      , 99.495  , 99.408 ,    97.256     ,   98.025   ,     94.193     ,  96.001   , 11.404 ,   18.871   ,  85.593   ,   10.419
       Avg       , 88.221  , 94.072 ,    81.692     ,   77.434   ,     73.128     ,  97.160   , 20.842 ,   27.430   ,  87.485   ,   16.536
