      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 87.345  , 93.815 ,    84.123     ,   79.839   ,     68.567     ,  98.382   , 41.905 ,   49.190   ,  89.572   ,   32.617
   bottle_cap    , 95.330  , 98.003 ,    93.610     ,   92.676   ,     83.994     ,  99.664   , 31.757 ,   35.896   ,  98.185   ,   21.874
 button_battery  , 81.541  , 90.710 ,    83.498     ,   87.046   ,     79.992     ,  98.843   , 45.443 ,   53.908   ,  92.260   ,   36.900
     end_cap     , 90.521  , 95.385 ,    82.778     ,   86.242   ,     79.427     ,  98.419   , 22.756 ,   29.300   ,  94.423   ,   17.165
     eraser      , 92.033  , 96.467 ,    90.832     ,   88.883   ,     78.971     ,  99.536   , 37.726 ,   40.976   ,  96.642   ,   25.767
    fire_hood    , 84.191  , 91.793 ,    80.333     ,   73.580   ,     66.193     ,  98.903   , 31.150 ,   37.762   ,  91.275   ,   23.276
      mint       , 73.074  , 92.716 ,    71.373     ,   71.972   ,     65.962     ,  95.544   , 18.745 ,   32.222   ,  75.013   ,   19.205
     mounts      , 97.201  , 98.801 ,    86.919     ,   75.092   ,     75.125     ,  99.446   , 35.702 ,   39.521   ,  96.781   ,   24.627
       pcb       , 88.218  , 94.668 ,    87.475     ,   92.739   ,     82.896     ,  99.011   , 49.390 ,   52.188   ,  94.079   ,   35.307
  phone_battery  , 91.075  , 95.799 ,    93.178     ,   91.693   ,     83.503     ,  99.682   , 59.857 ,   58.574   ,  96.880   ,   41.417
   plastic_nut   , 89.531  , 94.302 ,    87.322     ,   78.714   ,     72.583     ,  99.578   , 36.759 ,   41.122   ,  97.069   ,   25.883
  plastic_plug   , 92.470  , 96.397 ,    88.178     ,   83.562   ,     75.372     ,  99.280   , 30.444 ,   35.735   ,  96.363   ,   21.754
 porcelain_doll  , 96.109  , 97.970 ,    87.602     ,   80.227   ,     71.850     ,  98.981   , 29.614 ,   37.777   ,  94.871   ,   23.287
    regulator    , 76.796  , 89.191 ,    74.473     ,   67.267   ,     58.495     ,  97.774   , 34.890 ,   43.800   ,  88.197   ,   28.041
rolled_strip_base, 98.954  , 99.524 ,    98.591     ,   99.311   ,     96.133     ,  99.750   , 32.818 ,   41.801   ,  98.953   ,   26.423
  sim_card_set   , 95.459  , 96.992 ,    93.662     ,   94.090   ,     86.981     ,  98.810   , 49.590 ,   50.574   ,  92.267   ,   33.846
     switch      , 97.971  , 99.069 ,    94.794     ,   95.845   ,     89.452     ,  96.863   , 53.629 ,   57.840   ,  94.375   ,   40.687
      tape       , 98.249  , 99.121 ,    96.745     ,   95.629   ,     89.030     ,  99.658   , 47.702 ,   52.320   ,  98.470   ,   35.428
  terminalblock  , 97.933  , 99.206 ,    97.581     ,   98.078   ,     92.421     ,  99.746   , 43.754 ,   47.349   ,  99.030   ,   31.018
   toothbrush    , 94.348  , 97.277 ,    89.590     ,   91.497   ,     82.513     ,  97.797   , 41.237 ,   45.488   ,  92.723   ,   29.440
       toy       , 88.178  , 93.753 ,    80.371     ,   85.543   ,     78.391     ,  94.294   , 17.647 ,   27.617   ,  89.169   ,   16.021
    toy_brick    , 73.815  , 85.207 ,    72.096     ,   66.430   ,     62.458     ,  97.099   , 28.418 ,   32.485   ,  79.756   ,   19.392
   transistor1   , 98.731  , 99.277 ,    94.537     ,   96.223   ,     89.327     ,  99.422   , 50.479 ,   48.901   ,  97.089   ,   32.363
     u_block     , 94.606  , 97.316 ,    89.375     ,   85.770   ,     75.682     ,  99.446   , 41.974 ,   47.089   ,  96.248   ,   30.795
       usb       , 89.838  , 94.522 ,    90.255     ,   90.566   ,     81.917     ,  98.908   , 40.967 ,   46.395   ,  95.811   ,   30.204
   usb_adaptor   , 92.715  , 96.561 ,    81.925     ,   75.815   ,     70.017     ,  97.491   , 20.044 ,   28.360   ,  85.216   ,   16.523
     vcpill      , 94.373  , 97.395 ,    89.372     ,   87.244   ,     78.826     ,  98.777   , 58.265 ,   59.416   ,  92.363   ,   42.263
  wooden_beads   , 85.229  , 94.023 ,    84.244     ,   83.390   ,     73.669     ,  98.716   , 45.026 ,   46.151   ,  91.160   ,   29.997
    woodstick    , 81.700  , 90.675 ,    83.920     ,   74.018   ,     66.782     ,  98.683   , 48.481 ,   49.074   ,  90.731   ,   32.516
     zipper      , 99.847  , 99.922 ,    99.605     ,   99.766   ,     98.176     ,  99.347   , 62.444 ,   62.955   ,  98.248   ,   45.937
       Avg       , 90.579  , 95.529 ,    87.612     ,   85.625   ,     78.490     ,  98.595   , 39.620 ,   44.393   ,  93.107   ,   28.999
