      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 68.260  , 79.373 ,    61.093     ,   44.730   ,     56.198     ,  95.020   , 3.852  ,   10.175   ,  74.074   ,    5.360
   bottle_cap    , 93.587  , 96.857 ,    79.270     ,   77.796   ,     69.677     ,  97.809   , 14.204 ,   24.049   ,  88.143   ,   13.668
 button_battery  , 65.809  , 82.044 ,    59.391     ,   70.960   ,     77.544     ,  95.848   , 25.925 ,   30.281   ,  75.873   ,   17.842
     end_cap     , 65.865  , 73.567 ,    64.160     ,   68.085   ,     72.789     ,  87.744   , 1.721  ,   5.851    ,  67.069   ,    3.014
     eraser      , 68.389  , 83.858 ,    75.116     ,   66.145   ,     68.672     ,  95.690   , 10.179 ,   21.122   ,  77.292   ,   11.808
    fire_hood    , 74.640  , 85.135 ,    69.109     ,   55.136   ,     58.537     ,  97.247   , 6.757  ,   13.920   ,  77.572   ,    7.480
      mint       , 54.948  , 86.154 ,    61.262     ,   58.891   ,     67.327     ,  91.901   , 1.470  ,   5.021    ,  58.915   ,    2.575
     mounts      , 78.595  , 89.242 ,    78.058     ,   69.131   ,     63.668     ,  96.545   , 12.501 ,   22.700   ,  85.900   ,   12.803
       pcb       , 67.250  , 82.286 ,    57.531     ,   69.725   ,     75.421     ,  89.741   , 2.485  ,   7.919    ,  65.787   ,    4.123
  phone_battery  , 62.173  , 80.450 ,    67.296     ,   62.512   ,     62.763     ,  97.105   , 8.376  ,   14.911   ,  83.324   ,    8.056
   plastic_nut   , 69.960  , 81.979 ,    64.124     ,   46.555   ,     53.864     ,  93.595   , 9.166  ,   18.329   ,  71.782   ,   10.089
  plastic_plug   , 69.567  , 82.632 ,    67.271     ,   56.133   ,     59.355     ,  96.312   , 7.771  ,   14.232   ,  81.362   ,    7.661
 porcelain_doll  , 68.873  , 74.666 ,    72.034     ,   51.359   ,     58.025     ,  92.586   , 2.950  ,   9.958    ,  72.857   ,    5.240
    regulator    , 62.740  , 75.090 ,    51.450     ,   29.881   ,     41.535     ,  81.828   , 0.105  ,   0.311    ,  42.385   ,    0.156
rolled_strip_base, 86.479  , 91.690 ,    79.020     ,   88.408   ,     84.698     ,  95.996   , 8.346  ,   18.204   ,  86.198   ,   10.013
  sim_card_set   , 60.958  , 79.211 ,    76.464     ,   76.945   ,     72.926     ,  97.011   , 25.588 ,   31.934   ,  82.833   ,   19.001
     switch      , 79.126  , 90.491 ,    65.621     ,   72.956   ,     69.759     ,  93.068   , 19.637 ,   26.542   ,  73.468   ,   15.302
      tape       , 71.308  , 85.543 ,    73.350     ,   65.791   ,     61.111     ,  96.809   , 13.549 ,   18.503   ,  86.001   ,   10.194
  terminalblock  , 77.364  , 88.940 ,    62.826     ,   67.872   ,     71.260     ,  95.201   , 5.762  ,   13.558   ,  79.541   ,    7.272
   toothbrush    , 78.513  , 89.880 ,    72.107     ,   79.170   ,     72.331     ,  92.473   , 19.282 ,   28.085   ,  74.605   ,   16.337
       toy       , 52.667  , 66.150 ,    49.497     ,   57.505   ,     73.666     ,  86.348   , 1.175  ,   4.028    ,  64.269   ,    2.056
    toy_brick    , 58.625  , 74.980 ,    59.195     ,   53.608   ,     65.490     ,  89.871   , 1.598  ,   4.700    ,  54.781   ,    2.407
   transistor1   , 75.875  , 87.629 ,    73.086     ,   77.699   ,     75.340     ,  95.633   , 18.704 ,   24.072   ,  82.447   ,   13.683
     u_block     , 79.294  , 89.566 ,    73.769     ,   64.106   ,     57.778     ,  97.251   , 25.654 ,   31.520   ,  86.175   ,   18.708
       usb       , 53.840  , 73.931 ,    58.971     ,   54.194   ,     61.626     ,  92.841   , 3.339  ,   8.560    ,  73.985   ,    4.471
   usb_adaptor   , 63.084  , 81.310 ,    64.563     ,   57.818   ,     57.255     ,  91.350   , 6.251  ,   16.830   ,  62.232   ,    9.188
     vcpill      , 66.240  , 80.894 ,    78.891     ,   74.247   ,     71.100     ,  97.735   , 31.345 ,   36.715   ,  85.848   ,   22.485
  wooden_beads   , 70.663  , 86.623 ,    77.919     ,   71.666   ,     71.429     ,  96.848   , 13.922 ,   19.741   ,  81.041   ,   10.951
    woodstick    , 74.480  , 83.777 ,    73.762     ,   51.695   ,     56.566     ,  90.922   , 4.846  ,   13.569   ,  66.038   ,    7.278
     zipper      , 92.200  , 92.782 ,    91.926     ,   92.969   ,     88.488     ,  95.873   , 19.196 ,   26.363   ,  79.774   ,   15.183
       Avg       , 70.379  , 83.224 ,    68.604     ,   64.456   ,     66.540     ,  93.807   , 10.855 ,   17.390   ,  74.719   ,    9.813
