      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 85.621  , 93.288 ,    64.569     ,   51.342   ,     56.995     ,  94.991   , 10.654 ,   19.429   ,  72.415   ,   10.760
   bottle_cap    , 78.513  , 90.883 ,    74.432     ,   69.211   ,     69.254     ,  98.844   , 28.719 ,   36.159   ,  94.438   ,   22.069
 button_battery  , 77.941  , 88.630 ,    66.771     ,   77.570   ,     77.758     ,  93.606   , 29.931 ,   37.885   ,  76.503   ,   23.369
     end_cap     , 69.391  , 85.088 ,    62.189     ,   69.469   ,     73.883     ,  85.456   , 5.266  ,   14.760   ,  61.724   ,    7.968
     eraser      , 86.338  , 93.743 ,    85.570     ,   82.875   ,     76.825     ,  98.522   , 23.960 ,   28.375   ,  91.870   ,   16.533
    fire_hood    , 81.800  , 92.441 ,    77.018     ,   73.895   ,     65.926     ,  98.344   , 30.438 ,   36.579   ,  86.092   ,   22.384
      mint       , 67.795  , 89.957 ,    62.905     ,   60.847   ,     66.667     ,  92.560   , 5.971  ,   13.555   ,  61.958   ,    7.270
     mounts      , 96.446  , 98.347 ,    79.151     ,   71.682   ,     69.032     ,  97.439   , 30.486 ,   34.701   ,  87.659   ,   20.993
       pcb       , 60.833  , 82.153 ,    61.754     ,   74.075   ,     75.510     ,  91.696   , 2.199  ,   5.563    ,  65.129   ,    2.861
  phone_battery  , 83.252  , 93.492 ,    70.519     ,   70.242   ,     63.590     ,  95.405   , 20.457 ,   29.597   ,  83.084   ,   17.369
   plastic_nut   , 77.280  , 85.863 ,    75.758     ,   60.915   ,     61.417     ,  97.555   , 18.795 ,   23.866   ,  87.868   ,   13.550
  plastic_plug   , 82.312  , 92.269 ,    79.541     ,   72.192   ,     67.123     ,  98.321   , 19.155 ,   30.889   ,  91.224   ,   18.266
 porcelain_doll  , 83.047  , 85.015 ,    68.895     ,   52.097   ,     56.338     ,  96.379   , 6.011  ,   10.651   ,  86.049   ,    5.625
    regulator    , 51.763  , 69.470 ,    36.784     ,   19.765   ,     41.423     ,  85.053   , 0.141  ,   0.555    ,  56.043   ,    0.278
rolled_strip_base, 87.132  , 94.970 ,    80.899     ,   91.016   ,     85.274     ,  98.129   , 19.062 ,   28.197   ,  95.059   ,   16.412
  sim_card_set   , 93.833  , 96.319 ,    81.750     ,   79.473   ,     76.037     ,  97.911   , 18.249 ,   26.110   ,  86.904   ,   15.015
     switch      , 76.920  , 88.653 ,    67.585     ,   73.152   ,     69.981     ,  93.177   , 16.947 ,   24.276   ,  79.588   ,   13.815
      tape       , 94.923  , 97.687 ,    90.651     ,   89.684   ,     83.206     ,  98.828   , 31.819 ,   39.004   ,  95.503   ,   24.227
  terminalblock  , 89.744  , 95.923 ,    77.720     ,   82.723   ,     75.336     ,  97.031   , 23.461 ,   33.194   ,  89.760   ,   19.900
   toothbrush    , 80.474  , 86.484 ,    69.582     ,   70.035   ,     74.286     ,  91.843   , 8.220  ,   16.239   ,  74.187   ,    8.837
       toy       , 63.750  , 79.855 ,    51.851     ,   59.583   ,     73.540     ,  87.391   , 1.013  ,   3.758    ,  67.710   ,    1.915
    toy_brick    , 80.000  , 86.182 ,    68.605     ,   61.805   ,     68.240     ,  96.698   , 7.315  ,   15.415   ,  82.652   ,    8.351
   transistor1   , 96.542  , 98.358 ,    89.517     ,   91.794   ,     84.762     ,  98.418   , 26.753 ,   33.122   ,  92.830   ,   19.848
     u_block     , 74.065  , 86.853 ,    70.554     ,   56.336   ,     60.000     ,  98.602   , 17.643 ,   19.349   ,  93.443   ,   10.710
       usb       , 70.016  , 75.848 ,    73.087     ,   67.436   ,     65.405     ,  95.032   , 6.433  ,   14.600   ,  76.291   ,    7.875
   usb_adaptor   , 77.214  , 90.386 ,    70.581     ,   65.054   ,     61.250     ,  96.758   , 14.284 ,   21.268   ,  84.862   ,   11.899
     vcpill      , 93.960  , 97.165 ,    74.882     ,   74.499   ,     68.404     ,  96.578   , 11.580 ,   19.718   ,  84.878   ,   10.937
  wooden_beads   , 86.522  , 95.417 ,    80.099     ,   75.864   ,     71.960     ,  96.040   , 13.137 ,   17.700   ,  83.070   ,    9.709
    woodstick    , 77.800  , 88.071 ,    80.660     ,   71.180   ,     65.778     ,  95.719   , 30.670 ,   37.587   ,  84.251   ,   23.143
     zipper      , 99.680  , 99.846 ,    90.898     ,   94.063   ,     88.352     ,  94.299   , 7.250  ,   14.904   ,  81.988   ,    8.052
       Avg       , 80.830  , 89.955 ,    72.826     ,   70.329   ,     69.785     ,  95.221   , 16.201 ,   22.900   ,  81.834   ,   13.331
