      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 90.564  , 95.568 ,    74.087     ,   59.358   ,     64.972     ,  95.667   , 10.286 ,   18.435   ,  76.373   ,   10.153
   bottle_cap    , 92.688  , 96.245 ,    84.009     ,   83.962   ,     78.176     ,  98.940   , 33.342 ,   36.096   ,  94.610   ,   22.022
 button_battery  , 68.873  , 85.228 ,    69.064     ,   78.436   ,     78.246     ,  93.775   , 30.638 ,   38.245   ,  76.444   ,   23.644
     end_cap     , 60.457  , 77.270 ,    60.637     ,   64.627   ,     74.377     ,  88.515   , 4.483  ,   11.316   ,  70.254   ,    5.997
     eraser      , 89.663  , 95.842 ,    86.394     ,   84.055   ,     75.862     ,  98.586   , 25.831 ,   30.782   ,  91.955   ,   18.191
    fire_hood    , 84.200  , 92.874 ,    78.541     ,   74.720   ,     64.286     ,  98.360   , 29.294 ,   36.387   ,  85.906   ,   22.240
      mint       , 71.875  , 92.711 ,    63.495     ,   63.606   ,     66.234     ,  93.364   , 8.365  ,   17.598   ,  63.935   ,    9.648
     mounts      , 95.670  , 97.942 ,    82.192     ,   71.448   ,     68.966     ,  98.405   , 31.497 ,   35.389   ,  91.362   ,   21.498
       pcb       , 72.875  , 83.020 ,    70.364     ,   79.804   ,     75.722     ,  93.947   , 3.415  ,   9.016    ,  72.718   ,    4.721
  phone_battery  , 99.918  , 99.963 ,    80.652     ,   74.975   ,     71.935     ,  96.300   , 18.587 ,   26.388   ,  86.353   ,   15.199
   plastic_nut   , 81.800  , 87.699 ,    80.298     ,   63.274   ,     66.431     ,  97.898   , 15.894 ,   21.180   ,  88.785   ,   11.844
  plastic_plug   , 77.451  , 89.502 ,    78.801     ,   69.021   ,     67.913     ,  97.878   , 7.124  ,   16.669   ,  89.820   ,    9.093
 porcelain_doll  , 75.940  , 81.362 ,    68.240     ,   47.765   ,     56.000     ,  95.847   , 3.322  ,   9.177    ,  84.710   ,    4.809
    regulator    , 66.506  , 84.005 ,    37.248     ,   19.894   ,     41.438     ,  87.275   , 0.171  ,   0.492    ,  59.920   ,    0.247
rolled_strip_base, 99.837  , 99.926 ,    96.618     ,   98.536   ,     94.257     ,  99.145   , 26.403 ,   32.649   ,  97.486   ,   19.509
  sim_card_set   , 94.750  , 97.649 ,    84.566     ,   82.276   ,     80.337     ,  97.936   , 13.849 ,   22.642   ,  87.243   ,   12.766
     switch      , 92.688  , 96.086 ,    79.168     ,   83.215   ,     74.217     ,  97.147   , 47.133 ,   52.602   ,  86.726   ,   35.688
      tape       , 97.346  , 98.606 ,    92.019     ,   90.418   ,     84.091     ,  99.074   , 30.143 ,   37.176   ,  96.197   ,   22.832
  terminalblock  , 96.314  , 98.241 ,    85.895     ,   88.636   ,     82.192     ,  98.938   , 31.175 ,   38.668   ,  95.158   ,   23.968
   toothbrush    , 92.075  , 95.749 ,    80.745     ,   83.644   ,     79.279     ,  94.164   , 16.355 ,   25.861   ,  80.849   ,   14.851
       toy       , 62.583  , 80.557 ,    55.931     ,   62.156   ,     73.830     ,  89.415   , 1.166  ,   3.737    ,  70.378   ,    1.904
    toy_brick    , 87.208  , 91.573 ,    71.446     ,   64.102   ,     68.464     ,  96.802   , 7.253  ,   14.441   ,  82.185   ,    7.782
   transistor1   , 98.500  , 99.294 ,    93.678     ,   94.976   ,     87.615     ,  98.552   , 22.615 ,   27.604   ,  93.067   ,   16.012
     u_block     , 86.650  , 93.676 ,    72.099     ,   58.802   ,     60.417     ,  98.177   , 13.741 ,   16.268   ,  91.596   ,    8.854
       usb       , 67.320  , 77.280 ,    75.593     ,   69.371   ,     67.039     ,  96.680   , 8.234  ,   13.707   ,  82.781   ,    7.358
   usb_adaptor   , 90.660  , 96.223 ,    76.220     ,   70.927   ,     65.605     ,  97.080   , 13.610 ,   22.617   ,  86.155   ,   12.750
     vcpill      , 95.320  , 97.911 ,    74.601     ,   68.978   ,     67.101     ,  96.498   , 12.394 ,   19.615   ,  85.421   ,   10.874
  wooden_beads   , 91.284  , 96.948 ,    80.376     ,   76.758   ,     71.688     ,  96.530   , 15.779 ,   20.743   ,  84.182   ,   11.572
    woodstick    , 75.200  , 87.481 ,    78.749     ,   69.016   ,     61.240     ,  95.025   , 28.223 ,   35.144   ,  80.121   ,   21.318
     zipper      , 99.480  , 99.727 ,    92.894     ,   94.534   ,     91.703     ,  94.752   , 8.226  ,   15.824   ,  82.705   ,    8.592
       Avg       , 85.190  , 92.205 ,    76.821     ,   73.043   ,     71.988     ,  96.022   , 17.285 ,   23.549   ,  83.847   ,   13.865
