      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 62.132  , 81.406 ,    56.956     ,   41.489   ,     55.864     ,  92.774   , 1.710  ,   4.460    ,  69.767   ,    2.281
   bottle_cap    , 97.794  , 99.077 ,    83.770     ,   81.642   ,     74.930     ,  98.569   , 27.117 ,   35.167   ,  95.016   ,   21.335
 button_battery  , 57.516  , 74.085 ,    55.697     ,   69.258   ,     76.819     ,  95.291   , 21.422 ,   27.434   ,  83.907   ,   15.898
     end_cap     , 58.974  , 80.379 ,    64.940     ,   71.172   ,     73.797     ,  91.724   , 5.805  ,   10.664   ,  80.493   ,    5.632
     eraser      , 80.889  , 90.316 ,    84.792     ,   83.777   ,     75.325     ,  99.252   , 43.143 ,   44.639   ,  97.593   ,   28.732
    fire_hood    , 79.000  , 90.150 ,    83.813     ,   78.662   ,     71.970     ,  98.505   , 41.177 ,   46.659   ,  90.562   ,   30.428
      mint       , 61.372  , 87.448 ,    54.957     ,   50.214   ,     65.015     ,  93.326   , 2.087  ,   6.583    ,  79.737   ,    3.404
     mounts      , 88.031  , 95.172 ,    78.767     ,   71.255   ,     65.169     ,  96.492   , 29.828 ,   35.566   ,  91.953   ,   21.629
       pcb       , 62.625  , 78.183 ,    56.366     ,   67.500   ,     75.548     ,  83.177   , 0.975  ,   2.408    ,  58.663   ,    1.219
  phone_battery  ,  3.595  , 46.703 ,    63.282     ,   48.423   ,     62.245     ,  97.773   , 5.192  ,   12.144   ,  90.018   ,    6.464
   plastic_nut   , 75.680  , 85.689 ,    76.629     ,   67.605   ,     59.318     ,  98.495   , 27.947 ,   36.591   ,  93.324   ,   22.392
  plastic_plug   , 45.016  , 62.977 ,    64.537     ,   53.082   ,     57.263     ,  99.217   , 17.785 ,   27.407   ,  96.700   ,   15.880
 porcelain_doll  , 88.889  , 95.399 ,    84.154     ,   81.114   ,     72.157     ,  98.625   , 33.902 ,   37.947   ,  96.306   ,   23.416
    regulator    , 67.308  , 82.368 ,    45.785     ,   26.910   ,     41.772     ,  92.558   , 0.611  ,   2.984    ,  79.309   ,    1.515
rolled_strip_base, 12.459  , 49.900 ,    74.000     ,   75.246   ,     87.344     ,  98.952   , 12.975 ,   23.908   ,  96.970   ,   13.577
  sim_card_set   ,  9.875  , 47.624 ,    71.014     ,   58.125   ,     76.923     ,  98.631   , 11.080 ,   26.480   ,  92.819   ,   15.260
     switch      , 83.783  , 92.965 ,    62.692     ,   66.049   ,     70.260     ,  76.951   , 2.158  ,   6.261    ,  74.202   ,    3.231
      tape       , 84.154  , 82.987 ,    72.840     ,   50.674   ,     68.831     ,  98.304   , 6.173  ,   15.852   ,  94.439   ,    8.608
  terminalblock  , 71.915  , 86.613 ,    75.813     ,   71.870   ,     80.000     ,  97.517   , 8.713  ,   14.274   ,  94.365   ,    7.686
   toothbrush    , 52.247  , 72.516 ,    65.102     ,   64.779   ,     74.263     ,  93.372   , 14.831 ,   23.056   ,  81.617   ,   13.030
       toy       , 62.125  , 78.708 ,    58.166     ,   67.387   ,     73.333     ,  89.999   , 1.993  ,   5.726    ,  72.352   ,    2.947
    toy_brick    , 73.375  , 79.059 ,    72.176     ,   64.539   ,     70.801     ,  96.740   , 13.534 ,   22.393   ,  87.482   ,   12.608
   transistor1   , 59.292  , 76.863 ,    61.421     ,   65.979   ,     72.438     ,  95.675   , 6.698  ,   11.540   ,  83.961   ,    6.123
     u_block     , 91.794  , 96.286 ,    85.204     ,   75.044   ,     73.171     ,  99.498   , 39.072 ,   45.652   ,  98.017   ,   29.577
       usb       , 47.631  , 69.212 ,    47.670     ,   47.581   ,     60.595     ,  91.098   , 1.991  ,   4.727    ,  71.085   ,    2.421
   usb_adaptor   , 39.332  , 62.713 ,    59.639     ,   43.514   ,     57.948     ,  96.834   , 2.609  ,   8.344    ,  86.643   ,    4.354
     vcpill      , 57.360  , 72.644 ,    62.567     ,   49.586   ,     64.133     ,  94.531   , 9.431  ,   17.152   ,  83.600   ,    9.380
  wooden_beads   , 77.551  , 90.457 ,    77.625     ,   70.426   ,     71.831     ,  97.320   , 21.336 ,   28.572   ,  93.120   ,   16.667
    woodstick    , 65.200  , 72.174 ,    75.184     ,   57.448   ,     59.535     ,  94.613   , 13.404 ,   22.790   ,  84.546   ,   12.861
     zipper      , 63.600  , 77.896 ,    69.766     ,   71.962   ,     78.400     ,  96.085   , 15.562 ,   25.477   ,  86.502   ,   14.598
       Avg       , 62.684  , 78.599 ,    68.177     ,   63.077   ,     68.900     ,  95.063   , 14.675 ,   21.095   ,  86.169   ,   12.438
