      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 81.087  , 89.322 ,    72.039     ,   59.058   ,     63.584     ,  96.633   , 8.284  ,   17.185   ,  80.840   ,    9.400
   bottle_cap    , 94.730  , 97.521 ,    86.694     ,   83.388   ,     77.045     ,  99.425   , 18.352 ,   29.176   ,  97.272   ,   17.079
 button_battery  , 67.892  , 85.377 ,    70.543     ,   80.042   ,     77.342     ,  98.094   , 42.865 ,   45.908   ,  87.867   ,   29.792
     end_cap     , 76.322  , 87.558 ,    70.473     ,   74.166   ,     76.091     ,  95.454   , 7.480  ,   15.509   ,  87.935   ,    8.407
     eraser      , 86.418  , 93.925 ,    87.725     ,   86.249   ,     77.647     ,  99.448   , 24.136 ,   31.981   ,  96.522   ,   19.035
    fire_hood    , 74.760  , 87.074 ,    78.060     ,   69.004   ,     65.660     ,  98.620   , 17.651 ,   29.279   ,  88.476   ,   17.151
      mint       , 70.269  , 92.268 ,    66.566     ,   68.608   ,     65.728     ,  95.459   , 20.865 ,   31.190   ,  72.763   ,   18.476
     mounts      , 92.116  , 96.374 ,    83.319     ,   78.092   ,     68.693     ,  98.703   , 33.417 ,   40.264   ,  96.262   ,   25.206
       pcb       , 80.417  , 88.968 ,    73.820     ,   82.038   ,     77.273     ,  94.128   , 10.141 ,   18.433   ,  83.133   ,   10.152
  phone_battery  , 85.580  , 92.573 ,    88.397     ,   86.450   ,     80.511     ,  99.490   , 32.697 ,   42.058   ,  96.151   ,   26.628
   plastic_nut   , 86.280  , 92.879 ,    80.616     ,   71.522   ,     66.946     ,  99.277   , 33.151 ,   41.586   ,  94.233   ,   26.252
  plastic_plug   , 82.557  , 90.979 ,    83.898     ,   78.778   ,     70.620     ,  99.392   , 25.691 ,   33.597   ,  96.167   ,   20.190
 porcelain_doll  , 90.645  , 94.513 ,    88.366     ,   81.026   ,     74.048     ,  98.577   , 23.666 ,   32.694   ,  95.487   ,   19.542
    regulator    , 65.224  , 81.054 ,    53.097     ,   32.660   ,     41.880     ,  96.044   , 4.149  ,   11.441   ,  84.982   ,    6.068
rolled_strip_base, 94.730  , 97.318 ,    89.346     ,   94.840   ,     87.751     ,  99.589   , 31.348 ,   38.731   ,  98.366   ,   24.017
  sim_card_set   , 94.208  , 97.483 ,    90.121     ,   91.050   ,     81.609     ,  98.847   , 45.352 ,   47.808   ,  92.623   ,   31.413
     switch      , 89.093  , 94.962 ,    81.627     ,   85.574   ,     76.190     ,  91.422   , 23.511 ,   31.479   ,  86.708   ,   18.679
      tape       , 94.615  , 96.758 ,    94.940     ,   92.993   ,     86.957     ,  99.671   , 44.408 ,   51.236   ,  98.376   ,   34.441
  terminalblock  , 89.343  , 95.593 ,    88.039     ,   90.498   ,     82.247     ,  98.898   , 28.010 ,   38.903   ,  97.069   ,   24.149
   toothbrush    , 78.758  , 89.859 ,    84.978     ,   84.780   ,     83.956     ,  96.256   , 27.932 ,   33.274   ,  87.648   ,   19.957
       toy       , 79.042  , 89.218 ,    75.335     ,   81.643   ,     76.483     ,  93.622   , 10.126 ,   20.946   ,  86.331   ,   11.698
    toy_brick    , 67.875  , 83.355 ,    60.351     ,   54.786   ,     64.650     ,  94.716   , 7.736  ,   14.865   ,  70.122   ,    8.029
   transistor1   , 92.833  , 96.615 ,    86.841     ,   90.406   ,     82.143     ,  98.782   , 33.634 ,   41.413   ,  94.736   ,   26.113
     u_block     , 89.243  , 93.719 ,    88.279     ,   81.297   ,     72.797     ,  99.550   , 44.003 ,   48.093   ,  97.782   ,   31.659
       usb       , 83.415  , 92.347 ,    78.675     ,   79.565   ,     68.675     ,  97.981   , 28.164 ,   35.682   ,  91.710   ,   21.715
   usb_adaptor   , 93.800  , 96.746 ,    79.898     ,   72.935   ,     67.385     ,  95.474   , 12.314 ,   23.658   ,  75.957   ,   13.416
     vcpill      , 91.160  , 95.722 ,    88.207     ,   86.611   ,     78.078     ,  98.535   , 47.038 ,   53.585   ,  91.982   ,   36.598
  wooden_beads   , 77.764  , 89.713 ,    87.854     ,   86.327   ,     80.682     ,  98.456   , 35.562 ,   40.980   ,  91.757   ,   25.770
    woodstick    , 77.320  , 87.011 ,    81.149     ,   65.754   ,     61.611     ,  96.858   , 14.759 ,   23.548   ,  86.637   ,   13.345
     zipper      , 99.840  , 99.920 ,    98.601     ,   99.074   ,     95.032     ,  98.678   , 35.923 ,   42.481   ,  95.858   ,   26.969
       Avg       , 84.245  , 92.224 ,    81.262     ,   78.974   ,     74.311     ,  97.536   , 25.746 ,   33.566   ,  90.058   ,   20.712
