      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 83.047  , 90.996 ,    71.663     ,   58.790   ,     62.360     ,  96.583   , 7.970  ,   16.798   ,  80.697   ,    9.169
   bottle_cap    , 95.098  , 97.696 ,    86.423     ,   82.863   ,     76.720     ,  99.374   , 17.559 ,   27.955   ,  97.054   ,   16.249
 button_battery  , 71.487  , 87.050 ,    72.690     ,   81.175   ,     79.125     ,  98.116   , 42.649 ,   45.854   ,  87.937   ,   29.747
     end_cap     , 75.401  , 86.693 ,    69.563     ,   73.131   ,     75.486     ,  95.404   , 6.809  ,   14.213   ,  87.755   ,    7.650
     eraser      , 87.861  , 94.455 ,    88.606     ,   87.062   ,     78.431     ,  99.437   , 23.358 ,   31.207   ,  96.483   ,   18.488
    fire_hood    , 75.440  , 87.225 ,    77.493     ,   68.097   ,     64.684     ,  98.600   , 16.424 ,   28.128   ,  88.392   ,   16.366
      mint       , 71.701  , 92.829 ,    66.789     ,   68.732   ,     65.934     ,  95.430   , 20.674 ,   31.047   ,  72.713   ,   18.376
     mounts      , 91.830  , 96.087 ,    83.418     ,   78.201   ,     67.683     ,  98.701   , 32.977 ,   40.263   ,  96.074   ,   25.206
       pcb       , 81.625  , 89.588 ,    74.196     ,   82.169   ,     78.261     ,  94.027   , 9.872  ,   17.344   ,  82.829   ,    9.496
  phone_battery  , 87.786  , 93.654 ,    88.772     ,   86.351   ,     80.374     ,  99.448   , 31.731 ,   41.410   ,  96.018   ,   26.112
   plastic_nut   , 85.320  , 92.456 ,    80.491     ,   71.689   ,     68.333     ,  99.266   , 33.356 ,   41.313   ,  94.135   ,   26.034
  plastic_plug   , 84.395  , 91.650 ,    83.919     ,   78.302   ,     71.761     ,  99.344   , 24.298 ,   31.512   ,  95.902   ,   18.703
 porcelain_doll  , 90.931  , 94.723 ,    88.453     ,   81.177   ,     74.648     ,  98.563   , 23.718 ,   32.041   ,  95.450   ,   19.076
    regulator    , 66.186  , 81.216 ,    52.931     ,   32.900   ,     41.702     ,  96.043   , 4.053  ,   10.756   ,  84.958   ,    5.684
rolled_strip_base, 95.425  , 97.533 ,    89.876     ,   95.033   ,     88.043     ,  99.574   , 31.250 ,   38.501   ,  98.301   ,   23.840
  sim_card_set   , 96.917  , 98.594 ,    90.708     ,   91.383   ,     81.915     ,  98.785   , 44.739 ,   48.023   ,  92.103   ,   31.599
     switch      , 89.706  , 95.242 ,    81.632     ,   85.751   ,     75.714     ,  91.585   , 24.207 ,   31.788   ,  86.591   ,   18.897
      tape       , 94.423  , 96.602 ,    95.073     ,   93.096   ,     87.179     ,  99.670   , 44.574 ,   51.328   ,  98.370   ,   34.525
  terminalblock  , 89.423  , 95.623 ,    87.816     ,   90.356   ,     81.153     ,  98.929   , 27.835 ,   39.062   ,  96.984   ,   24.271
   toothbrush    , 81.822  , 91.383 ,    85.539     ,   85.546   ,     84.327     ,  96.210   , 27.771 ,   33.392   ,  87.568   ,   20.042
       toy       , 78.667  , 88.899 ,    76.510     ,   82.155   ,     77.291     ,  93.644   , 9.791  ,   20.503   ,  86.385   ,   11.423
    toy_brick    , 70.875  , 84.983 ,    60.439     ,   55.064   ,     64.627     ,  94.255   , 6.651  ,   14.210   ,  68.502   ,    7.649
   transistor1   , 92.833  , 96.649 ,    86.948     ,   90.482   ,     82.063     ,  98.812   , 33.004 ,   41.568   ,  94.827   ,   26.237
     u_block     , 89.583  , 94.195 ,    88.473     ,   81.372   ,     73.152     ,  99.545   , 43.062 ,   47.323   ,  97.739   ,   30.995
       usb       , 81.577  , 91.391 ,    78.803     ,   79.255   ,     69.079     ,  97.934   , 27.655 ,   36.304   ,  91.486   ,   22.178
   usb_adaptor   , 94.444  , 97.045 ,    80.063     ,   72.176   ,     68.169     ,  95.371   , 11.417 ,   22.398   ,  75.280   ,   12.611
     vcpill      , 91.760  , 95.840 ,    88.260     ,   86.461   ,     78.419     ,  98.563   , 46.236 ,   53.044   ,  91.990   ,   36.095
  wooden_beads   , 78.274  , 89.959 ,    88.279     ,   86.894   ,     80.802     ,  98.460   , 35.026 ,   40.260   ,  91.699   ,   25.203
    woodstick    , 77.160  , 86.405 ,    80.205     ,   64.273   ,     61.836     ,  96.613   , 13.301 ,   21.968   ,  85.516   ,   12.339
     zipper      , 99.880  , 99.940 ,    98.518     ,   99.007   ,     94.872     ,  98.525   , 32.693 ,   40.116   ,  95.305   ,   25.091
       Avg       , 85.029  , 92.553 ,    81.418     ,   78.965   ,     74.471     ,  97.494   , 25.155 ,   32.988   ,  89.835   ,   20.312
