      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 96.283  , 98.330 ,    77.230     ,   58.958   ,     70.300     ,  95.374   , 10.465 ,   17.853   ,  75.108   ,    9.802
   bottle_cap    , 98.407  , 99.229 ,    89.672     ,   91.006   ,     85.000     ,  99.094   , 51.760 ,   50.062   ,  95.022   ,   33.388
 button_battery  , 88.317  , 92.091 ,    69.946     ,   78.336   ,     78.652     ,  93.409   , 28.829 ,   36.203   ,  79.385   ,   22.102
     end_cap     , 65.385  , 82.268 ,    59.258     ,   68.351   ,     73.205     ,  88.358   , 6.011  ,   13.416   ,  71.831   ,    7.190
     eraser      , 89.463  , 95.160 ,    83.129     ,   75.748   ,     76.271     ,  98.792   , 21.555 ,   24.732   ,  94.061   ,   14.111
    fire_hood    , 85.480  , 93.482 ,    83.056     ,   77.838   ,     70.079     ,  98.686   , 39.040 ,   44.164   ,  89.740   ,   28.340
      mint       , 70.530  , 91.895 ,    63.021     ,   63.164   ,     65.501     ,  91.831   , 8.453  ,   17.063   ,  68.996   ,    9.327
     mounts      , 97.386  , 98.796 ,    81.089     ,   69.240   ,     69.782     ,  98.557   , 33.482 ,   37.546   ,  95.513   ,   23.112
       pcb       , 73.625  , 86.714 ,    70.508     ,   80.209   ,     76.684     ,  91.019   , 2.976  ,   7.708    ,  69.581   ,    4.009
  phone_battery  , 99.510  , 99.763 ,    82.130     ,   77.082   ,     73.900     ,  96.673   , 24.256 ,   29.144   ,  87.100   ,   17.057
   plastic_nut   , 79.880  , 88.447 ,    78.476     ,   60.541   ,     65.625     ,  98.112   , 19.004 ,   25.854   ,  90.234   ,   14.846
  plastic_plug   , 89.951  , 94.305 ,    81.883     ,   73.789   ,     70.149     ,  98.637   , 17.291 ,   29.135   ,  93.705   ,   17.052
 porcelain_doll  , 80.760  , 82.932 ,    65.422     ,   47.292   ,     53.753     ,  96.337   , 4.617  ,   10.222   ,  87.277   ,    5.386
    regulator    , 67.829  , 79.370 ,    45.800     ,   25.945   ,     41.423     ,  88.467   , 0.506  ,   2.637    ,  67.314   ,    1.336
rolled_strip_base, 100.000 ,100.000 ,    96.696     ,   98.621   ,     93.103     ,  99.162   , 39.913 ,   45.777   ,  97.897   ,   29.683
  sim_card_set   , 93.542  , 96.253 ,    83.038     ,   80.976   ,     78.774     ,  97.743   , 17.824 ,   25.908   ,  87.573   ,   14.882
     switch      , 89.665  , 95.525 ,    76.499     ,   80.473   ,     73.303     ,  89.647   , 18.377 ,   26.587   ,  79.704   ,   15.332
      tape       , 98.692  , 99.389 ,    92.477     ,   88.884   ,     82.353     ,  99.208   , 35.940 ,   39.953   ,  97.084   ,   24.964
  terminalblock  , 95.553  , 97.685 ,    89.926     ,   91.064   ,     85.843     ,  99.013   , 41.517 ,   43.642   ,  96.551   ,   27.912
   toothbrush    , 91.993  , 96.248 ,    75.569     ,   78.597   ,     76.289     ,  92.868   , 13.848 ,   22.962   ,  78.761   ,   12.970
       toy       , 65.583  , 82.098 ,    55.913     ,   63.354   ,     73.535     ,  86.604   , 1.730  ,   6.610    ,  70.580   ,    3.418
    toy_brick    , 86.708  , 92.970 ,    73.176     ,   62.677   ,     72.000     ,  97.019   , 6.083  ,   12.149   ,  87.045   ,    6.467
   transistor1   , 98.917  , 99.497 ,    93.865     ,   95.630   ,     89.268     ,  97.910   , 23.265 ,   26.182   ,  91.294   ,   15.063
     u_block     , 85.204  , 93.206 ,    75.330     ,   63.669   ,     62.006     ,  98.491   , 15.941 ,   18.702   ,  93.554   ,   10.316
       usb       , 72.467  , 78.470 ,    76.771     ,   69.449   ,     69.903     ,  94.930   , 5.771  ,   13.488   ,  78.539   ,    7.232
   usb_adaptor   , 95.531  , 98.294 ,    77.954     ,   72.402   ,     68.354     ,  97.518   , 25.943 ,   31.759   ,  89.998   ,   18.877
     vcpill      , 97.760  , 98.823 ,    76.421     ,   67.378   ,     70.284     ,  94.757   , 8.214  ,   14.247   ,  83.347   ,    7.670
  wooden_beads   , 84.481  , 92.283 ,    80.670     ,   77.600   ,     70.507     ,  96.368   , 21.037 ,   26.801   ,  87.525   ,   15.474
    woodstick    , 82.560  , 91.403 ,    83.257     ,   74.587   ,     67.907     ,  94.830   , 33.475 ,   39.347   ,  86.517   ,   24.492
     zipper      , 97.080  , 97.689 ,    89.657     ,   89.958   ,     89.565     ,  94.177   , 7.648  ,   16.244   ,  79.809   ,    8.840
       Avg       , 87.285  , 93.087 ,    77.595     ,   73.427   ,     73.111     ,  95.453   , 19.492 ,   25.203   ,  85.021   ,   15.022
