      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 85.784  , 93.627 ,    77.509     ,   64.582   ,     64.972     ,  95.679   , 16.431 ,   25.765   ,  76.785   ,   14.788
   bottle_cap    , 99.673  , 99.854 ,    91.223     ,   92.420   ,     84.590     ,  99.247   , 49.711 ,   50.874   ,  95.916   ,   34.115
 button_battery  , 68.709  , 84.274 ,    72.036     ,   78.802   ,     79.310     ,  94.791   , 22.983 ,   29.210   ,  83.765   ,   17.103
     end_cap     , 71.194  , 82.995 ,    69.153     ,   75.635   ,     73.628     ,  91.757   , 7.981  ,   15.097   ,  80.695   ,    8.165
     eraser      , 89.183  , 94.348 ,    88.362     ,   86.440   ,     79.394     ,  99.145   , 39.174 ,   44.977   ,  95.146   ,   29.013
    fire_hood    , 84.880  , 93.111 ,    82.665     ,   74.799   ,     69.136     ,  98.807   , 30.280 ,   37.596   ,  91.008   ,   23.150
      mint       , 66.840  , 90.594 ,    65.263     ,   65.243   ,     65.501     ,  91.823   , 11.399 ,   22.472   ,  72.155   ,   12.659
     mounts      , 97.263  , 98.796 ,    79.142     ,   69.467   ,     68.263     ,  97.477   , 29.007 ,   33.619   ,  94.691   ,   20.206
       pcb       , 73.792  , 86.713 ,    71.080     ,   80.315   ,     77.186     ,  92.594   , 10.713 ,   15.689   ,  79.597   ,    8.512
  phone_battery  , 94.853  , 97.369 ,    85.983     ,   85.014   ,     74.919     ,  98.530   , 40.946 ,   46.167   ,  94.071   ,   30.011
   plastic_nut   , 85.080  , 91.008 ,    81.127     ,   66.945   ,     67.119     ,  98.697   , 28.118 ,   35.661   ,  93.856   ,   21.699
  plastic_plug   , 80.760  , 90.934 ,    80.411     ,   73.333   ,     67.568     ,  99.300   , 41.172 ,   46.504   ,  96.478   ,   30.296
 porcelain_doll  , 68.342  , 79.453 ,    73.092     ,   59.404   ,     59.064     ,  97.957   , 15.950 ,   25.952   ,  92.778   ,   14.911
    regulator    , 65.865  , 82.709 ,    52.507     ,   31.008   ,     41.509     ,  91.383   , 1.269  ,   5.778    ,  76.900   ,    2.975
rolled_strip_base, 98.734  , 99.426 ,    95.507     ,   97.912   ,     92.585     ,  99.312   , 31.047 ,   36.329   ,  98.232   ,   22.196
  sim_card_set   , 88.458  , 93.532 ,    90.460     ,   89.837   ,     84.156     ,  98.805   , 47.690 ,   49.318   ,  92.619   ,   32.730
     switch      , 90.523  , 95.578 ,    74.977     ,   79.873   ,     71.981     ,  82.960   , 12.916 ,   18.081   ,  79.127   ,    9.939
      tape       , 96.692  , 98.443 ,    94.407     ,   93.027   ,     85.921     ,  99.430   , 47.856 ,   51.115   ,  98.019   ,   34.332
  terminalblock  , 98.558  , 99.392 ,    93.235     ,   94.815   ,     90.385     ,  98.772   , 48.228 ,   52.230   ,  97.074   ,   35.346
   toothbrush    , 89.869  , 95.059 ,    77.591     ,   75.497   ,     78.396     ,  93.301   , 15.773 ,   23.447   ,  81.328   ,   13.280
       toy       , 67.542  , 85.539 ,    63.716     ,   74.226   ,     74.088     ,  88.184   , 11.743 ,   18.922   ,  77.838   ,   10.450
    toy_brick    , 80.333  , 87.562 ,    75.627     ,   74.078   ,     71.689     ,  97.402   , 25.447 ,   31.444   ,  91.833   ,   18.655
   transistor1   , 99.000  , 99.609 ,    94.170     ,   95.141   ,     89.268     ,  98.197   , 30.538 ,   35.073   ,  93.161   ,   21.265
     u_block     , 87.075  , 93.525 ,    77.122     ,   67.336   ,     63.971     ,  99.080   , 29.063 ,   34.458   ,  95.733   ,   20.815
       usb       , 79.943  , 90.164 ,    74.010     ,   74.789   ,     64.734     ,  96.342   , 18.751 ,   26.706   ,  86.402   ,   15.411
   usb_adaptor   , 95.934  , 98.520 ,    77.754     ,   72.416   ,     67.606     ,  97.475   , 32.390 ,   40.975   ,  91.148   ,   25.766
     vcpill      , 73.280  , 84.817 ,    67.763     ,   62.854   ,     62.000     ,  95.991   , 22.102 ,   31.997   ,  84.552   ,   19.045
  wooden_beads   , 80.060  , 90.359 ,    83.394     ,   78.492   ,     76.336     ,  96.048   , 23.799 ,   29.679   ,  87.676   ,   17.426
    woodstick    , 85.040  , 93.642 ,    80.947     ,   73.325   ,     65.608     ,  95.524   , 35.055 ,   41.856   ,  88.936   ,   26.467
     zipper      , 100.000 ,100.000 ,    94.749     ,   95.766   ,     91.954     ,  98.207   , 31.373 ,   43.614   ,  93.215   ,   27.889
       Avg       , 84.775  , 92.365 ,    79.499     ,   76.760   ,     73.428     ,  96.074   , 26.964 ,   33.354   ,  88.691   ,   20.621
