      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 73.039  , 85.177 ,    55.332     ,   41.554   ,     54.846     ,  93.023   , 1.695  ,   4.486    ,  70.284   ,    2.294
   bottle_cap    , 91.667  , 95.962 ,    82.525     ,   78.784   ,     74.457     ,  98.389   , 18.512 ,   25.762   ,  93.900   ,   14.786
 button_battery  , 58.170  , 77.703 ,    67.058     ,   76.838   ,     77.113     ,  95.785   , 31.355 ,   36.028   ,  81.728   ,   21.972
     end_cap     , 66.867  , 82.143 ,    63.453     ,   72.177   ,     73.630     ,  92.215   , 7.305  ,   11.840   ,  79.741   ,    6.293
     eraser      , 64.784  , 82.256 ,    75.195     ,   71.021   ,     68.895     ,  98.590   , 22.354 ,   27.111   ,  94.449   ,   15.681
    fire_hood    , 77.400  , 88.991 ,    81.229     ,   74.803   ,     67.521     ,  97.712   , 23.862 ,   30.695   ,  88.353   ,   18.130
      mint       , 69.922  , 92.262 ,    62.356     ,   59.800   ,     65.979     ,  92.203   , 6.328  ,   14.677   ,  73.519   ,    7.920
     mounts      , 95.057  , 97.914 ,    82.102     ,   73.576   ,     67.901     ,  96.692   , 26.443 ,   35.978   ,  90.884   ,   21.935
       pcb       , 65.083  , 79.192 ,    63.319     ,   70.701   ,     77.138     ,  90.319   , 2.121  ,   5.589    ,  73.963   ,    2.875
  phone_battery  , 78.717  , 89.965 ,    85.566     ,   84.739   ,     75.380     ,  98.447   , 39.875 ,   45.243   ,  91.889   ,   29.235
   plastic_nut   , 75.440  , 86.866 ,    69.172     ,   56.902   ,     56.593     ,  97.833   , 27.739 ,   33.911   ,  89.162   ,   20.417
  plastic_plug   , 78.717  , 91.327 ,    76.942     ,   73.777   ,     64.928     ,  98.986   , 30.946 ,   35.270   ,  95.695   ,   21.411
 porcelain_doll  , 85.008  , 91.104 ,    86.322     ,   77.280   ,     73.729     ,  98.689   , 22.776 ,   34.443   ,  95.725   ,   20.804
    regulator    , 56.530  , 76.635 ,    52.195     ,   31.438   ,     42.151     ,  91.367   , 0.994  ,   3.416    ,  76.314   ,    1.738
rolled_strip_base, 95.384  , 98.070 ,    90.912     ,   95.823   ,     88.288     ,  99.222   , 33.430 ,   41.036   ,  97.541   ,   25.815
  sim_card_set   , 84.958  , 90.278 ,    84.008     ,   82.169   ,     78.282     ,  98.753   , 54.047 ,   55.588   ,  92.194   ,   38.492
     switch      , 86.806  , 93.436 ,    75.590     ,   78.914   ,     72.854     ,  79.124   , 8.890  ,   15.011   ,  78.058   ,    8.115
      tape       , 84.846  , 93.483 ,    89.668     ,   88.059   ,     77.941     ,  99.093   , 47.268 ,   50.806   ,  96.304   ,   34.054
  terminalblock  , 86.178  , 93.588 ,    84.282     ,   85.206   ,     80.508     ,  98.336   , 25.384 ,   31.301   ,  96.143   ,   18.554
   toothbrush    , 81.046  , 90.263 ,    69.778     ,   72.172   ,     74.951     ,  92.259   , 10.991 ,   16.865   ,  77.625   ,    9.209
       toy       , 63.542  , 80.521 ,    64.684     ,   71.440   ,     75.000     ,  90.596   , 3.440  ,   9.233    ,  75.824   ,    4.840
    toy_brick    , 86.500  , 93.196 ,    63.086     ,   59.635   ,     64.740     ,  92.436   , 7.116  ,   14.975   ,  73.735   ,    8.094
   transistor1   , 94.750  , 97.486 ,    80.581     ,   86.474   ,     77.108     ,  96.752   , 22.661 ,   26.851   ,  87.285   ,   15.507
     u_block     , 83.333  , 90.559 ,    80.857     ,   71.399   ,     64.561     ,  99.024   , 36.465 ,   42.903   ,  95.339   ,   27.310
       usb       , 68.423  , 83.733 ,    68.952     ,   67.046   ,     64.176     ,  95.126   , 7.943  ,   14.609   ,  81.797   ,    7.880
   usb_adaptor   , 95.290  , 97.597 ,    63.953     ,   50.911   ,     58.517     ,  94.986   , 5.706  ,   13.118   ,  77.787   ,    7.019
     vcpill      , 83.280  , 88.802 ,    76.191     ,   68.765   ,     68.396     ,  94.962   , 21.888 ,   30.002   ,  77.096   ,   17.649
  wooden_beads   , 79.124  , 90.798 ,    79.455     ,   75.202   ,     72.576     ,  95.086   , 20.569 ,   27.067   ,  85.064   ,   15.652
    woodstick    , 85.040  , 91.906 ,    76.092     ,   60.801   ,     59.898     ,  92.799   , 19.103 ,   28.329   ,  78.127   ,   16.502
     zipper      , 99.280  , 99.669 ,    94.188     ,   96.579   ,     88.729     ,  97.099   , 28.275 ,   34.410   ,  89.904   ,   20.780
       Avg       , 79.806  , 89.696 ,    74.835     ,   71.799   ,     70.226     ,  95.197   , 20.516 ,   26.552   ,  85.181   ,   16.032
