, S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
audiojack,93.252,96.37,77.426,54.791,64.019,96.267,2.631,6.786,81.713,3.512
bottle_cap,91.782,95.502,86.421,84.052,76.756,99.256,33.231,35.275,95.885,21.415
button_battery,75.581,87.3,69.088,75.227,73.639,93.336,15.964,26.093,72.99,15.004
end_cap,85.377,91.162,77.199,80.683,77.368,96.207,9.337,18.215,87.79,10.02
eraser,95.829,98.218,86.133,72.958,75.084,97.856,4.442,10.64,89.33,5.619
fire_hood,86.271,92.541,80.745,72.111,65.428,98.124,22.331,29.443,88.064,17.263
 mint ,68.92,91.668,64.61,63.24,64.222,93.09,3.615,11.341,66.455,6.011
mounts,96.765,98.389,83.324,74.556,69.828,98.947,35.431,38.03,93.396,23.479
 pcb  ,88.489,94.093,85.153,90.352,82.008,96.103,2.765,6.004,80.765,3.095
phone_battery,98.221,99.108,80.869,67.168,74.635,94.742,2.568,5.636,80.724,2.899
plastic_nut,94.253,95.978,85.099,73.717,68.591,98.62,22.183,26.914,93.936,15.549
plastic_plug,82.873,91.96,80.404,75.632,66.535,97.79,15.851,28.855,88.709,16.86
porcelain_doll,90.532,95.657,66.557,45.43,53.622,94.79,0.806,2.097,80.133,1.06
regulator,57.359,74.972,53.136,31.307,44.089,94.901,6.955,12.204,80.014,6.499
rolled_strip_base,99.612,99.819,98.082,99.057,94.96,98.609,13.748,20.276,95.982,11.282
sim_card_set,97.879,98.92,88.865,86.51,84.35,94.284,2.382,4.593,75.078,2.35
switch,93.165,96.895,87.724,90.114,80.651,99.234,56.728,61.66,92.427,44.571
 tape ,99.051,99.526,95.598,94.226,86.778,99.496,37.851,41.859,97.854,26.47
terminalblock,92.584,96.826,86.403,88.713,79.44,99.392,32.24,39.037,96.61,24.253
toothbrush,92.455,95.041,85.531,85.521,81.544,96.694,22.256,30.774,88.46,18.185
 toy  ,86.169,90.826,76.522,79.897,79.223,94.708,5.428,12.49,81.063,6.661
toy_brick,86.352,92.92,76.246,64.363,67.155,96.568,7.098,13.568,85.347,7.277
transistor1,98.127,99.016,94.921,95.57,90.652,98.766,25.416,31.987,94.049,19.039
u_block,92.268,96.361,79.334,60.732,62.986,96.596,1.757,4.707,84.944,2.41
 usb  ,84.931,90.889,86.157,83.634,77.391,98.494,10.729,21.157,90.891,11.83
usb_adaptor,86.341,92.231,78.984,71.714,66.402,97.381,10.244,17.906,86.576,9.834
vcpill,91.927,95.844,78.429,70.559,65.712,97.158,12.828,22.123,85.186,12.437
wooden_beads,89.871,95.862,81.894,77.328,72.092,95.767,9.715,15.761,80.878,8.555
woodstick,74.029,87.238,77.366,66.975,59.659,96.321,38.206,44.891,80.868,28.942
zipper,99.526,99.431,97.554,98.166,94.283,95.557,9.46,17.481,84.26,9.578
Avg,88.99303333333334,94.35210000000001,81.52580000000002,75.8101,73.3034,96.83513333333332,15.80653333333333,21.926766666666666,86.01256666666669,13.065299999999999
