      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 94.113  , 97.151 ,    79.421     ,   65.963   ,     63.741     ,  97.188   , 18.681 ,   26.702   ,  84.704   ,   15.408
   bottle_cap    , 97.786  , 99.055 ,    92.537     ,   92.502   ,     83.460     ,  99.481   , 35.139 ,   35.513   ,  97.126   ,   21.590
 button_battery  , 77.544  , 88.571 ,    77.886     ,   82.567   ,     77.795     ,  97.221   , 39.941 ,   43.921   ,  85.001   ,   28.140
     end_cap     , 87.721  , 93.258 ,    79.170     ,   83.275   ,     77.613     ,  96.689   , 12.399 ,   21.960   ,  89.398   ,   12.334
     eraser      , 91.999  , 96.300 ,    89.703     ,   88.272   ,     77.725     ,  98.779   , 33.166 ,   39.895   ,  92.459   ,   24.918
    fire_hood    , 85.923  , 92.718 ,    83.218     ,   78.392   ,     70.153     ,  98.517   , 31.024 ,   37.051   ,  90.297   ,   22.738
      mint       , 75.111  , 93.786 ,    69.265     ,   69.825   ,     65.268     ,  94.069   , 14.171 ,   25.954   ,  71.554   ,   14.912
     mounts      , 97.803  , 98.882 ,    84.927     ,   73.288   ,     72.793     ,  99.122   , 33.162 ,   34.976   ,  94.774   ,   21.195
       pcb       , 93.508  , 97.007 ,    88.458     ,   92.987   ,     83.655     ,  97.952   , 21.416 ,   26.179   ,  88.092   ,   15.061
  phone_battery  , 97.404  , 98.816 ,    89.100     ,   86.190   ,     77.791     ,  97.318   , 27.556 ,   35.027   ,  93.937   ,   21.232
   plastic_nut   , 96.314  , 98.102 ,    87.679     ,   81.659   ,     71.569     ,  99.163   , 34.612 ,   38.921   ,  96.208   ,   24.163
  plastic_plug   , 80.958  , 91.000 ,    83.083     ,   78.989   ,     68.564     ,  98.540   , 28.781 ,   34.789   ,  91.860   ,   21.057
 porcelain_doll  , 94.235  , 97.267 ,    83.338     ,   76.059   ,     67.467     ,  98.614   , 23.635 ,   32.029   ,  93.532   ,   19.068
    regulator    , 83.810  , 92.047 ,    71.120     ,   59.731   ,     50.868     ,  96.906   , 19.122 ,   28.468   ,  86.640   ,   16.596
rolled_strip_base, 99.615  , 99.830 ,    98.540     ,   99.300   ,     95.796     ,  99.570   , 30.783 ,   38.015   ,  98.758   ,   23.468
  sim_card_set   , 96.669  , 98.112 ,    93.257     ,   94.193   ,     86.272     ,  98.068   , 46.132 ,   47.516   ,  88.870   ,   31.161
     switch      , 95.076  , 97.906 ,    89.388     ,   92.197   ,     82.422     ,  97.642   , 38.466 ,   42.779   ,  91.789   ,   27.210
      tape       , 99.606  , 99.807 ,    96.677     ,   95.989   ,     89.175     ,  99.601   , 40.851 ,   44.687   ,  98.377   ,   28.772
  terminalblock  , 98.007  , 99.236 ,    94.355     ,   95.011   ,     88.324     ,  99.671   , 37.441 ,   42.873   ,  98.076   ,   27.286
   toothbrush    , 94.780  , 97.245 ,    85.810     ,   86.198   ,     81.848     ,  97.412   , 30.627 ,   38.193   ,  91.224   ,   23.604
       toy       , 88.343  , 92.244 ,    80.268     ,   83.494   ,     80.188     ,  94.196   , 10.886 ,   18.162   ,  83.645   ,    9.988
    toy_brick    , 79.811  , 89.466 ,    80.486     ,   77.561   ,     68.615     ,  97.432   , 26.265 ,   34.495   ,  89.959   ,   20.842
   transistor1   , 99.504  , 99.762 ,    96.386     ,   97.406   ,     91.982     ,  99.099   , 38.338 ,   39.869   ,  95.520   ,   24.898
     u_block     , 97.268  , 98.600 ,    87.445     ,   82.557   ,     72.252     ,  99.261   , 35.389 ,   45.304   ,  94.907   ,   29.285
       usb       , 92.871  , 95.726 ,    90.893     ,   90.238   ,     81.682     ,  99.075   , 38.641 ,   44.826   ,  93.991   ,   28.887
   usb_adaptor   , 90.546  , 95.697 ,    81.938     ,   78.091   ,     69.207     ,  97.694   , 23.679 ,   31.986   ,  87.577   ,   19.038
     vcpill      , 89.304  , 94.781 ,    84.369     ,   83.164   ,     71.591     ,  98.206   , 46.012 ,   49.993   ,  88.785   ,   33.327
  wooden_beads   , 89.247  , 95.955 ,    86.177     ,   85.767   ,     75.037     ,  97.159   , 28.291 ,   34.878   ,  85.328   ,   21.123
    woodstick    , 75.643  , 87.913 ,    80.063     ,   70.044   ,     62.155     ,  96.891   , 38.813 ,   45.987   ,  83.826   ,   29.859
     zipper      , 99.344  , 99.592 ,    98.050     ,   98.752   ,     95.405     ,  98.794   , 51.104 ,   54.142   ,  95.831   ,   37.120
       Avg       , 91.329  , 95.861 ,    86.100     ,   83.989   ,     76.680     ,  97.978   , 31.151 ,   37.170   ,  90.735   ,   23.143
