      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 88.838  , 94.003 ,    71.642     ,   50.054   ,     59.867     ,  95.430   , 4.732  ,   10.674   ,  76.779   ,    5.638
   bottle_cap    , 95.766  , 98.131 ,    88.685     ,   86.504   ,     79.070     ,  99.322   , 20.179 ,   26.881   ,  96.532   ,   15.528
 button_battery  , 68.927  , 84.698 ,    73.653     ,   78.690   ,     75.854     ,  96.581   , 31.263 ,   35.150   ,  83.503   ,   21.323
     end_cap     , 82.678  , 90.244 ,    74.873     ,   80.085   ,     75.875     ,  94.951   , 10.680 ,   18.454   ,  83.693   ,   10.165
     eraser      , 82.046  , 92.041 ,    83.990     ,   82.971   ,     73.570     ,  98.819   , 22.940 ,   30.057   ,  92.969   ,   17.687
    fire_hood    , 81.802  , 90.384 ,    78.425     ,   70.315   ,     63.933     ,  97.979   , 17.273 ,   25.909   ,  86.547   ,   14.882
      mint       , 59.742  , 87.627 ,    64.503     ,   63.276   ,     64.539     ,  92.460   , 8.654  ,   19.778   ,  68.265   ,   10.974
     mounts      , 97.775  , 98.972 ,    86.895     ,   78.097   ,     73.065     ,  98.809   , 24.651 ,   32.401   ,  91.864   ,   19.333
       pcb       , 87.705  , 94.605 ,    82.749     ,   89.586   ,     79.694     ,  97.146   , 14.762 ,   21.337   ,  86.123   ,   11.943
  phone_battery  , 91.265  , 95.643 ,    87.341     ,   85.446   ,     75.182     ,  83.599   , 23.718 ,   34.004   ,  91.660   ,   20.485
   plastic_nut   , 89.883  , 94.756 ,    81.785     ,   73.636   ,     64.562     ,  98.580   , 24.022 ,   32.061   ,  93.328   ,   19.091
  plastic_plug   , 90.851  , 95.364 ,    84.384     ,   77.982   ,     70.884     ,  98.633   , 20.461 ,   27.731   ,  93.021   ,   16.098
 porcelain_doll  , 93.861  , 96.540 ,    87.341     ,   80.189   ,     73.157     ,  99.049   , 24.223 ,   32.272   ,  95.692   ,   19.241
    regulator    , 66.686  , 82.414 ,    56.651     ,   40.965   ,     44.037     ,  95.170   , 4.763  ,   12.121   ,  80.455   ,    6.451
rolled_strip_base, 98.616  , 99.339 ,    97.911     ,   98.919   ,     94.711     ,  99.435   , 22.152 ,   30.287   ,  98.078   ,   17.846
  sim_card_set   , 96.589  , 97.959 ,    94.110     ,   94.398   ,     87.458     ,  98.430   , 39.998 ,   42.741   ,  90.069   ,   27.179
     switch      , 90.749  , 95.765 ,    83.195     ,   86.396   ,     76.984     ,  95.181   , 23.745 ,   32.251   ,  89.364   ,   19.226
      tape       , 97.687  , 98.870 ,    95.331     ,   94.261   ,     86.753     ,  99.571   , 38.277 ,   46.114   ,  98.040   ,   29.966
  terminalblock  , 96.843  , 98.789 ,    91.329     ,   91.868   ,     85.742     ,  99.313   , 27.624 ,   34.809   ,  96.731   ,   21.072
   toothbrush    , 87.764  , 92.862 ,    80.160     ,   82.419   ,     75.633     ,  96.533   , 25.251 ,   32.778   ,  88.360   ,   19.601
       toy       , 82.264  , 90.245 ,    74.907     ,   81.201   ,     76.035     ,  93.093   , 14.172 ,   24.340   ,  82.734   ,   13.856
    toy_brick    , 68.921  , 82.408 ,    64.730     ,   57.479   ,     59.130     ,  94.381   , 11.106 ,   18.008   ,  73.597   ,    9.895
   transistor1   , 98.818  , 99.468 ,    93.351     ,   95.656   ,     88.168     ,  98.973   , 34.825 ,   38.391   ,  94.832   ,   23.755
     u_block     , 87.656  , 93.699 ,    84.368     ,   76.279   ,     68.019     ,  99.256   , 26.970 ,   35.198   ,  95.681   ,   21.358
       usb       , 87.644  , 92.903 ,    86.512     ,   86.081   ,     76.296     ,  98.084   , 25.835 ,   35.524   ,  89.951   ,   21.599
   usb_adaptor   , 88.322  , 94.518 ,    73.656     ,   66.034   ,     63.434     ,  96.510   , 12.467 ,   19.722   ,  82.064   ,   10.940
     vcpill      , 87.918  , 94.102 ,    80.691     ,   77.212   ,     67.517     ,  97.299   , 30.656 ,   38.492   ,  85.005   ,   23.832
  wooden_beads   , 82.019  , 92.538 ,    83.377     ,   82.195   ,     73.337     ,  96.973   , 21.794 ,   30.487   ,  84.353   ,   17.985
    woodstick    , 72.965  , 85.827 ,    75.063     ,   61.719   ,     54.821     ,  96.135   , 23.873 ,   33.193   ,  77.836   ,   19.899
     zipper      , 99.587  , 99.775 ,    97.305     ,   98.479   ,     93.365     ,  98.979   , 50.025 ,   54.530   ,  95.931   ,   37.485
       Avg       , 86.739  , 93.483 ,    81.964     ,   78.946   ,     73.356     ,  96.822   , 22.703 ,   30.190   ,  88.102   ,   18.144
