      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.978  , 97.087 ,    79.772     ,   69.304   ,     63.518     ,  97.135   , 24.382 ,   33.330   ,  84.150   ,   19.997
   bottle_cap    , 97.224  , 98.882 ,    92.873     ,   92.903   ,     83.892     ,  99.508   , 35.145 ,   35.208   ,  97.249   ,   21.365
 button_battery  , 77.135  , 88.916 ,    78.343     ,   83.285   ,     77.743     ,  97.272   , 43.210 ,   46.366   ,  85.472   ,   30.180
     end_cap     , 87.327  , 92.928 ,    79.122     ,   83.143   ,     77.555     ,  96.656   , 11.994 ,   21.574   ,  89.344   ,   12.091
     eraser      , 90.984  , 95.832 ,    89.292     ,   87.899   ,     77.759     ,  98.889   , 33.390 ,   40.389   ,  92.995   ,   25.304
    fire_hood    , 85.928  , 92.819 ,    83.098     ,   78.120   ,     70.322     ,  98.554   , 28.994 ,   36.682   ,  90.403   ,   22.460
      mint       , 74.256  , 93.490 ,    70.537     ,   71.464   ,     65.763     ,  94.411   , 14.494 ,   27.426   ,  72.548   ,   15.893
     mounts      , 97.707  , 98.807 ,    85.045     ,   74.138   ,     73.316     ,  99.082   , 33.579 ,   35.477   ,  94.248   ,   21.563
       pcb       , 92.590  , 96.657 ,    87.746     ,   92.729   ,     83.065     ,  98.026   , 25.616 ,   30.156   ,  88.312   ,   17.755
  phone_battery  , 97.750  , 99.029 ,    89.026     ,   85.606   ,     77.811     ,  95.840   , 25.198 ,   31.904   ,  93.645   ,   18.979
   plastic_nut   , 97.276  , 98.628 ,    88.180     ,   82.608   ,     72.461     ,  99.168   , 34.978 ,   39.049   ,  96.217   ,   24.261
  plastic_plug   , 81.528  , 91.375 ,    82.956     ,   78.740   ,     68.724     ,  98.580   , 28.560 ,   34.702   ,  92.043   ,   20.994
 porcelain_doll  , 94.175  , 97.100 ,    83.954     ,   75.704   ,     68.461     ,  98.696   , 23.451 ,   32.461   ,  93.844   ,   19.375
    regulator    , 80.418  , 90.363 ,    67.774     ,   57.118   ,     47.871     ,  96.656   , 17.865 ,   28.363   ,  85.733   ,   16.525
rolled_strip_base, 99.562  , 99.820 ,    98.634     ,   99.353   ,     96.164     ,  99.588   , 31.191 ,   37.429   ,  98.805   ,   23.023
  sim_card_set   , 97.009  , 98.316 ,    93.591     ,   94.406   ,     86.452     ,  98.005   , 45.909 ,   47.398   ,  88.593   ,   31.060
     switch      , 95.038  , 97.913 ,    89.354     ,   92.170   ,     81.991     ,  97.761   , 43.100 ,   47.947   ,  91.875   ,   31.533
      tape       , 99.775  , 99.893 ,    96.822     ,   96.144   ,     89.286     ,  99.597   , 42.064 ,   45.420   ,  98.339   ,   29.383
  terminalblock  , 98.184  , 99.302 ,    94.800     ,   95.518   ,     88.587     ,  99.684   , 37.803 ,   42.645   ,  98.146   ,   27.101
   toothbrush    , 94.416  , 97.003 ,    86.384     ,   86.708   ,     82.746     ,  97.373   , 30.810 ,   38.313   ,  91.107   ,   23.696
       toy       , 89.332  , 93.907 ,    79.934     ,   84.280   ,     79.140     ,  94.175   , 12.677 ,   21.346   ,  84.024   ,   11.949
    toy_brick    , 77.015  , 88.184 ,    77.285     ,   73.101   ,     66.336     ,  97.146   , 23.915 ,   31.458   ,  88.966   ,   18.665
   transistor1   , 99.455  , 99.739 ,    96.356     ,   97.389   ,     91.724     ,  99.135   , 39.867 ,   40.656   ,  95.761   ,   25.514
     u_block     , 97.458  , 98.784 ,    88.048     ,   84.129   ,     74.361     ,  99.293   , 36.490 ,   45.630   ,  95.075   ,   29.559
       usb       , 92.312  , 95.578 ,    90.538     ,   90.135   ,     81.073     ,  99.012   , 38.455 ,   44.372   ,  93.849   ,   28.512
   usb_adaptor   , 91.062  , 95.806 ,    81.977     ,   78.239   ,     69.590     ,  97.712   , 23.150 ,   30.944   ,  87.677   ,   18.304
     vcpill      , 88.710  , 94.564 ,    85.042     ,   83.758   ,     72.633     ,  98.175   , 44.007 ,   48.511   ,  88.895   ,   32.022
  wooden_beads   , 87.179  , 95.077 ,    84.976     ,   84.691   ,     74.085     ,  97.182   , 28.244 ,   35.644   ,  85.350   ,   21.687
    woodstick    , 75.096  , 87.395 ,    78.721     ,   68.052   ,     60.598     ,  96.665   , 38.035 ,   44.444   ,  82.344   ,   28.571
     zipper      , 99.358  , 99.563 ,    98.099     ,   98.784   ,     95.311     ,  98.851   , 51.507 ,   55.157   ,  96.025   ,   38.080
       Avg       , 90.975  , 95.759 ,    85.943     ,   83.987   ,     76.611     ,  97.928   , 31.603 ,   37.680   ,  90.701   ,   23.513
