      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 82.693  , 90.229 ,    64.675     ,   42.337   ,     56.299     ,  93.677   , 1.187  ,   3.304    ,  71.012   ,    1.680
   bottle_cap    , 90.352  , 95.441 ,    83.323     ,   78.539   ,     76.858     ,  98.945   , 13.872 ,   23.296   ,  95.056   ,   13.184
 button_battery  , 65.496  , 81.113 ,    66.714     ,   70.254   ,     74.337     ,  95.201   , 15.491 ,   22.290   ,  79.741   ,   12.543
     end_cap     , 77.868  , 87.436 ,    72.440     ,   77.687   ,     74.369     ,  93.843   , 6.294  ,   15.244   ,  81.151   ,    8.251
     eraser      , 89.050  , 94.615 ,    80.225     ,   75.447   ,     68.683     ,  98.442   , 15.854 ,   22.664   ,  92.237   ,   12.780
    fire_hood    , 81.418  , 89.873 ,    78.770     ,   70.642   ,     64.987     ,  97.958   , 16.469 ,   25.840   ,  87.400   ,   14.837
      mint       , 58.376  , 84.909 ,    60.419     ,   55.365   ,     64.196     ,  90.589   , 2.669  ,   9.972    ,  64.449   ,    5.248
     mounts      , 98.098  , 99.108 ,    86.187     ,   75.868   ,     72.859     ,  98.715   , 21.884 ,   30.088   ,  91.806   ,   17.708
       pcb       , 81.778  , 91.384 ,    76.685     ,   84.958   ,     77.127     ,  94.500   , 5.398  ,   11.341   ,  79.472   ,    6.011
  phone_battery  , 82.778  , 91.409 ,    80.861     ,   79.224   ,     69.010     ,  78.655   , 17.522 ,   29.149   ,  87.646   ,   17.061
   plastic_nut   , 86.300  , 91.167 ,    75.310     ,   60.164   ,     59.378     ,  97.186   , 12.024 ,   22.733   ,  87.591   ,   12.824
  plastic_plug   , 85.078  , 92.040 ,    80.760     ,   72.154   ,     67.849     ,  98.329   , 13.674 ,   23.019   ,  92.303   ,   13.007
 porcelain_doll  , 89.163  , 93.380 ,    83.885     ,   70.759   ,     69.249     ,  98.837   , 15.292 ,   26.277   ,  95.085   ,   15.126
    regulator    , 60.955  , 76.998 ,    51.479     ,   32.414   ,     44.217     ,  92.901   , 1.249  ,   4.140    ,  74.112   ,    2.114
rolled_strip_base, 98.029  , 99.037 ,    96.485     ,   98.199   ,     93.007     ,  99.127   , 16.262 ,   25.767   ,  97.134   ,   14.789
  sim_card_set   , 89.332  , 91.876 ,    86.556     ,   83.959   ,     84.677     ,  97.792   , 17.192 ,   28.122   ,  86.816   ,   16.361
     switch      , 81.816  , 91.026 ,    74.072     ,   77.029   ,     71.531     ,  91.216   , 10.050 ,   15.882   ,  84.853   ,    8.626
      tape       , 92.429  , 95.741 ,    92.508     ,   91.420   ,     84.043     ,  99.349   , 30.318 ,   40.918   ,  97.211   ,   25.721
  terminalblock  , 95.367  , 98.194 ,    88.027     ,   88.202   ,     83.260     ,  98.886   , 19.287 ,   26.549   ,  95.420   ,   15.306
   toothbrush    , 88.393  , 93.841 ,    73.007     ,   74.395   ,     72.365     ,  94.916   , 13.781 ,   22.566   ,  84.237   ,   12.718
       toy       , 73.333  , 83.754 ,    65.023     ,   72.069   ,     74.363     ,  90.739   , 3.411  ,   9.656    ,  76.130   ,    5.073
    toy_brick    , 70.623  , 83.204 ,    64.271     ,   53.894   ,     59.542     ,  93.875   , 5.149  ,   12.389   ,  75.555   ,    6.604
   transistor1   , 95.552  , 98.001 ,    89.229     ,   92.166   ,     83.448     ,  98.420   , 23.311 ,   30.717   ,  93.085   ,   18.146
     u_block     , 85.514  , 92.386 ,    79.901     ,   66.370   ,     63.225     ,  99.002   , 19.199 ,   28.984   ,  95.213   ,   16.948
       usb       , 79.264  , 87.619 ,    76.284     ,   74.168   ,     69.678     ,  96.162   , 10.561 ,   19.940   ,  82.705   ,   11.074
   usb_adaptor   , 87.022  , 93.423 ,    67.581     ,   51.457   ,     61.585     ,  94.959   , 2.697  ,   8.462    ,  77.606   ,    4.418
     vcpill      , 80.596  , 87.363 ,    77.620     ,   69.623   ,     66.069     ,  96.814   , 21.125 ,   30.820   ,  83.434   ,   18.217
  wooden_beads   , 85.876  , 94.137 ,    83.296     ,   81.814   ,     72.768     ,  96.630   , 16.060 ,   25.881   ,  84.408   ,   14.864
    woodstick    , 74.654  , 86.493 ,    75.950     ,   60.495   ,     55.953     ,  95.569   , 16.883 ,   27.574   ,  78.641   ,   15.992
     zipper      , 97.348  , 97.526 ,    92.240     ,   94.998   ,     87.764     ,  98.311   , 34.237 ,   41.379   ,  93.604   ,   26.087
       Avg       , 83.485  , 91.091 ,    77.460     ,   72.536   ,     70.757     ,  95.651   , 13.947 ,   22.165   ,  85.504   ,   12.777
