      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 89.081  , 94.375 ,    71.505     ,   50.733   ,     59.953     ,  95.703   , 7.358  ,   14.147   ,  77.652   ,    7.612
   bottle_cap    , 94.738  , 97.669 ,    88.547     ,   85.986   ,     79.571     ,  99.292   , 21.022 ,   28.153   ,  96.496   ,   16.382
 button_battery  , 69.399  , 85.170 ,    74.519     ,   79.578   ,     76.183     ,  96.852   , 34.490 ,   38.557   ,  84.295   ,   23.882
     end_cap     , 83.278  , 90.675 ,    76.935     ,   81.769   ,     76.981     ,  95.410   , 11.623 ,   19.721   ,  85.841   ,   10.939
     eraser      , 88.332  , 94.617 ,    86.259     ,   85.369   ,     75.347     ,  98.894   , 24.449 ,   30.562   ,  93.582   ,   18.037
    fire_hood    , 83.006  , 91.178 ,    79.780     ,   72.611   ,     65.562     ,  98.169   , 20.836 ,   29.933   ,  87.619   ,   17.601
      mint       , 63.789  , 89.437 ,    65.005     ,   64.208   ,     64.753     ,  92.512   , 9.609  ,   21.784   ,  67.954   ,   12.223
     mounts      , 98.338  , 99.196 ,    88.171     ,   80.235   ,     73.945     ,  98.893   , 26.621 ,   33.272   ,  92.040   ,   19.956
       pcb       , 87.243  , 94.426 ,    82.151     ,   89.244   ,     79.068     ,  96.861   , 12.285 ,   18.578   ,  84.903   ,   10.240
  phone_battery  , 94.267  , 97.142 ,    86.786     ,   84.146   ,     74.773     ,  88.290   , 23.077 ,   33.056   ,  91.621   ,   19.800
   plastic_nut   , 90.037  , 94.463 ,    82.284     ,   72.627   ,     64.808     ,  98.736   , 24.082 ,   31.298   ,  94.031   ,   18.552
  plastic_plug   , 89.161  , 94.023 ,    82.948     ,   75.835   ,     69.051     ,  98.511   , 19.809 ,   26.460   ,  92.307   ,   15.247
 porcelain_doll  , 94.060  , 96.826 ,    86.576     ,   77.560   ,     71.928     ,  99.018   , 21.199 ,   30.455   ,  95.683   ,   17.963
    regulator    , 69.096  , 83.321 ,    57.811     ,   42.607   ,     44.228     ,  95.277   , 6.174  ,   14.233   ,  81.314   ,    7.662
rolled_strip_base, 98.529  , 99.298 ,    97.741     ,   98.819   ,     94.835     ,  99.313   , 20.570 ,   28.614   ,  97.706   ,   16.696
  sim_card_set   , 95.224  , 96.906 ,    92.048     ,   92.221   ,     85.811     ,  98.089   , 40.159 ,   43.268   ,  88.174   ,   27.607
     switch      , 91.690  , 96.142 ,    82.432     ,   85.446   ,     76.900     ,  95.527   , 22.936 ,   30.625   ,  89.882   ,   18.081
      tape       , 96.967  , 98.447 ,    95.378     ,   94.229   ,     86.957     ,  99.556   , 37.340 ,   44.963   ,  98.037   ,   29.001
  terminalblock  , 96.582  , 98.695 ,    91.271     ,   91.994   ,     85.714     ,  99.340   , 28.551 ,   34.945   ,  96.798   ,   21.172
   toothbrush    , 91.909  , 95.678 ,    81.998     ,   82.838   ,     77.691     ,  96.773   , 27.072 ,   36.065   ,  89.237   ,   21.999
       toy       , 82.641  , 88.931 ,    74.929     ,   79.604   ,     76.509     ,  93.889   , 10.987 ,   21.458   ,  82.670   ,   12.018
    toy_brick    , 72.797  , 84.933 ,    66.899     ,   60.335   ,     59.898     ,  95.292   , 14.188 ,   21.673   ,  76.994   ,   12.154
   transistor1   , 98.956  , 99.516 ,    94.057     ,   95.929   ,     89.466     ,  99.022   , 35.714 ,   39.036   ,  95.217   ,   24.251
     u_block     , 89.287  , 94.389 ,    85.517     ,   77.464   ,     69.613     ,  99.277   , 27.556 ,   35.356   ,  95.969   ,   21.474
       usb       , 86.921  , 92.266 ,    85.598     ,   85.126   ,     75.707     ,  98.064   , 26.142 ,   35.739   ,  89.538   ,   21.758
   usb_adaptor   , 90.796  , 95.550 ,    72.142     ,   60.797   ,     63.821     ,  96.159   , 9.928  ,   16.464   ,  80.179   ,    8.970
     vcpill      , 84.951  , 92.329 ,    79.805     ,   75.417   ,     66.628     ,  97.787   , 31.519 ,   38.476   ,  87.203   ,   23.821
  wooden_beads   , 83.038  , 93.041 ,    83.818     ,   82.527   ,     73.366     ,  97.292   , 22.457 ,   29.084   ,  86.402   ,   17.016
    woodstick    , 74.919  , 87.102 ,    77.232     ,   64.331   ,     57.387     ,  96.784   , 30.003 ,   37.287   ,  81.665   ,   22.916
     zipper      , 99.466  , 99.686 ,    97.462     ,   98.572   ,     93.765     ,  98.879   , 49.800 ,   53.690   ,  95.762   ,   36.696
       Avg       , 87.617  , 93.848 ,    82.253     ,   78.939   ,     73.674     ,  97.115   , 23.252 ,   30.565   ,  88.559   ,   18.391
