      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 94.287  , 97.186 ,    79.668     ,   67.215   ,     63.967     ,  97.169   , 21.405 ,   29.413   ,  84.491   ,   17.243
   bottle_cap    , 97.542  , 98.982 ,    93.064     ,   93.015   ,     84.028     ,  99.504   , 35.128 ,   35.570   ,  97.212   ,   21.632
 button_battery  , 77.714  , 88.984 ,    79.395     ,   83.652   ,     78.258     ,  97.436   , 41.899 ,   45.271   ,  85.958   ,   29.259
     end_cap     , 87.946  , 93.463 ,    79.593     ,   83.606   ,     78.140     ,  96.793   , 12.793 ,   22.197   ,  89.753   ,   12.484
     eraser      , 90.867  , 95.912 ,    89.287     ,   88.051   ,     77.563     ,  98.835   , 32.632 ,   39.956   ,  92.848   ,   24.966
    fire_hood    , 86.346  , 93.033 ,    83.330     ,   78.822   ,     70.266     ,  98.571   , 30.117 ,   36.879   ,  90.490   ,   22.608
      mint       , 74.223  , 93.528 ,    70.225     ,   71.220   ,     65.817     ,  94.495   , 14.250 ,   26.882   ,  72.961   ,   15.528
     mounts      , 98.160  , 99.094 ,    85.384     ,   74.320   ,     73.338     ,  99.077   , 33.301 ,   35.126   ,  94.149   ,   21.305
       pcb       , 92.226  , 96.481 ,    88.590     ,   93.109   ,     84.126     ,  97.992   , 22.339 ,   26.646   ,  88.183   ,   15.371
  phone_battery  , 97.273  , 98.760 ,    89.078     ,   86.086   ,     78.125     ,  97.611   , 27.826 ,   34.448   ,  94.085   ,   20.808
   plastic_nut   , 96.315  , 98.144 ,    87.888     ,   82.640   ,     71.577     ,  99.171   , 35.410 ,   39.372   ,  96.201   ,   24.511
  plastic_plug   , 84.424  , 92.744 ,    84.343     ,   80.762   ,     69.721     ,  98.549   , 28.828 ,   35.063   ,  91.978   ,   21.259
 porcelain_doll  , 94.479  , 97.356 ,    83.934     ,   76.679   ,     67.723     ,  98.667   , 24.226 ,   33.159   ,  93.732   ,   19.874
    regulator    , 81.690  , 91.149 ,    71.644     ,   61.040   ,     51.474     ,  97.039   , 18.915 ,   28.306   ,  87.401   ,   16.486
rolled_strip_base, 99.699  , 99.866 ,    98.549     ,   99.303   ,     95.796     ,  99.569   , 30.170 ,   36.795   ,  98.754   ,   22.546
  sim_card_set   , 97.042  , 98.225 ,    93.005     ,   93.933   ,     86.000     ,  97.887   , 45.613 ,   47.699   ,  88.025   ,   31.319
     switch      , 95.151  , 97.942 ,    89.635     ,   92.368   ,     82.407     ,  97.934   , 43.394 ,   49.030   ,  92.378   ,   32.477
      tape       , 99.737  , 99.874 ,    96.802     ,   96.140   ,     89.208     ,  99.600   , 40.069 ,   44.595   ,  98.372   ,   28.696
  terminalblock  , 98.091  , 99.281 ,    94.608     ,   95.243   ,     88.428     ,  99.672   , 37.363 ,   42.587   ,  98.091   ,   27.054
   toothbrush    , 94.633  , 97.256 ,    86.436     ,   86.892   ,     81.940     ,  97.484   , 31.158 ,   38.786   ,  91.426   ,   24.059
       toy       , 89.708  , 93.925 ,    81.012     ,   84.936   ,     79.746     ,  94.389   , 12.815 ,   21.451   ,  84.361   ,   12.014
    toy_brick    , 79.195  , 88.540 ,    79.041     ,   74.737   ,     67.676     ,  97.310   , 24.941 ,   32.863   ,  89.463   ,   19.662
   transistor1   , 99.456  , 99.735 ,    96.512     ,   97.457   ,     91.938     ,  99.120   , 38.154 ,   39.754   ,  95.696   ,   24.808
     u_block     , 97.312  , 98.660 ,    87.879     ,   83.402   ,     73.030     ,  99.268   , 36.349 ,   45.943   ,  94.878   ,   29.822
       usb       , 92.513  , 95.763 ,    90.854     ,   90.271   ,     81.407     ,  99.042   , 38.606 ,   45.025   ,  93.915   ,   29.053
   usb_adaptor   , 90.663  , 95.694 ,    80.908     ,   75.989   ,     68.518     ,  97.717   , 22.321 ,   30.635   ,  87.766   ,   18.088
     vcpill      , 89.125  , 94.784 ,    84.966     ,   83.925   ,     72.275     ,  98.182   , 44.141 ,   49.263   ,  88.929   ,   32.681
  wooden_beads   , 89.248  , 95.902 ,    86.110     ,   85.906   ,     75.125     ,  97.226   , 27.814 ,   34.790   ,  85.613   ,   21.058
    woodstick    , 75.435  , 87.775 ,    79.122     ,   68.932   ,     61.072     ,  96.800   , 39.248 ,   45.977   ,  83.144   ,   29.851
     zipper      , 99.476  , 99.634 ,    98.474     ,   99.045   ,     95.275     ,  98.928   , 52.939 ,   56.753   ,  96.219   ,   39.619
       Avg       , 91.333  , 95.922 ,    86.311     ,   84.290   ,     76.799     ,  98.035   , 31.472 ,   37.675   ,  90.882   ,   23.538
