      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 91.136  , 95.357 ,    73.437     ,   52.525   ,     61.024     ,  96.019   , 8.140  ,   14.740   ,  79.072   ,    7.956
   bottle_cap    , 95.967  , 98.214 ,    89.507     ,   87.520   ,     79.459     ,  99.338   , 21.995 ,   28.950   ,  96.709   ,   16.925
 button_battery  , 71.982  , 86.306 ,    75.734     ,   80.763   ,     76.926     ,  97.052   , 36.708 ,   40.736   ,  85.147   ,   25.578
     end_cap     , 83.209  , 90.575 ,    76.693     ,   81.625   ,     76.837     ,  95.493   , 11.893 ,   20.211   ,  85.690   ,   11.242
     eraser      , 87.414  , 94.349 ,    85.570     ,   84.898   ,     74.572     ,  98.871   , 25.481 ,   31.952   ,  93.093   ,   19.014
    fire_hood    , 84.558  , 91.766 ,    79.962     ,   72.758   ,     65.931     ,  98.167   , 20.881 ,   29.488   ,  87.610   ,   17.294
      mint       , 65.419  , 89.985 ,    65.686     ,   65.200   ,     64.735     ,  92.798   , 10.458 ,   22.451   ,  69.198   ,   12.645
     mounts      , 98.425  , 99.244 ,    87.940     ,   79.709   ,     74.340     ,  98.848   , 26.852 ,   33.031   ,  91.695   ,   19.783
       pcb       , 89.005  , 95.261 ,    84.334     ,   90.606   ,     80.469     ,  97.392   , 13.319 ,   19.728   ,  86.540   ,   10.943
  phone_battery  , 94.672  , 97.289 ,    87.949     ,   85.444   ,     76.090     ,  87.764   , 24.620 ,   33.834   ,  92.286   ,   20.361
   plastic_nut   , 93.172  , 96.263 ,    84.343     ,   76.421   ,     68.590     ,  98.851   , 26.946 ,   33.232   ,  94.662   ,   19.927
  plastic_plug   , 91.799  , 95.928 ,    85.547     ,   79.576   ,     71.438     ,  98.635   , 22.146 ,   30.039   ,  92.882   ,   17.674
 porcelain_doll  , 94.914  , 97.154 ,    86.920     ,   79.610   ,     72.079     ,  99.016   , 24.220 ,   32.580   ,  95.562   ,   19.460
    regulator    , 70.551  , 84.785 ,    61.102     ,   46.690   ,     44.704     ,  96.010   , 6.959  ,   16.401   ,  83.880   ,    8.933
rolled_strip_base, 98.962  , 99.510 ,    98.188     ,   99.076   ,     95.077     ,  99.414   , 21.091 ,   30.049   ,  98.095   ,   17.681
  sim_card_set   , 96.189  , 97.668 ,    92.992     ,   93.360   ,     86.362     ,  98.198   , 41.429 ,   43.341   ,  88.618   ,   27.665
     switch      , 92.590  , 96.549 ,    85.081     ,   87.941   ,     79.156     ,  96.226   , 26.920 ,   35.506   ,  90.530   ,   21.585
      tape       , 98.035  , 99.008 ,    96.032     ,   94.985   ,     88.056     ,  99.596   , 38.658 ,   46.056   ,  98.225   ,   29.917
  terminalblock  , 97.241  , 98.953 ,    92.269     ,   92.866   ,     87.157     ,  99.401   , 28.303 ,   35.283   ,  97.000   ,   21.420
   toothbrush    , 93.224  , 96.437 ,    83.099     ,   84.588   ,     78.200     ,  96.879   , 28.553 ,   36.752   ,  89.615   ,   22.513
       toy       , 84.595  , 90.780 ,    77.269     ,   82.362   ,     77.324     ,  93.631   , 14.078 ,   24.566   ,  83.532   ,   14.003
    toy_brick    , 71.975  , 84.588 ,    67.527     ,   61.012   ,     60.175     ,  95.334   , 14.811 ,   22.637   ,  78.559   ,   12.763
   transistor1   , 99.176  , 99.624 ,    94.730     ,   96.442   ,     89.953     ,  99.087   , 37.416 ,   40.398   ,  95.447   ,   25.312
     u_block     , 91.401  , 95.548 ,    86.780     ,   80.026   ,     70.732     ,  99.315   , 29.351 ,   37.550   ,  95.902   ,   23.115
       usb       , 88.343  , 93.085 ,    88.027     ,   87.527   ,     77.928     ,  98.371   , 29.408 ,   38.450   ,  91.180   ,   23.801
   usb_adaptor   , 88.344  , 94.425 ,    74.165     ,   65.942   ,     63.563     ,  96.663   , 12.395 ,   19.669   ,  81.984   ,   10.907
     vcpill      , 87.077  , 93.598 ,    81.129     ,   77.969   ,     68.016     ,  97.652   , 33.419 ,   40.411   ,  86.491   ,   25.322
  wooden_beads   , 83.438  , 93.180 ,    83.717     ,   82.676   ,     73.176     ,  97.148   , 22.791 ,   29.703   ,  85.354   ,   17.442
    woodstick    , 74.773  , 86.959 ,    77.438     ,   64.681   ,     57.485     ,  96.751   , 31.529 ,   38.406   ,  81.209   ,   23.767
     zipper      , 99.690  , 99.831 ,    97.672     ,   98.688   ,     93.890     ,  98.941   , 51.019 ,   54.291   ,  95.966   ,   37.260
       Avg       , 88.576  , 94.407 ,    83.361     ,   80.449   ,     74.448     ,  97.229   , 24.726 ,   32.015   ,  89.058   ,   19.407
