      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.896  , 96.913 ,    79.645     ,   67.603   ,     63.545     ,  97.127   , 21.364 ,   30.109   ,  84.233   ,   17.723
   bottle_cap    , 97.878  , 99.095 ,    93.106     ,   93.197   ,     84.191     ,  99.510   , 34.955 ,   35.420   ,  97.246   ,   21.521
 button_battery  , 78.117  , 88.816 ,    80.191     ,   83.893   ,     78.778     ,  97.488   , 41.420 ,   45.665   ,  86.274   ,   29.588
     end_cap     , 88.086  , 93.320 ,    79.652     ,   83.539   ,     77.804     ,  96.782   , 11.945 ,   21.737   ,  89.611   ,   12.194
     eraser      , 91.984  , 96.273 ,    89.663     ,   88.188   ,     77.729     ,  98.797   , 32.931 ,   39.428   ,  92.641   ,   24.555
    fire_hood    , 85.998  , 92.846 ,    82.819     ,   77.579   ,     69.732     ,  98.541   , 30.602 ,   37.103   ,  90.416   ,   22.777
      mint       , 74.721  , 93.598 ,    71.118     ,   72.395   ,     65.857     ,  94.742   , 15.105 ,   28.023   ,  73.402   ,   16.294
     mounts      , 98.064  , 99.029 ,    85.184     ,   73.660   ,     73.351     ,  99.078   , 32.571 ,   34.519   ,  94.092   ,   20.860
       pcb       , 92.747  , 96.795 ,    88.378     ,   93.081   ,     83.714     ,  97.992   , 22.349 ,   27.312   ,  88.239   ,   15.816
  phone_battery  , 97.033  , 98.649 ,    89.523     ,   86.834   ,     78.435     ,  96.624   , 29.302 ,   35.264   ,  94.109   ,   21.406
   plastic_nut   , 96.760  , 98.323 ,    88.123     ,   82.427   ,     72.543     ,  99.168   , 35.307 ,   39.780   ,  96.140   ,   24.829
  plastic_plug   , 84.380  , 92.753 ,    84.233     ,   80.619   ,     69.461     ,  98.612   , 29.084 ,   35.168   ,  92.160   ,   21.336
 porcelain_doll  , 94.619  , 97.538 ,    83.580     ,   76.413   ,     67.950     ,  98.626   , 23.737 ,   33.093   ,  93.640   ,   19.827
    regulator    , 80.394  , 90.610 ,    70.182     ,   59.553   ,     49.592     ,  97.022   , 18.743 ,   28.404   ,  87.155   ,   16.553
rolled_strip_base, 99.616  , 99.839 ,    98.713     ,   99.387   ,     96.101     ,  99.578   , 31.365 ,   37.682   ,  98.780   ,   23.215
  sim_card_set   , 96.729  , 98.192 ,    93.328     ,   94.175   ,     86.808     ,  98.028   , 46.198 ,   47.502   ,  88.613   ,   31.150
     switch      , 95.552  , 98.095 ,    89.643     ,   92.356   ,     82.400     ,  97.636   , 41.676 ,   45.462   ,  92.106   ,   29.418
      tape       , 99.731  , 99.872 ,    96.714     ,   96.036   ,     89.130     ,  99.599   , 40.608 ,   44.820   ,  98.365   ,   28.883
  terminalblock  , 98.029  , 99.246 ,    94.777     ,   95.427   ,     88.510     ,  99.680   , 37.950 ,   42.338   ,  98.138   ,   26.854
   toothbrush    , 93.940  , 96.836 ,    86.572     ,   87.369   ,     81.872     ,  97.426   , 31.768 ,   38.704   ,  91.294   ,   23.996
       toy       , 89.589  , 94.074 ,    80.322     ,   84.518   ,     79.731     ,  94.483   , 13.491 ,   22.230   ,  84.218   ,   12.505
    toy_brick    , 76.769  , 86.207 ,    76.841     ,   70.695   ,     66.741     ,  97.034   , 22.679 ,   29.618   ,  88.792   ,   17.384
   transistor1   , 99.567  , 99.790 ,    96.509     ,   97.495   ,     91.979     ,  99.142   , 39.704 ,   40.539   ,  95.764   ,   25.422
     u_block     , 97.539  , 98.776 ,    88.040     ,   83.907   ,     73.675     ,  99.281   , 37.300 ,   46.624   ,  94.963   ,   30.399
       usb       , 92.586  , 95.526 ,    90.738     ,   90.148   ,     81.519     ,  99.050   , 39.127 ,   45.052   ,  94.092   ,   29.076
   usb_adaptor   , 91.449  , 96.014 ,    81.946     ,   77.719   ,     69.957     ,  97.730   , 22.796 ,   31.597   ,  87.680   ,   18.763
     vcpill      , 89.553  , 94.867 ,    85.356     ,   84.088   ,     72.595     ,  98.140   , 45.085 ,   49.718   ,  88.740   ,   33.083
  wooden_beads   , 88.517  , 95.560 ,    86.142     ,   85.582   ,     75.085     ,  97.145   , 27.873 ,   34.784   ,  85.276   ,   21.054
    woodstick    , 75.499  , 87.727 ,    79.762     ,   69.291   ,     61.969     ,  96.963   , 38.611 ,   45.053   ,  83.982   ,   29.076
     zipper      , 99.549  , 99.741 ,    98.326     ,   98.979   ,     95.212     ,  98.915   , 54.612 ,   57.262   ,  96.260   ,   40.117
       Avg       , 91.296  , 95.831 ,    86.304     ,   84.205   ,     76.865     ,  97.998   , 31.675 ,   37.667   ,  90.881   ,   23.522
