      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 82.104  , 90.073 ,    66.041     ,   44.863   ,     56.343     ,  94.984   , 3.467  ,   8.316    ,  75.246   ,    4.338
   bottle_cap    , 93.335  , 97.119 ,    85.955     ,   82.758   ,     78.069     ,  98.978   , 18.357 ,   27.135   ,  95.288   ,   15.697
 button_battery  , 66.848  , 83.226 ,    71.758     ,   76.825   ,     75.190     ,  96.300   , 26.956 ,   31.500   ,  82.587   ,   18.695
     end_cap     , 83.230  , 90.933 ,    76.494     ,   81.925   ,     76.225     ,  94.882   , 11.179 ,   19.678   ,  84.988   ,   10.913
     eraser      , 89.095  , 95.066 ,    85.511     ,   83.598   ,     73.848     ,  98.762   , 22.133 ,   28.469   ,  93.308   ,   16.597
    fire_hood    , 84.554  , 91.765 ,    80.017     ,   73.133   ,     65.299     ,  98.073   , 21.252 ,   30.581   ,  87.131   ,   18.051
      mint       , 63.181  , 88.939 ,    63.542     ,   61.246   ,     64.523     ,  92.046   , 7.063  ,   17.911   ,  66.308   ,    9.836
     mounts      , 98.093  , 99.122 ,    88.809     ,   81.880   ,     74.359     ,  98.843   , 25.686 ,   32.998   ,  91.814   ,   19.759
       pcb       , 85.660  , 93.610 ,    80.255     ,   88.025   ,     77.950     ,  95.717   , 10.134 ,   17.241   ,  82.422   ,    9.434
  phone_battery  , 92.755  , 96.263 ,    83.872     ,   81.224   ,     71.548     ,  93.244   , 22.832 ,   32.985   ,  89.717   ,   19.750
   plastic_nut   , 90.098  , 93.511 ,    79.495     ,   67.704   ,     62.933     ,  98.310   , 18.656 ,   26.957   ,  92.168   ,   15.578
  plastic_plug   , 85.629  , 92.006 ,    79.156     ,   70.213   ,     66.428     ,  98.045   , 14.582 ,   22.995   ,  90.756   ,   12.991
 porcelain_doll  , 92.931  , 95.947 ,    85.529     ,   74.518   ,     71.423     ,  98.892   , 17.398 ,   28.070   ,  95.337   ,   16.326
    regulator    , 61.878  , 78.484 ,    54.876     ,   37.130   ,     44.230     ,  93.716   , 2.579  ,   6.875    ,  76.756   ,    3.560
rolled_strip_base, 97.951  , 99.003 ,    96.591     ,   98.285   ,     92.814     ,  99.110   , 17.743 ,   25.959   ,  97.076   ,   14.915
  sim_card_set   , 93.268  , 95.170 ,    89.768     ,   89.690   ,     83.775     ,  97.997   , 32.665 ,   40.297   ,  87.463   ,   25.232
     switch      , 87.262  , 93.915 ,    77.137     ,   80.871   ,     72.815     ,  93.810   , 15.895 ,   22.187   ,  87.579   ,   12.478
      tape       , 94.798  , 97.506 ,    93.645     ,   92.798   ,     86.362     ,  99.418   , 35.002 ,   44.279   ,  97.442   ,   28.435
  terminalblock  , 95.621  , 98.336 ,    89.316     ,   90.489   ,     83.265     ,  99.169   , 27.020 ,   34.205   ,  96.170   ,   20.631
   toothbrush    , 90.579  , 95.096 ,    80.078     ,   80.391   ,     75.530     ,  96.281   , 22.535 ,   32.721   ,  87.782   ,   19.561
       toy       , 69.241  , 79.508 ,    65.550     ,   71.680   ,     74.036     ,  92.809   , 4.367  ,   11.527   ,  77.424   ,    6.116
    toy_brick    , 73.393  , 83.902 ,    65.791     ,   57.693   ,     59.630     ,  95.353   , 11.264 ,   18.871   ,  77.207   ,   10.419
   transistor1   , 97.383  , 98.816 ,    90.747     ,   93.583   ,     84.464     ,  98.802   , 31.736 ,   34.874   ,  94.341   ,   21.120
     u_block     , 89.246  , 94.336 ,    83.536     ,   73.615   ,     67.854     ,  99.107   , 22.399 ,   30.219   ,  95.694   ,   17.799
       usb       , 82.920  , 89.961 ,    78.513     ,   77.878   ,     69.907     ,  97.056   , 18.059 ,   28.817   ,  85.222   ,   16.834
   usb_adaptor   , 88.020  , 94.134 ,    68.727     ,   58.043   ,     61.263     ,  95.196   , 7.162  ,   15.542   ,  77.274   ,    8.426
     vcpill      , 80.435  , 89.192 ,    77.897     ,   71.989   ,     65.036     ,  97.815   , 28.897 ,   37.414   ,  87.518   ,   23.012
  wooden_beads   , 82.321  , 92.507 ,    83.302     ,   81.590   ,     72.991     ,  97.129   , 19.869 ,   26.189   ,  86.533   ,   15.068
    woodstick    , 78.024  , 88.718 ,    78.343     ,   65.798   ,     59.058     ,  96.624   , 28.740 ,   36.822   ,  82.599   ,   22.566
     zipper      , 99.216  , 99.584 ,    95.476     ,   97.440   ,     90.889     ,  98.577   , 44.071 ,   47.599   ,  94.461   ,   31.232
       Avg       , 85.636  , 92.525 ,    79.858     ,   76.229   ,     71.935     ,  96.835   , 19.657 ,   27.308   ,  87.187   ,   16.179
