      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.156  , 96.545 ,    78.051     ,   61.736   ,     63.677     ,  96.812   , 13.529 ,   22.060   ,  83.423   ,   12.398
   bottle_cap    , 91.544  , 95.378 ,    86.395     ,   83.801   ,     77.056     ,  99.306   , 32.843 ,   34.782   ,  96.228   ,   21.052
 button_battery  , 86.365  , 91.387 ,    81.662     ,   82.827   ,     82.211     ,  96.702   , 30.651 ,   36.080   ,  81.919   ,   22.011
     end_cap     , 86.310  , 91.339 ,    77.902     ,   81.146   ,     77.492     ,  96.399   , 10.302 ,   19.685   ,  88.279   ,   10.917
     eraser      , 93.313  , 97.017 ,    87.795     ,   83.928   ,     74.231     ,  98.468   , 28.580 ,   35.820   ,  91.268   ,   21.818
    fire_hood    , 87.007  , 92.594 ,    83.046     ,   76.774   ,     67.443     ,  98.348   , 28.765 ,   35.363   ,  89.151   ,   21.479
      mint       , 68.408  , 91.269 ,    64.954     ,   64.130   ,     64.382     ,  94.457   , 11.480 ,   22.350   ,  69.937   ,   12.581
     mounts      , 97.869  , 98.846 ,    83.571     ,   74.527   ,     70.021     ,  98.984   , 34.468 ,   37.365   ,  93.912   ,   22.975
       pcb       , 90.448  , 95.294 ,    85.992     ,   90.780   ,     82.738     ,  97.586   , 13.816 ,   20.935   ,  86.383   ,   11.691
  phone_battery  , 89.869  , 95.060 ,    86.397     ,   82.525   ,     74.341     ,  98.668   , 29.099 ,   37.706   ,  92.485   ,   23.233
   plastic_nut   , 94.835  , 96.657 ,    84.477     ,   74.309   ,     67.582     ,  98.671   , 28.026 ,   33.068   ,  94.178   ,   19.809
  plastic_plug   , 81.207  , 91.207 ,    80.486     ,   76.821   ,     66.315     ,  97.782   , 27.439 ,   34.300   ,  88.426   ,   20.700
 porcelain_doll  , 78.450  , 88.028 ,    68.319     ,   54.419   ,     53.960     ,  97.619   , 11.223 ,   18.593   ,  89.378   ,   10.249
    regulator    , 81.895  , 90.597 ,    70.905     ,   58.110   ,     50.224     ,  96.121   , 16.928 ,   26.634   ,  83.777   ,   15.363
rolled_strip_base, 99.611  , 99.828 ,    98.239     ,   99.144   ,     95.116     ,  99.376   , 27.954 ,   35.731   ,  98.206   ,   21.751
  sim_card_set   , 95.638  , 96.923 ,    90.474     ,   91.599   ,     83.721     ,  97.965   , 44.449 ,   47.511   ,  88.483   ,   31.157
     switch      , 92.303  , 96.453 ,    87.386     ,   90.235   ,     80.444     ,  98.726   , 43.511 ,   47.817   ,  92.161   ,   31.420
      tape       , 99.062  , 99.527 ,    95.967     ,   94.971   ,     87.236     ,  99.521   , 39.583 ,   43.798   ,  98.014   ,   28.039
  terminalblock  , 93.899  , 97.325 ,    87.341     ,   87.979   ,     80.693     ,  99.432   , 25.075 ,   31.010   ,  96.966   ,   18.351
   toothbrush    , 93.790  , 96.829 ,    86.037     ,   86.588   ,     82.275     ,  97.147   , 31.107 ,   36.939   ,  90.155   ,   22.654
       toy       , 85.142  , 88.748 ,    77.805     ,   79.420   ,     80.568     ,  95.527   , 6.947  ,   14.527   ,  82.452   ,    7.832
    toy_brick    , 86.543  , 93.381 ,    77.120     ,   66.478   ,     67.234     ,  97.301   , 12.961 ,   24.512   ,  88.464   ,   13.968
   transistor1   , 97.858  , 98.935 ,    94.256     ,   95.129   ,     89.334     ,  98.521   , 19.859 ,   27.348   ,  93.063   ,   15.840
     u_block     , 86.097  , 91.633 ,    80.937     ,   69.913   ,     63.984     ,  98.898   , 28.356 ,   36.631   ,  92.677   ,   22.422
       usb       , 87.833  , 93.393 ,    88.155     ,   86.392   ,     78.584     ,  98.985   , 31.944 ,   42.522   ,  93.113   ,   27.001
   usb_adaptor   , 85.047  , 92.046 ,    78.881     ,   73.398   ,     66.301     ,  97.479   , 19.861 ,   29.216   ,  86.784   ,   17.107
     vcpill      , 72.644  , 85.521 ,    77.350     ,   72.998   ,     64.198     ,  97.914   , 34.358 ,   40.802   ,  87.213   ,   25.630
  wooden_beads   , 86.736  , 94.391 ,    82.947     ,   80.185   ,     72.289     ,  96.476   , 22.492 ,   29.766   ,  82.902   ,   17.485
    woodstick    , 72.774  , 86.675 ,    76.071     ,   65.441   ,     57.996     ,  95.566   , 37.408 ,   45.112   ,  77.375   ,   29.125
     zipper      , 98.922  , 98.972 ,    97.836     ,   98.522   ,     94.764     ,  98.408   , 37.481 ,   45.152   ,  94.284   ,   29.159
       Avg       , 88.486  , 94.060 ,    83.225     ,   79.474   ,     73.880     ,  97.772   , 26.017 ,   33.104   ,  89.035   ,   20.174
