      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 92.663  , 96.088 ,    77.565     ,   58.197   ,     63.661     ,  96.518   , 7.108  ,   14.212   ,  82.329   ,    7.649
   bottle_cap    , 91.381  , 95.287 ,    86.284     ,   83.786   ,     76.909     ,  99.310   , 32.819 ,   34.648   ,  96.320   ,   20.954
 button_battery  , 86.108  , 91.805 ,    81.536     ,   83.170   ,     82.099     ,  96.598   , 32.729 ,   38.068   ,  81.465   ,   23.509
     end_cap     , 86.823  , 91.462 ,    77.890     ,   81.084   ,     77.596     ,  96.423   , 10.264 ,   19.617   ,  88.465   ,   10.875
     eraser      , 92.158  , 96.424 ,    88.513     ,   85.452   ,     74.677     ,  98.576   , 30.307 ,   37.353   ,  91.525   ,   22.966
    fire_hood    , 88.296  , 93.247 ,    83.312     ,   77.114   ,     67.680     ,  98.387   , 27.861 ,   34.404   ,  89.193   ,   20.776
      mint       , 67.642  , 90.998 ,    64.752     ,   63.951   ,     64.160     ,  94.150   , 10.933 ,   21.875   ,  69.039   ,   12.281
     mounts      , 96.542  , 98.257 ,    83.569     ,   74.588   ,     70.127     ,  99.001   , 35.123 ,   37.843   ,  94.035   ,   23.338
       pcb       , 90.374  , 95.252 ,    86.030     ,   90.786   ,     82.713     ,  97.525   , 11.892 ,   19.576   ,  86.212   ,   10.850
  phone_battery  , 92.011  , 96.151 ,    87.366     ,   83.714   ,     75.652     ,  98.588   , 25.397 ,   33.684   ,  92.701   ,   20.253
   plastic_nut   , 95.181  , 96.849 ,    85.526     ,   76.347   ,     69.138     ,  98.774   , 28.596 ,   33.825   ,  94.586   ,   20.355
  plastic_plug   , 82.819  , 92.072 ,    80.538     ,   76.461   ,     66.202     ,  97.790   , 27.342 ,   34.128   ,  88.546   ,   20.575
 porcelain_doll  , 78.050  , 87.933 ,    68.431     ,   54.388   ,     53.928     ,  97.633   , 10.939 ,   18.252   ,  89.518   ,   10.042
    regulator    , 81.916  , 90.557 ,    70.762     ,   57.469   ,     50.426     ,  95.931   , 16.609 ,   26.305   ,  82.996   ,   15.144
rolled_strip_base, 99.466  , 99.765 ,    97.897     ,   98.979   ,     94.571     ,  99.243   , 23.944 ,   31.366   ,  97.817   ,   18.600
  sim_card_set   , 95.904  , 97.285 ,    90.748     ,   91.822   ,     83.986     ,  97.981   , 43.967 ,   47.349   ,  88.488   ,   31.018
     switch      , 92.466  , 96.612 ,    87.142     ,   89.910   ,     80.067     ,  98.949   , 43.464 ,   51.098   ,  92.107   ,   34.317
      tape       , 98.981  , 99.486 ,    95.980     ,   95.058   ,     87.278     ,  99.531   , 39.815 ,   43.767   ,  98.034   ,   28.014
  terminalblock  , 93.859  , 97.298 ,    87.694     ,   88.683   ,     80.791     ,  99.460   , 26.744 ,   32.922   ,  97.075   ,   19.705
   toothbrush    , 94.651  , 97.002 ,    86.551     ,   87.130   ,     82.760     ,  97.224   , 32.679 ,   38.123   ,  90.415   ,   23.551
       toy       , 85.858  , 89.385 ,    78.082     ,   79.835   ,     80.487     ,  95.524   , 6.049  ,   13.021   ,  82.384   ,    6.964
    toy_brick    , 81.720  , 90.150 ,    78.831     ,   74.049   ,     67.723     ,  97.531   , 24.322 ,   33.262   ,  89.168   ,   19.949
   transistor1   , 97.824  , 98.885 ,    93.826     ,   94.645   ,     88.904     ,  98.584   , 22.054 ,   29.295   ,  93.275   ,   17.161
     u_block     , 86.974  , 92.500 ,    80.996     ,   70.615   ,     64.562     ,  98.917   , 28.714 ,   38.109   ,  93.004   ,   23.540
       usb       , 89.404  , 94.125 ,    88.620     ,   86.586   ,     79.747     ,  99.004   , 31.954 ,   42.429   ,  93.256   ,   26.927
   usb_adaptor   , 85.979  , 92.793 ,    79.064     ,   73.759   ,     66.156     ,  97.564   , 20.432 ,   29.462   ,  86.926   ,   17.276
     vcpill      , 74.425  , 86.415 ,    77.119     ,   72.775   ,     64.185     ,  97.781   , 32.843 ,   39.161   ,  86.401   ,   24.348
  wooden_beads   , 87.508  , 94.713 ,    82.611     ,   79.309   ,     72.567     ,  96.476   , 21.133 ,   27.727   ,  82.743   ,   16.095
    woodstick    , 73.159  , 86.931 ,    76.752     ,   66.266   ,     58.574     ,  95.934   , 37.648 ,   44.429   ,  79.605   ,   28.559
     zipper      , 98.869  , 98.956 ,    97.670     ,   98.315   ,     94.571     ,  98.232   , 31.189 ,   41.227   ,  93.583   ,   25.966
       Avg       , 88.634  , 94.156 ,    83.389     ,   79.808   ,     74.063     ,  97.771   , 25.829 ,   32.885   ,  89.040   ,   20.052
