      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 90.813  , 95.149 ,    73.160     ,   52.166   ,     61.569     ,  96.012   , 8.363  ,   15.635   ,  79.017   ,    8.481
   bottle_cap    , 96.099  , 98.342 ,    89.836     ,   88.129   ,     79.587     ,  99.350   , 22.487 ,   29.030   ,  96.718   ,   16.979
 button_battery  , 70.883  , 85.847 ,    76.103     ,   80.843   ,     77.174     ,  96.975   , 36.061 ,   40.134   ,  85.019   ,   25.105
     end_cap     , 84.593  , 91.340 ,    76.912     ,   81.795   ,     76.976     ,  95.400   , 11.771 ,   20.232   ,  85.525   ,   11.254
     eraser      , 87.197  , 94.295 ,    86.298     ,   85.603   ,     75.569     ,  98.909   , 25.572 ,   31.811   ,  93.341   ,   18.914
    fire_hood    , 84.523  , 92.055 ,    79.972     ,   73.165   ,     66.201     ,  98.143   , 20.836 ,   29.149   ,  87.629   ,   17.061
      mint       , 65.037  , 89.715 ,    66.021     ,   65.392   ,     65.162     ,  92.691   , 10.977 ,   22.641   ,  68.689   ,   12.766
     mounts      , 98.547  , 99.316 ,    87.945     ,   79.871   ,     74.204     ,  98.875   , 26.959 ,   33.839   ,  92.091   ,   20.365
       pcb       , 88.878  , 95.170 ,    84.003     ,   90.327   ,     80.486     ,  97.422   , 14.746 ,   21.563   ,  86.481   ,   12.084
  phone_battery  , 95.231  , 97.593 ,    88.181     ,   85.443   ,     76.569     ,  82.079   , 24.555 ,   33.945   ,  92.473   ,   20.442
   plastic_nut   , 92.199  , 95.903 ,    84.094     ,   75.890   ,     66.925     ,  98.874   , 26.996 ,   33.680   ,  94.572   ,   20.250
  plastic_plug   , 91.476  , 95.885 ,    85.142     ,   79.821   ,     71.424     ,  98.649   , 23.141 ,   29.937   ,  92.871   ,   17.603
 porcelain_doll  , 94.711  , 97.119 ,    87.168     ,   79.367   ,     72.707     ,  99.029   , 22.749 ,   31.378   ,  95.579   ,   18.608
    regulator    , 70.516  , 84.744 ,    60.387     ,   45.855   ,     44.580     ,  95.903   , 7.404  ,   16.310   ,  83.492   ,    8.879
rolled_strip_base, 99.020  , 99.520 ,    98.279     ,   99.114   ,     95.597     ,  99.382   , 21.012 ,   29.111   ,  97.971   ,   17.035
  sim_card_set   , 96.301  , 97.820 ,    93.282     ,   93.416   ,     86.652     ,  98.232   , 41.693 ,   43.669   ,  89.066   ,   27.934
     switch      , 93.141  , 96.848 ,    85.117     ,   87.966   ,     78.865     ,  96.139   , 26.363 ,   33.853   ,  90.399   ,   20.375
      tape       , 97.918  , 98.922 ,    95.970     ,   94.886   ,     88.094     ,  99.588   , 38.393 ,   45.371   ,  98.219   ,   29.341
  terminalblock  , 97.303  , 98.959 ,    92.174     ,   92.709   ,     86.598     ,  99.416   , 28.223 ,   34.973   ,  97.081   ,   21.192
   toothbrush    , 93.604  , 96.504 ,    83.698     ,   85.128   ,     78.343     ,  96.881   , 28.287 ,   36.729   ,  89.632   ,   22.496
       toy       , 86.193  , 91.825 ,    78.105     ,   83.261   ,     77.508     ,  94.061   , 14.616 ,   24.375   ,  84.159   ,   13.879
    toy_brick    , 73.154  , 85.483 ,    67.597     ,   60.949   ,     60.274     ,  95.480   , 14.793 ,   22.470   ,  78.261   ,   12.657
   transistor1   , 99.256  , 99.655 ,    94.989     ,   96.643   ,     90.422     ,  99.075   , 37.168 ,   39.880   ,  95.346   ,   24.906
     u_block     , 90.927  , 95.279 ,    86.375     ,   79.557   ,     70.746     ,  99.296   , 27.774 ,   35.392   ,  95.844   ,   21.501
       usb       , 88.648  , 93.239 ,    88.757     ,   88.364   ,     78.660     ,  98.422   , 29.525 ,   39.560   ,  91.196   ,   24.657
   usb_adaptor   , 89.891  , 95.215 ,    73.509     ,   63.924   ,     63.541     ,  96.697   , 11.328 ,   19.044   ,  82.252   ,   10.524
     vcpill      , 86.445  , 93.191 ,    80.845     ,   77.225   ,     67.616     ,  97.645   , 33.023 ,   40.451   ,  86.511   ,   25.353
  wooden_beads   , 83.482  , 93.266 ,    83.873     ,   82.838   ,     73.440     ,  97.186   , 23.196 ,   29.930   ,  85.540   ,   17.599
    woodstick    , 74.870  , 86.996 ,    77.642     ,   64.983   ,     57.861     ,  96.845   , 30.821 ,   38.194   ,  81.754   ,   23.605
     zipper      , 99.688  , 99.826 ,    97.744     ,   98.736   ,     93.883     ,  98.970   , 51.888 ,   55.203   ,  96.037   ,   38.124
       Avg       , 88.685  , 94.501 ,    83.439     ,   80.446   ,     74.574     ,  97.054   , 24.691 ,   31.916   ,  89.092   ,   19.332
