      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.158  , 96.421 ,    78.518     ,   61.819   ,     63.864     ,  96.792   , 11.915 ,   19.976   ,  82.844   ,   11.096
   bottle_cap    , 95.812  , 97.964 ,    88.050     ,   86.411   ,     78.040     ,  99.333   , 33.426 ,   35.139   ,  96.365   ,   21.314
 button_battery  , 84.854  , 91.489 ,    82.257     ,   84.096   ,     82.317     ,  96.791   , 34.696 ,   38.976   ,  82.912   ,   24.205
     end_cap     , 86.169  , 91.573 ,    78.542     ,   82.210   ,     77.494     ,  96.585   , 11.384 ,   21.218   ,  89.173   ,   11.868
     eraser      , 93.093  , 96.805 ,    88.968     ,   86.553   ,     75.864     ,  98.676   , 30.564 ,   37.552   ,  92.040   ,   23.117
    fire_hood    , 89.869  , 94.256 ,    83.327     ,   76.311   ,     67.624     ,  98.363   , 28.063 ,   35.515   ,  89.263   ,   21.592
      mint       , 66.078  , 90.476 ,    64.284     ,   63.256   ,     64.122     ,  93.726   , 10.295 ,   21.603   ,  69.385   ,   12.109
     mounts      , 97.138  , 98.525 ,    84.461     ,   75.593   ,     71.079     ,  99.045   , 35.627 ,   38.053   ,  94.075   ,   23.497
       pcb       , 91.981  , 96.219 ,    86.867     ,   91.527   ,     83.031     ,  97.595   , 12.185 ,   18.724   ,  86.382   ,   10.329
  phone_battery  , 98.496  , 99.369 ,    85.253     ,   77.558   ,     75.852     ,  97.704   , 13.597 ,   20.971   ,  89.537   ,   11.714
   plastic_nut   , 96.041  , 97.617 ,    85.887     ,   76.303   ,     69.609     ,  98.956   , 27.926 ,   32.523   ,  95.294   ,   19.419
  plastic_plug   , 82.107  , 91.578 ,    81.851     ,   77.630   ,     66.874     ,  98.163   , 28.152 ,   35.170   ,  89.997   ,   21.337
 porcelain_doll  , 84.600  , 91.204 ,    76.175     ,   61.053   ,     60.977     ,  98.094   , 12.828 ,   22.268   ,  91.431   ,   12.529
    regulator    , 80.342  , 89.789 ,    70.326     ,   56.946   ,     49.720     ,  96.249   , 17.124 ,   26.457   ,  84.484   ,   15.245
rolled_strip_base, 99.447  , 99.750 ,    98.152     ,   99.093   ,     94.933     ,  99.480   , 29.324 ,   36.345   ,  98.510   ,   22.208
  sim_card_set   , 96.228  , 97.349 ,    90.625     ,   91.684   ,     83.931     ,  97.916   , 44.331 ,   47.502   ,  88.321   ,   31.149
     switch      , 93.438  , 97.083 ,    87.923     ,   90.721   ,     80.766     ,  98.870   , 39.845 ,   45.535   ,  92.263   ,   29.479
      tape       , 98.927  , 99.454 ,    96.125     ,   95.222   ,     87.415     ,  99.560   , 39.417 ,   43.869   ,  98.212   ,   28.097
  terminalblock  , 93.986  , 97.319 ,    88.365     ,   90.312   ,     81.000     ,  99.566   , 34.635 ,   40.956   ,  97.493   ,   25.751
   toothbrush    , 95.629  , 97.623 ,    87.550     ,   87.653   ,     83.561     ,  97.244   , 31.598 ,   37.777   ,  90.594   ,   23.287
       toy       , 85.429  , 88.447 ,    78.643     ,   79.530   ,     81.458     ,  95.254   , 5.794  ,   12.538   ,  83.037   ,    6.688
    toy_brick    , 80.421  , 89.805 ,    80.318     ,   77.729   ,     68.640     ,  97.734   , 28.545 ,   35.222   ,  90.024   ,   21.375
   transistor1   , 99.104  , 99.554 ,    95.916     ,   96.832   ,     91.114     ,  98.958   , 30.561 ,   36.971   ,  94.888   ,   22.677
     u_block     , 96.348  , 97.985 ,    85.119     ,   78.311   ,     67.621     ,  99.026   , 31.757 ,   40.365   ,  93.422   ,   25.286
       usb       , 91.387  , 95.028 ,    88.865     ,   87.271   ,     79.900     ,  98.980   , 32.002 ,   42.295   ,  93.098   ,   26.819
   usb_adaptor   , 86.460  , 93.092 ,    78.799     ,   72.408   ,     66.512     ,  97.708   , 19.379 ,   28.411   ,  87.793   ,   16.558
     vcpill      , 77.745  , 88.717 ,    80.718     ,   78.043   ,     67.682     ,  98.193   , 41.218 ,   45.686   ,  88.433   ,   29.606
  wooden_beads   , 88.069  , 94.978 ,    84.699     ,   82.420   ,     73.812     ,  96.545   , 24.252 ,   31.034   ,  82.798   ,   18.367
    woodstick    , 72.930  , 86.660 ,    77.256     ,   66.828   ,     59.091     ,  96.093   , 38.088 ,   45.457   ,  80.137   ,   29.413
     zipper      , 99.192  , 99.431 ,    97.897     ,   98.649   ,     94.517     ,  98.462   , 34.521 ,   45.590   ,  94.301   ,   29.525
       Avg       , 89.816  , 94.852 ,    84.391     ,   80.999   ,     74.947     ,  97.855   , 27.102 ,   33.990   ,  89.550   ,   20.855
