      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.425  , 96.756 ,    77.753     ,   60.606   ,     62.956     ,  96.889   , 14.504 ,   20.836   ,  83.134   ,   11.630
   bottle_cap    , 97.063  , 98.785 ,    92.693     ,   92.611   ,     83.462     ,  99.499   , 33.921 ,   34.719   ,  97.248   ,   21.006
 button_battery  , 76.475  , 88.410 ,    80.360     ,   84.313   ,     79.245     ,  97.371   , 44.020 ,   45.499   ,  85.528   ,   29.449
     end_cap     , 88.246  , 93.749 ,    80.019     ,   84.117   ,     78.056     ,  96.650   , 13.545 ,   22.929   ,  89.456   ,   12.949
     eraser      , 90.520  , 95.765 ,    88.951     ,   87.542   ,     77.822     ,  99.034   , 31.285 ,   37.063   ,  93.797   ,   22.747
    fire_hood    , 85.667  , 92.726 ,    82.705     ,   77.238   ,     69.675     ,  98.506   , 29.747 ,   36.455   ,  90.047   ,   22.290
      mint       , 70.789  , 92.408 ,    68.925     ,   69.532   ,     65.036     ,  93.815   , 11.193 ,   24.148   ,  70.444   ,   13.732
     mounts      , 98.214  , 99.130 ,    85.523     ,   74.497   ,     73.752     ,  99.094   , 30.719 ,   33.304   ,  94.906   ,   19.979
       pcb       , 91.857  , 96.407 ,    87.299     ,   92.315   ,     82.967     ,  97.637   , 13.446 ,   18.367   ,  86.567   ,   10.112
  phone_battery  , 98.534  , 99.417 ,    86.995     ,   80.884   ,     77.480     ,  91.449   , 19.741 ,   26.715   ,  92.668   ,   15.416
   plastic_nut   , 95.121  , 96.542 ,    86.557     ,   78.978   ,     70.056     ,  99.110   , 24.196 ,   35.268   ,  95.967   ,   21.410
  plastic_plug   , 87.510  , 94.239 ,    83.367     ,   79.006   ,     68.831     ,  98.432   , 26.104 ,   32.596   ,  91.555   ,   19.471
 porcelain_doll  , 94.293  , 97.134 ,    84.726     ,   77.656   ,     69.100     ,  98.778   , 24.697 ,   33.555   ,  94.213   ,   20.160
    regulator    , 78.487  , 89.406 ,    69.139     ,   57.491   ,     48.892     ,  96.736   , 18.082 ,   27.425   ,  86.047   ,   15.892
rolled_strip_base, 99.581  , 99.812 ,    98.383     ,   99.219   ,     95.588     ,  99.534   , 28.513 ,   35.622   ,  98.637   ,   21.670
  sim_card_set   , 95.945  , 97.506 ,    93.801     ,   94.170   ,     87.275     ,  98.288   , 48.080 ,   49.232   ,  89.949   ,   32.654
     switch      , 95.156  , 97.935 ,    89.243     ,   92.066   ,     82.256     ,  97.723   , 44.036 ,   48.592   ,  92.310   ,   32.093
      tape       , 99.460  , 99.722 ,    96.729     ,   95.991   ,     89.749     ,  99.590   , 41.685 ,   44.734   ,  98.323   ,   28.811
  terminalblock  , 98.277  , 99.350 ,    92.994     ,   91.074   ,     88.794     ,  99.465   , 21.957 ,   27.870   ,  97.278   ,   16.191
   toothbrush    , 91.722  , 95.259 ,    85.234     ,   86.219   ,     80.920     ,  97.342   , 30.680 ,   37.886   ,  90.858   ,   23.370
       toy       , 87.378  , 90.948 ,    78.875     ,   81.868   ,     79.084     ,  94.907   , 9.395  ,   16.826   ,  84.254   ,    9.186
    toy_brick    , 75.413  , 86.497 ,    75.559     ,   69.484   ,     65.360     ,  97.127   , 21.750 ,   29.080   ,  87.289   ,   17.014
   transistor1   , 99.520  , 99.769 ,    96.283     ,   97.349   ,     92.063     ,  99.101   , 38.869 ,   40.517   ,  95.545   ,   25.405
     u_block     , 98.163  , 99.129 ,    88.663     ,   84.927   ,     74.331     ,  99.337   , 38.963 ,   47.393   ,  95.358   ,   31.055
       usb       , 93.025  , 95.865 ,    90.425     ,   90.152   ,     81.022     ,  98.782   , 38.877 ,   45.793   ,  92.706   ,   29.695
   usb_adaptor   , 90.501  , 95.420 ,    81.628     ,   75.773   ,     70.017     ,  97.850   , 20.546 ,   29.419   ,  88.436   ,   17.246
     vcpill      , 87.528  , 93.990 ,    85.489     ,   84.176   ,     72.709     ,  98.378   , 47.302 ,   51.440   ,  89.641   ,   34.626
  wooden_beads   , 87.472  , 95.335 ,    84.647     ,   84.298   ,     73.151     ,  97.319   , 28.090 ,   34.488   ,  85.864   ,   20.837
    woodstick    , 75.619  , 87.790 ,    78.607     ,   68.342   ,     60.573     ,  96.489   , 39.175 ,   46.200   ,  81.133   ,   30.039
     zipper      , 99.160  , 99.485 ,    97.714     ,   98.544   ,     94.444     ,  98.721   , 45.911 ,   50.908   ,  95.390   ,   34.146
       Avg       , 90.671  , 95.490 ,    85.643     ,   83.015   ,     76.489     ,  97.765   , 29.301 ,   35.496   ,  90.485   ,   22.009
