      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.584  , 96.852 ,    79.573     ,   67.952   ,     63.399     ,  97.161   , 22.611 ,   30.517   ,  84.424   ,   18.006
   bottle_cap    , 97.964  , 99.144 ,    92.998     ,   92.999   ,     83.786     ,  99.500   , 34.801 ,   35.313   ,  97.206   ,   21.443
 button_battery  , 76.261  , 88.048 ,    79.652     ,   83.709   ,     78.426     ,  97.429   , 42.569 ,   45.638   ,  86.060   ,   29.565
     end_cap     , 87.475  , 93.141 ,    79.552     ,   83.261   ,     78.001     ,  96.776   , 12.391 ,   22.040   ,  89.662   ,   12.385
     eraser      , 91.587  , 96.064 ,    89.376     ,   87.959   ,     77.417     ,  98.819   , 32.956 ,   40.167   ,  92.719   ,   25.131
    fire_hood    , 86.641  , 93.274 ,    82.994     ,   78.213   ,     70.157     ,  98.566   , 30.615 ,   36.804   ,  90.513   ,   22.552
      mint       , 75.097  , 93.718 ,    70.533     ,   71.615   ,     66.190     ,  94.474   , 14.596 ,   27.283   ,  72.973   ,   15.796
     mounts      , 98.636  , 99.350 ,    85.528     ,   74.616   ,     73.336     ,  99.088   , 33.972 ,   35.693   ,  94.124   ,   21.724
       pcb       , 92.638  , 96.694 ,    88.452     ,   93.028   ,     83.772     ,  98.009   , 21.938 ,   26.361   ,  88.201   ,   15.182
  phone_battery  , 97.439  , 98.872 ,    89.101     ,   86.019   ,     78.307     ,  95.384   , 26.566 ,   33.825   ,  94.003   ,   20.355
   plastic_nut   , 96.399  , 98.153 ,    87.783     ,   82.205   ,     71.550     ,  99.188   , 34.698 ,   39.026   ,  96.268   ,   24.244
  plastic_plug   , 82.347  , 91.463 ,    83.983     ,   79.747   ,     69.454     ,  98.599   , 28.663 ,   34.618   ,  92.132   ,   20.932
 porcelain_doll  , 94.236  , 97.117 ,    83.891     ,   75.714   ,     68.145     ,  98.672   , 22.685 ,   31.758   ,  93.817   ,   18.876
    regulator    , 82.606  , 91.623 ,    71.025     ,   60.396   ,     50.938     ,  97.035   , 19.135 ,   28.926   ,  87.331   ,   16.908
rolled_strip_base, 99.648  , 99.855 ,    98.698     ,   99.377   ,     95.997     ,  99.574   , 30.031 ,   36.267   ,  98.779   ,   22.150
  sim_card_set   , 96.419  , 97.961 ,    93.718     ,   94.449   ,     86.748     ,  98.015   , 46.508 ,   48.322   ,  88.596   ,   31.858
     switch      , 95.178  , 97.970 ,    89.667     ,   92.337   ,     82.083     ,  97.855   , 43.719 ,   49.609   ,  92.326   ,   32.987
      tape       , 99.735  , 99.873 ,    96.778     ,   96.082   ,     89.239     ,  99.614   , 41.707 ,   45.089   ,  98.417   ,   29.107
  terminalblock  , 98.124  , 99.278 ,    94.899     ,   95.518   ,     88.747     ,  99.683   , 37.431 ,   42.650   ,  98.164   ,   27.105
   toothbrush    , 94.686  , 97.130 ,    86.433     ,   86.873   ,     82.199     ,  97.368   , 30.311 ,   37.903   ,  91.077   ,   23.383
       toy       , 89.424  , 93.890 ,    80.011     ,   84.045   ,     79.494     ,  94.211   , 11.945 ,   20.765   ,  84.228   ,   11.585
    toy_brick    , 79.420  , 88.415 ,    77.792     ,   73.710   ,     66.685     ,  97.231   , 23.880 ,   31.797   ,  89.015   ,   18.904
   transistor1   , 99.533  , 99.773 ,    96.694     ,   97.540   ,     91.825     ,  99.125   , 39.452 ,   40.647   ,  95.683   ,   25.508
     u_block     , 97.206  , 98.671 ,    88.022     ,   83.874   ,     73.544     ,  99.286   , 36.942 ,   46.305   ,  94.972   ,   30.128
       usb       , 92.801  , 95.631 ,    90.927     ,   90.351   ,     81.892     ,  99.041   , 38.895 ,   45.244   ,  94.024   ,   29.236
   usb_adaptor   , 91.369  , 95.981 ,    82.102     ,   77.577   ,     70.047     ,  97.743   , 22.873 ,   30.955   ,  87.823   ,   18.312
     vcpill      , 89.637  , 94.983 ,    84.860     ,   83.571   ,     72.413     ,  98.136   , 43.808 ,   49.230   ,  88.802   ,   32.652
  wooden_beads   , 87.673  , 95.211 ,    85.488     ,   84.991   ,     74.131     ,  97.137   , 27.818 ,   34.834   ,  85.302   ,   21.090
    woodstick    , 76.120  , 88.049 ,    79.560     ,   69.279   ,     61.459     ,  96.881   , 40.055 ,   45.427   ,  83.574   ,   29.389
     zipper      , 99.482  , 99.681 ,    98.371     ,   98.982   ,     95.453     ,  98.940   , 53.618 ,   57.384   ,  96.306   ,   40.237
       Avg       , 91.312  , 95.862 ,    86.282     ,   84.200   ,     76.828     ,  97.951   , 31.573 ,   37.680   ,  90.884   ,   23.558
