      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 92.232  , 95.752 ,    77.051     ,   60.444   ,     62.776     ,  96.790   , 14.280 ,   22.343   ,  82.314   ,   12.577
   bottle_cap    , 97.148  , 98.804 ,    92.039     ,   91.512   ,     80.483     ,  99.511   , 29.865 ,   34.350   ,  97.292   ,   20.737
 button_battery  , 76.275  , 88.914 ,    79.039     ,   83.661   ,     78.298     ,  97.593   , 44.806 ,   47.097   ,  86.559   ,   30.802
     end_cap     , 85.589  , 91.639 ,    78.083     ,   81.629   ,     77.850     ,  96.467   , 12.410 ,   20.669   ,  88.485   ,   11.526
     eraser      , 86.000  , 93.891 ,    86.434     ,   85.802   ,     75.472     ,  99.025   , 32.225 ,   38.449   ,  93.251   ,   23.800
    fire_hood    , 83.852  , 91.280 ,    79.823     ,   72.184   ,     66.616     ,  98.300   , 19.946 ,   28.110   ,  88.302   ,   16.353
      mint       , 61.073  , 88.965 ,    66.680     ,   66.029   ,     64.740     ,  93.366   , 12.255 ,   23.980   ,  69.062   ,   13.624
     mounts      , 96.843  , 98.340 ,    86.459     ,   76.338   ,     73.749     ,  98.872   , 30.701 ,   34.984   ,  91.617   ,   21.200
       pcb       , 91.260  , 96.185 ,    86.732     ,   92.147   ,     82.298     ,  97.907   , 19.231 ,   24.655   ,  88.233   ,   14.061
  phone_battery  , 97.589  , 98.977 ,    86.786     ,   81.251   ,     76.400     ,  83.658   , 24.589 ,   31.820   ,  92.313   ,   18.920
   plastic_nut   , 93.670  , 96.561 ,    85.889     ,   79.331   ,     69.476     ,  99.111   , 31.573 ,   37.978   ,  95.688   ,   23.440
  plastic_plug   , 89.138  , 94.871 ,    84.324     ,   79.729   ,     70.473     ,  98.698   , 25.274 ,   32.240   ,  92.526   ,   19.218
 porcelain_doll  , 95.790  , 98.010 ,    87.851     ,   81.873   ,     72.214     ,  99.022   , 28.721 ,   35.789   ,  95.417   ,   21.794
    regulator    , 75.215  , 87.684 ,    65.525     ,   53.611   ,     46.248     ,  96.652   , 15.446 ,   25.358   ,  85.501   ,   14.520
rolled_strip_base, 99.207  , 99.636 ,    98.612     ,   99.315   ,     95.940     ,  99.516   , 29.680 ,   34.954   ,  98.377   ,   21.178
  sim_card_set   , 97.640  , 98.519 ,    94.801     ,   95.037   ,     88.429     ,  98.280   , 46.853 ,   47.703   ,  89.374   ,   31.322
     switch      , 95.603  , 98.061 ,    89.244     ,   91.805   ,     82.262     ,  97.044   , 39.180 ,   45.115   ,  91.953   ,   29.128
      tape       , 99.702  , 99.864 ,    96.915     ,   96.060   ,     89.796     ,  99.633   , 43.093 ,   47.452   ,  98.378   ,   31.107
  terminalblock  , 97.129  , 98.874 ,    93.471     ,   94.083   ,     88.070     ,  99.598   , 35.112 ,   40.224   ,  97.695   ,   25.175
   toothbrush    , 93.661  , 96.779 ,    85.474     ,   86.980   ,     80.635     ,  97.515   , 33.289 ,   39.572   ,  91.259   ,   24.666
       toy       , 89.656  , 94.127 ,    79.962     ,   84.825   ,     78.454     ,  94.376   , 15.384 ,   24.946   ,  85.102   ,   14.250
    toy_brick    , 72.076  , 83.926 ,    69.216     ,   61.652   ,     61.487     ,  95.947   , 16.772 ,   23.889   ,  80.758   ,   13.564
   transistor1   , 99.488  , 99.767 ,    95.869     ,   97.223   ,     91.441     ,  99.200   , 40.249 ,   41.416   ,  95.915   ,   26.116
     u_block     , 94.968  , 97.506 ,    86.846     ,   81.546   ,     70.863     ,  99.360   , 38.196 ,   45.269   ,  95.690   ,   29.257
       usb       , 92.355  , 95.642 ,    91.197     ,   91.068   ,     81.828     ,  98.813   , 37.635 ,   44.525   ,  93.106   ,   28.638
   usb_adaptor   , 90.417  , 95.513 ,    77.555     ,   70.977   ,     66.245     ,  97.268   , 17.096 ,   26.660   ,  84.383   ,   15.380
     vcpill      , 90.573  , 95.478 ,    84.544     ,   82.874   ,     71.423     ,  98.071   , 44.680 ,   49.024   ,  88.286   ,   32.471
  wooden_beads   , 86.185  , 94.585 ,    84.358     ,   83.519   ,     73.681     ,  97.407   , 29.431 ,   35.560   ,  85.569   ,   21.625
    woodstick    , 75.121  , 86.407 ,    78.599     ,   64.750   ,     60.369     ,  96.971   , 31.629 ,   38.835   ,  82.265   ,   24.096
     zipper      , 99.628  , 99.799 ,    98.287     ,   98.992   ,     95.199     ,  99.028   , 58.359 ,   59.696   ,  96.473   ,   42.548
       Avg       , 89.836  , 95.145 ,    84.922     ,   82.208   ,     75.774     ,  97.433   , 29.932 ,   36.089   ,  90.038   ,   22.436
