      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.144  , 96.506 ,    77.838     ,   61.895   ,     62.998     ,  97.069   , 16.555 ,   24.564   ,  83.973   ,   14.002
   bottle_cap    , 97.920  , 99.117 ,    92.803     ,   92.814   ,     83.402     ,  99.500   , 33.876 ,   36.615   ,  97.209   ,   22.410
 button_battery  , 76.201  , 87.812 ,    78.964     ,   83.276   ,     77.938     ,  97.442   , 40.287 ,   43.789   ,  85.917   ,   28.032
     end_cap     , 85.231  , 90.812 ,    78.571     ,   81.242   ,     77.739     ,  96.559   , 10.682 ,   19.791   ,  88.886   ,   10.982
     eraser      , 92.042  , 96.283 ,    89.150     ,   87.393   ,     76.459     ,  98.758   , 34.013 ,   40.662   ,  92.391   ,   25.519
    fire_hood    , 86.185  , 92.867 ,    83.034     ,   77.710   ,     69.876     ,  98.525   , 28.248 ,   36.387   ,  90.394   ,   22.239
      mint       , 72.721  , 92.857 ,    70.912     ,   70.908   ,     66.299     ,  94.354   , 13.695 ,   25.695   ,  73.471   ,   14.741
     mounts      , 97.173  , 98.552 ,    84.811     ,   73.035   ,     72.594     ,  99.006   , 30.711 ,   35.321   ,  93.497   ,   21.448
       pcb       , 92.558  , 96.663 ,    88.070     ,   92.875   ,     83.136     ,  97.959   , 21.807 ,   26.486   ,  88.149   ,   15.265
  phone_battery  , 97.091  , 98.687 ,    89.553     ,   86.982   ,     78.509     ,  98.738   , 34.361 ,   39.376   ,  94.419   ,   24.514
   plastic_nut   , 96.820  , 98.372 ,    88.160     ,   82.857   ,     71.632     ,  99.130   , 35.464 ,   40.381   ,  96.058   ,   25.299
  plastic_plug   , 84.195  , 92.681 ,    83.143     ,   79.202   ,     68.908     ,  98.509   , 26.607 ,   33.296   ,  91.734   ,   19.973
 porcelain_doll  , 94.211  , 97.281 ,    83.842     ,   76.261   ,     67.801     ,  98.701   , 24.719 ,   33.886   ,  93.991   ,   20.399
    regulator    , 85.246  , 92.692 ,    71.385     ,   59.678   ,     51.214     ,  96.932   , 17.795 ,   28.114   ,  86.887   ,   16.356
rolled_strip_base, 99.646  , 99.854 ,    98.791     ,   99.415   ,     96.298     ,  99.581   , 30.758 ,   37.337   ,  98.787   ,   22.954
  sim_card_set   , 96.580  , 98.134 ,    92.904     ,   93.666   ,     86.512     ,  98.000   , 44.308 ,   46.689   ,  88.552   ,   30.454
     switch      , 94.980  , 97.858 ,    89.708     ,   92.255   ,     82.245     ,  97.798   , 44.754 ,   49.944   ,  92.500   ,   33.283
      tape       , 99.800  , 99.905 ,    96.740     ,   96.028   ,     89.088     ,  99.605   , 43.839 ,   46.366   ,  98.361   ,   30.179
  terminalblock  , 97.978  , 99.215 ,    94.712     ,   95.337   ,     88.369     ,  99.679   , 37.533 ,   42.831   ,  98.112   ,   27.252
   toothbrush    , 94.403  , 97.015 ,    85.977     ,   86.077   ,     81.839     ,  97.396   , 30.965 ,   38.275   ,  91.089   ,   23.666
       toy       , 90.758  , 94.770 ,    80.908     ,   85.076   ,     80.234     ,  94.575   , 14.527 ,   24.002   ,  84.607   ,   13.638
    toy_brick    , 74.045  , 84.469 ,    72.502     ,   64.593   ,     63.249     ,  96.573   , 17.091 ,   24.415   ,  87.279   ,   13.905
   transistor1   , 99.350  , 99.683 ,    96.234     ,   97.110   ,     91.586     ,  99.105   , 39.479 ,   40.489   ,  95.546   ,   25.384
     u_block     , 97.034  , 98.552 ,    87.372     ,   82.630   ,     72.438     ,  99.265   , 38.408 ,   46.741   ,  94.828   ,   30.498
       usb       , 93.044  , 95.823 ,    91.163     ,   90.758   ,     82.162     ,  98.971   , 39.071 ,   44.743   ,  93.873   ,   28.819
   usb_adaptor   , 91.538  , 96.215 ,    82.115     ,   78.264   ,     69.586     ,  97.698   , 24.034 ,   32.830   ,  87.665   ,   19.639
     vcpill      , 89.644  , 94.873 ,    84.598     ,   82.961   ,     71.968     ,  98.072   , 44.896 ,   49.185   ,  88.354   ,   32.613
  wooden_beads   , 89.129  , 95.802 ,    85.786     ,   85.130   ,     74.521     ,  97.206   , 27.842 ,   35.368   ,  85.538   ,   21.483
    woodstick    , 74.822  , 86.777 ,    78.588     ,   65.820   ,     60.459     ,  96.930   , 32.884 ,   38.820   ,  83.665   ,   24.085
     zipper      , 99.646  , 99.803 ,    98.326     ,   99.012   ,     95.326     ,  98.928   , 54.004 ,   57.307   ,  96.269   ,   40.161
       Avg       , 91.105  , 95.664 ,    85.889     ,   83.342   ,     76.479     ,  98.019   , 31.107 ,   37.324   ,  90.733   ,   23.306
