      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 89.338  , 94.361 ,    71.856     ,   50.018   ,     59.795     ,  95.568   , 5.293  ,   11.034   ,  77.234   ,    5.839
   bottle_cap    , 94.397  , 97.571 ,    88.402     ,   86.115   ,     79.093     ,  99.269   , 19.870 ,   26.620   ,  96.322   ,   15.354
 button_battery  , 71.004  , 85.794 ,    74.334     ,   79.679   ,     76.330     ,  96.718   , 34.613 ,   38.499   ,  83.570   ,   23.838
     end_cap     , 84.861  , 91.508 ,    76.119     ,   81.385   ,     76.126     ,  94.983   , 10.982 ,   18.930   ,  83.976   ,   10.454
     eraser      , 86.222  , 93.777 ,    85.423     ,   84.621   ,     74.400     ,  98.797   , 23.202 ,   29.738   ,  92.523   ,   17.466
    fire_hood    , 82.660  , 90.916 ,    78.630     ,   71.257   ,     64.301     ,  98.023   , 19.121 ,   28.000   ,  86.686   ,   16.279
      mint       , 63.799  , 89.277 ,    65.009     ,   64.021   ,     64.525     ,  92.828   , 9.775  ,   21.336   ,  68.394   ,   11.942
     mounts      , 97.841  , 99.004 ,    87.579     ,   79.206   ,     73.469     ,  98.845   , 25.299 ,   32.316   ,  92.076   ,   19.272
       pcb       , 88.162  , 94.855 ,    82.713     ,   89.636   ,     79.506     ,  97.027   , 12.568 ,   18.197   ,  85.271   ,   10.009
  phone_battery  , 95.115  , 97.595 ,    87.114     ,   84.572   ,     75.650     ,  82.655   , 22.631 ,   32.003   ,  91.668   ,   19.050
   plastic_nut   , 89.996  , 94.657 ,    81.312     ,   71.390   ,     63.569     ,  98.512   , 22.600 ,   30.157   ,  92.772   ,   17.756
  plastic_plug   , 89.979  , 94.854 ,    84.464     ,   78.110   ,     70.966     ,  98.592   , 20.629 ,   28.370   ,  92.875   ,   16.529
 porcelain_doll  , 94.379  , 96.884 ,    86.618     ,   78.032   ,     71.475     ,  98.961   , 21.328 ,   30.963   ,  95.292   ,   18.318
    regulator    , 69.173  , 84.236 ,    57.816     ,   43.159   ,     44.141     ,  95.272   , 6.863  ,   15.570   ,  81.050   ,    8.442
rolled_strip_base, 98.731  , 99.387 ,    98.214     ,   99.068   ,     95.185     ,  99.351   , 20.741 ,   28.024   ,  97.843   ,   16.296
  sim_card_set   , 95.299  , 97.202 ,    92.604     ,   92.770   ,     86.343     ,  98.289   , 39.878 ,   42.876   ,  89.100   ,   27.288
     switch      , 92.221  , 96.395 ,    83.780     ,   86.880   ,     77.960     ,  95.752   , 24.474 ,   32.290   ,  89.847   ,   19.253
      tape       , 97.524  , 98.751 ,    95.657     ,   94.702   ,     87.694     ,  99.553   , 36.880 ,   44.100   ,  97.970   ,   28.288
  terminalblock  , 96.879  , 98.810 ,    91.469     ,   91.868   ,     85.930     ,  99.318   , 27.315 ,   33.925   ,  96.640   ,   20.428
   toothbrush    , 91.903  , 95.624 ,    81.981     ,   83.167   ,     77.017     ,  96.769   , 26.916 ,   35.618   ,  88.829   ,   21.668
       toy       , 83.222  , 90.055 ,    74.883     ,   80.298   ,     76.187     ,  93.779   , 12.217 ,   22.380   ,  83.124   ,   12.600
    toy_brick    , 71.082  , 83.931 ,    65.591     ,   58.621   ,     59.495     ,  94.802   , 12.759 ,   19.872   ,  75.226   ,   11.032
   transistor1   , 99.045  , 99.551 ,    94.150     ,   96.068   ,     89.586     ,  98.973   , 34.375 ,   37.320   ,  94.909   ,   22.941
     u_block     , 91.140  , 95.363 ,    85.677     ,   78.104   ,     69.495     ,  99.240   , 27.289 ,   35.779   ,  95.561   ,   21.787
       usb       , 86.897  , 92.320 ,    86.634     ,   86.186   ,     76.707     ,  98.171   , 25.618 ,   36.134   ,  89.950   ,   22.051
   usb_adaptor   , 89.942  , 95.137 ,    73.332     ,   63.492   ,     63.845     ,  96.269   , 10.611 ,   18.343   ,  80.851   ,   10.098
     vcpill      , 87.092  , 93.548 ,    81.167     ,   77.878   ,     68.161     ,  97.572   , 32.915 ,   40.676   ,  85.719   ,   25.530
  wooden_beads   , 82.990  , 93.045 ,    83.664     ,   82.649   ,     73.361     ,  97.004   , 22.539 ,   30.338   ,  84.256   ,   17.882
    woodstick    , 74.098  , 86.416 ,    77.086     ,   63.645   ,     57.155     ,  96.565   , 29.035 ,   36.928   ,  79.654   ,   22.645
     zipper      , 99.344  , 99.605 ,    97.058     ,   98.319   ,     93.004     ,  98.908   , 49.656 ,   53.138   ,  95.499   ,   36.183
       Avg       , 87.811  , 94.014 ,    82.344     ,   79.164   ,     73.682     ,  96.879   , 22.933 ,   30.316   ,  88.156   ,   18.217
