      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 88.503  , 94.083 ,    71.267     ,   49.153   ,     59.687     ,  95.550   , 5.294  ,   11.279   ,  77.094   ,    5.977
   bottle_cap    , 94.552  , 97.667 ,    87.843     ,   85.352   ,     78.825     ,  99.226   , 19.400 ,   26.451   ,  96.126   ,   15.241
 button_battery  , 71.497  , 86.251 ,    74.579     ,   79.745   ,     76.742     ,  96.776   , 34.644 ,   38.069   ,  83.637   ,   23.510
     end_cap     , 84.070  , 91.192 ,    75.806     ,   81.158   ,     75.988     ,  94.844   , 10.910 ,   18.971   ,  83.419   ,   10.480
     eraser      , 85.511  , 93.489 ,    85.111     ,   84.334   ,     74.082     ,  98.770   , 22.985 ,   29.259   ,  92.383   ,   17.137
    fire_hood    , 83.394  , 91.158 ,    78.882     ,   71.623   ,     64.214     ,  98.029   , 18.709 ,   27.223   ,  86.714   ,   15.756
      mint       , 66.207  , 89.764 ,    65.672     ,   64.492   ,     65.023     ,  92.787   , 9.591  ,   21.074   ,  68.377   ,   11.778
     mounts      , 97.962  , 99.057 ,    87.451     ,   78.930   ,     73.461     ,  98.830   , 25.303 ,   31.966   ,  91.951   ,   19.023
       pcb       , 88.228  , 94.876 ,    83.254     ,   90.016   ,     80.056     ,  97.115   , 13.287 ,   19.912   ,  85.544   ,   11.057
  phone_battery  , 96.442  , 98.360 ,    86.407     ,   83.124   ,     75.631     ,  83.723   , 22.384 ,   32.058   ,  91.406   ,   19.089
   plastic_nut   , 89.652  , 94.502 ,    81.371     ,   71.548   ,     63.969     ,  98.512   , 22.592 ,   30.834   ,  92.590   ,   18.227
  plastic_plug   , 89.685  , 94.780 ,    84.495     ,   78.075   ,     71.572     ,  98.626   , 20.658 ,   27.691   ,  92.932   ,   16.071
 porcelain_doll  , 94.007  , 96.574 ,    86.576     ,   78.053   ,     72.083     ,  98.998   , 21.376 ,   30.726   ,  95.361   ,   18.152
    regulator    , 67.800  , 82.116 ,    58.207     ,   42.722   ,     44.233     ,  95.338   , 6.846  ,   14.971   ,  81.168   ,    8.091
rolled_strip_base, 99.028  , 99.534 ,    98.168     ,   99.047   ,     95.359     ,  99.355   , 20.795 ,   28.727   ,  97.848   ,   16.773
  sim_card_set   , 94.982  , 97.001 ,    92.911     ,   92.790   ,     86.932     ,  98.253   , 38.903 ,   42.159   ,  88.847   ,   26.710
     switch      , 91.642  , 96.087 ,    83.624     ,   86.633   ,     77.805     ,  96.001   , 24.632 ,   33.221   ,  90.053   ,   19.919
      tape       , 97.789  , 98.929 ,    95.680     ,   94.772   ,     87.469     ,  99.551   , 37.037 ,   44.330   ,  97.943   ,   28.477
  terminalblock  , 96.811  , 98.791 ,    91.480     ,   91.769   ,     86.173     ,  99.330   , 26.805 ,   34.107   ,  96.701   ,   20.560
   toothbrush    , 92.012  , 95.897 ,    82.166     ,   82.968   ,     77.207     ,  96.756   , 26.336 ,   35.349   ,  88.800   ,   21.469
       toy       , 84.277  , 90.558 ,    75.657     ,   81.155   ,     76.288     ,  93.668   , 13.072 ,   24.067   ,  83.067   ,   13.679
    toy_brick    , 70.612  , 83.831 ,    65.855     ,   58.604   ,     59.656     ,  94.736   , 12.480 ,   20.026   ,  75.136   ,   11.127
   transistor1   , 98.953  , 99.518 ,    93.889     ,   95.915   ,     89.090     ,  98.958   , 34.587 ,   37.291   ,  94.774   ,   22.919
     u_block     , 91.155  , 95.448 ,    85.731     ,   77.983   ,     69.441     ,  99.220   , 26.859 ,   35.678   ,  95.449   ,   21.712
       usb       , 86.145  , 91.911 ,    86.391     ,   85.952   ,     76.474     ,  98.111   , 25.611 ,   35.701   ,  89.670   ,   21.729
   usb_adaptor   , 89.390  , 94.835 ,    73.650     ,   64.030   ,     64.146     ,  96.258   , 10.897 ,   18.353   ,  80.929   ,   10.104
     vcpill      , 87.742  , 94.040 ,    81.400     ,   78.251   ,     68.325     ,  97.581   , 32.533 ,   40.274   ,  85.740   ,   25.214
  wooden_beads   , 83.578  , 93.344 ,    83.509     ,   82.561   ,     73.666     ,  96.995   , 22.622 ,   30.558   ,  84.283   ,   18.034
    woodstick    , 74.280  , 86.431 ,    76.958     ,   63.702   ,     57.284     ,  96.575   , 29.040 ,   36.702   ,  79.682   ,   22.476
     zipper      , 99.348  , 99.605 ,    97.025     ,   98.313   ,     92.927     ,  98.930   , 50.000 ,   54.217   ,  95.538   ,   37.190
       Avg       , 87.842  , 93.988 ,    82.367     ,   79.092   ,     73.794     ,  96.913   , 22.873 ,   30.375   ,  88.105   ,   18.256
