      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 93.830  , 96.950 ,    79.273     ,   66.282   ,     63.886     ,  97.168   , 21.104 ,   28.882   ,  84.398   ,   16.879
   bottle_cap    , 97.590  , 99.000 ,    92.704     ,   92.692   ,     83.501     ,  99.477   , 35.286 ,   35.872   ,  97.093   ,   21.856
 button_battery  , 77.477  , 88.259 ,    80.633     ,   84.380   ,     79.333     ,  97.468   , 43.583 ,   46.509   ,  86.194   ,   30.301
     end_cap     , 87.619  , 93.047 ,    79.802     ,   83.568   ,     78.055     ,  96.722   , 11.971 ,   21.604   ,  89.595   ,   12.110
     eraser      , 91.879  , 96.242 ,    89.501     ,   88.170   ,     77.410     ,  98.764   , 34.338 ,   41.076   ,  92.413   ,   25.847
    fire_hood    , 86.714  , 93.219 ,    83.299     ,   78.368   ,     70.115     ,  98.561   , 30.668 ,   37.811   ,  90.463   ,   23.313
      mint       , 74.780  , 93.581 ,    71.274     ,   72.158   ,     66.009     ,  94.254   , 14.058 ,   27.110   ,  72.448   ,   15.681
     mounts      , 98.089  , 99.047 ,    85.176     ,   73.604   ,     73.322     ,  99.128   , 33.504 ,   35.584   ,  94.739   ,   21.643
       pcb       , 93.226  , 96.917 ,    88.600     ,   93.119   ,     83.908     ,  97.963   , 20.429 ,   25.323   ,  88.026   ,   14.497
  phone_battery  , 96.959  , 98.632 ,    89.307     ,   86.532   ,     78.799     ,  96.792   , 27.244 ,   34.250   ,  94.279   ,   20.663
   plastic_nut   , 96.531  , 98.159 ,    87.802     ,   81.960   ,     71.815     ,  99.181   , 35.364 ,   39.685   ,  96.276   ,   24.754
  plastic_plug   , 83.370  , 92.179 ,    83.949     ,   80.078   ,     69.539     ,  98.566   , 28.843 ,   34.747   ,  91.992   ,   21.027
 porcelain_doll  , 94.635  , 97.359 ,    83.389     ,   75.958   ,     67.390     ,  98.617   , 23.099 ,   31.800   ,  93.607   ,   18.906
    regulator    , 84.725  , 92.366 ,    71.279     ,   59.623   ,     51.046     ,  97.067   , 18.840 ,   28.109   ,  87.298   ,   16.353
rolled_strip_base, 99.590  , 99.819 ,    98.625     ,   99.341   ,     95.968     ,  99.581   , 30.662 ,   37.323   ,  98.790   ,   22.943
  sim_card_set   , 96.469  , 98.101 ,    93.237     ,   94.148   ,     86.369     ,  98.019   , 46.415 ,   48.261   ,  88.629   ,   31.805
     switch      , 95.393  , 98.055 ,    89.595     ,   92.302   ,     82.385     ,  97.563   , 43.175 ,   47.735   ,  92.127   ,   31.350
      tape       , 99.701  , 99.854 ,    96.807     ,   96.125   ,     89.314     ,  99.608   , 41.362 ,   45.498   ,  98.405   ,   29.448
  terminalblock  , 97.976  , 99.200 ,    94.617     ,   95.339   ,     88.238     ,  99.686   , 38.358 ,   42.819   ,  98.151   ,   27.242
   toothbrush    , 94.773  , 97.240 ,    86.320     ,   86.596   ,     82.186     ,  97.431   , 31.460 ,   38.616   ,  91.256   ,   23.928
       toy       , 89.696  , 93.847 ,    80.573     ,   84.331   ,     80.290     ,  94.119   , 12.531 ,   20.597   ,  83.780   ,   11.481
    toy_brick    , 79.234  , 88.608 ,    78.164     ,   73.065   ,     67.056     ,  97.350   , 24.328 ,   31.095   ,  89.304   ,   18.410
   transistor1   , 99.543  , 99.780 ,    96.428     ,   97.464   ,     91.832     ,  99.124   , 39.484 ,   40.568   ,  95.646   ,   25.445
     u_block     , 97.483  , 98.705 ,    87.953     ,   83.562   ,     73.495     ,  99.256   , 37.208 ,   46.795   ,  94.838   ,   30.544
       usb       , 92.936  , 95.687 ,    90.945     ,   90.400   ,     81.749     ,  99.039   , 39.324 ,   44.976   ,  93.941   ,   29.013
   usb_adaptor   , 90.657  , 95.605 ,    81.741     ,   76.905   ,     69.471     ,  97.679   , 22.364 ,   31.246   ,  87.558   ,   18.516
     vcpill      , 89.885  , 95.085 ,    85.771     ,   84.609   ,     73.482     ,  98.214   , 46.057 ,   50.740   ,  88.881   ,   33.994
  wooden_beads   , 89.965  , 96.177 ,    86.144     ,   85.924   ,     75.377     ,  97.171   , 28.813 ,   35.839   ,  85.403   ,   21.831
    woodstick    , 76.345  , 87.988 ,    80.445     ,   70.076   ,     62.620     ,  97.059   , 39.413 ,   45.464   ,  84.376   ,   29.420
     zipper      , 99.222  , 99.325 ,    98.068     ,   98.703   ,     95.352     ,  98.855   , 52.555 ,   55.914   ,  95.989   ,   38.806
       Avg       , 91.543  , 95.935 ,    86.381     ,   84.179   ,     76.977     ,  97.983   , 31.728 ,   37.728   ,  90.863   ,   23.600
