      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 89.809  , 93.598 ,    76.320     ,   65.599   ,     60.669     ,  96.273   , 18.784 ,   27.972   ,  79.873   ,   16.260
   bottle_cap    , 97.506  , 98.890 ,    90.550     ,   88.130   ,     80.867     ,  99.434   , 21.969 ,   31.539   ,  96.975   ,   18.722
 button_battery  , 91.060  , 94.953 ,    74.421     ,   79.512   ,     75.094     ,  97.134   , 23.304 ,   34.751   ,  85.366   ,   21.030
     end_cap     , 86.439  , 92.599 ,    80.383     ,   84.738   ,     78.567     ,  96.338   , 14.122 ,   24.752   ,  89.519   ,   14.124
     eraser      , 89.058  , 95.296 ,    89.655     ,   88.790   ,     79.568     ,  99.439   , 33.632 ,   40.077   ,  96.215   ,   25.060
    fire_hood    , 82.635  , 90.435 ,    79.225     ,   72.411   ,     65.876     ,  98.579   , 27.691 ,   35.419   ,  89.397   ,   21.521
      mint       , 66.169  , 89.082 ,    66.448     ,   65.559   ,     64.745     ,  94.418   , 10.464 ,   22.429   ,  72.480   ,   12.631
     mounts      , 97.566  , 98.883 ,    89.693     ,   81.765   ,     76.018     ,  99.388   , 34.833 ,   40.535   ,  95.976   ,   25.420
       pcb       , 77.853  , 86.621 ,    77.070     ,   83.230   ,     78.187     ,  96.823   , 11.976 ,   21.729   ,  86.316   ,   12.189
  phone_battery  , 90.178  , 95.216 ,    88.015     ,   85.849   ,     76.170     ,  93.794   , 36.929 ,   39.367   ,  93.921   ,   24.507
   plastic_nut   , 87.407  , 93.061 ,    81.398     ,   71.441   ,     64.580     ,  98.788   , 22.483 ,   29.655   ,  92.767   ,   17.409
  plastic_plug   , 84.308  , 91.604 ,    79.591     ,   66.476   ,     67.458     ,  98.843   , 16.715 ,   24.547   ,  93.873   ,   13.991
 porcelain_doll  , 92.463  , 93.776 ,    80.632     ,   66.590   ,     65.767     ,  98.380   , 18.916 ,   28.021   ,  93.219   ,   16.293
    regulator    , 66.657  , 80.598 ,    62.791     ,   45.561   ,     45.527     ,  97.175   , 8.429  ,   15.577   ,  86.753   ,    8.446
rolled_strip_base, 98.851  , 99.443 ,    98.424     ,   99.176   ,     95.870     ,  99.663   , 31.458 ,   40.401   ,  98.650   ,   25.314
  sim_card_set   , 92.715  , 95.365 ,    91.594     ,   91.687   ,     85.375     ,  98.019   , 34.134 ,   40.356   ,  89.127   ,   25.279
     switch      , 89.813  , 95.050 ,    81.793     ,   85.458   ,     75.787     ,  95.184   , 21.749 ,   28.182   ,  90.548   ,   16.402
      tape       , 95.051  , 97.558 ,    95.674     ,   94.173   ,     86.882     ,  99.689   , 41.907 ,   47.344   ,  98.682   ,   31.013
  terminalblock  , 91.123  , 95.228 ,    87.403     ,   87.383   ,     82.153     ,  99.438   , 28.361 ,   36.893   ,  97.417   ,   22.619
   toothbrush    , 83.471  , 91.290 ,    83.311     ,   85.029   ,     78.466     ,  97.121   , 31.847 ,   38.574   ,  90.897   ,   23.896
       toy       , 66.705  , 79.869 ,    66.517     ,   71.405   ,     75.511     ,  94.704   , 4.892  ,   12.136   ,  83.331   ,    6.460
    toy_brick    , 67.157  , 78.848 ,    64.773     ,   56.187   ,     59.706     ,  96.788   , 14.833 ,   23.267   ,  79.952   ,   13.165
   transistor1   , 98.702  , 99.423 ,    92.911     ,   95.272   ,     88.047     ,  99.064   , 33.812 ,   38.237   ,  95.459   ,   23.638
     u_block     , 95.116  , 97.655 ,    89.373     ,   83.322   ,     75.111     ,  99.472   , 38.976 ,   44.252   ,  96.841   ,   28.413
       usb       , 81.209  , 88.695 ,    82.120     ,   81.346   ,     72.207     ,  97.343   , 24.419 ,   33.748   ,  87.817   ,   20.299
   usb_adaptor   , 74.237  , 84.531 ,    70.308     ,   59.977   ,     61.750     ,  94.783   , 9.186  ,   17.500   ,  75.277   ,    9.589
     vcpill      , 86.738  , 92.953 ,    86.719     ,   83.568   ,     73.895     ,  98.556   , 46.774 ,   51.348   ,  91.978   ,   34.542
  wooden_beads   , 81.201  , 92.023 ,    81.427     ,   79.167   ,     70.333     ,  97.663   , 26.483 ,   34.404   ,  86.370   ,   20.776
    woodstick    , 66.262  , 80.898 ,    75.766     ,   58.354   ,     57.034     ,  97.360   , 26.901 ,   34.883   ,  85.031   ,   21.126
     zipper      , 98.967  , 99.271 ,    96.531     ,   97.947   ,     92.632     ,  99.024   , 44.770 ,   50.401   ,  95.968   ,   33.691
       Avg       , 85.548  , 92.090 ,    82.028     ,   78.503   ,     73.662     ,  97.623   , 25.358 ,   32.943   ,  89.866   ,   20.127
