      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 74.767  , 86.816 ,    72.877     ,   63.893   ,     57.305     ,  96.343   , 25.787 ,   35.345   ,  79.738   ,   21.466
   bottle_cap    , 96.203  , 98.184 ,    88.095     ,   87.176   ,     76.224     ,  99.355   , 30.010 ,   36.894   ,  96.595   ,   22.620
 button_battery  , 70.435  , 84.859 ,    70.648     ,   75.861   ,     74.972     ,  96.536   , 31.299 ,   34.108   ,  83.649   ,   20.560
     end_cap     , 80.219  , 90.470 ,    74.072     ,   81.334   ,     74.726     ,  95.794   , 13.521 ,   24.441   ,  88.309   ,   13.922
     eraser      , 83.720  , 92.579 ,    87.763     ,   86.400   ,     76.149     ,  99.346   , 35.792 ,   40.393   ,  95.719   ,   25.308
    fire_hood    , 82.319  , 90.982 ,    78.757     ,   71.015   ,     65.612     ,  98.451   , 26.955 ,   36.292   ,  89.867   ,   22.169
      mint       , 56.243  , 83.041 ,    63.734     ,   58.763   ,     65.108     ,  93.439   , 5.699  ,   16.554   ,  69.444   ,    9.024
     mounts      , 93.253  , 96.247 ,    85.945     ,   78.069   ,     72.555     ,  99.277   , 36.343 ,   40.381   ,  96.696   ,   25.298
       pcb       , 75.472  , 87.534 ,    72.220     ,   81.846   ,     75.798     ,  96.497   , 19.645 ,   28.192   ,  84.485   ,   16.409
  phone_battery  , 75.857  , 89.156 ,    77.579     ,   75.321   ,     65.283     ,  82.181   , 19.133 ,   28.436   ,  91.222   ,   16.575
   plastic_nut   , 79.424  , 88.042 ,    78.336     ,   68.217   ,     61.734     ,  98.850   , 25.341 ,   31.195   ,  94.360   ,   18.480
  plastic_plug   , 77.596  , 88.630 ,    74.664     ,   66.496   ,     61.457     ,  98.334   , 20.452 ,   26.792   ,  90.695   ,   15.468
 porcelain_doll  , 81.495  , 88.534 ,    76.004     ,   62.238   ,     60.159     ,  97.411   , 17.881 ,   27.822   ,  89.555   ,   16.159
    regulator    , 49.169  , 70.435 ,    48.666     ,   29.138   ,     43.855     ,  93.728   , 3.088  ,   6.993    ,  75.081   ,    3.623
rolled_strip_base, 97.745  , 98.710 ,    96.442     ,   98.114   ,     93.107     ,  99.647   , 32.801 ,   41.591   ,  98.820   ,   26.256
  sim_card_set   , 67.768  , 82.171 ,    79.514     ,   81.903   ,     76.165     ,  98.288   , 33.885 ,   41.618   ,  90.487   ,   26.277
     switch      , 86.156  , 93.953 ,    77.092     ,   83.009   ,     70.995     ,  94.385   , 26.067 ,   33.599   ,  87.974   ,   20.191
      tape       , 98.593  , 99.306 ,    92.159     ,   90.830   ,     80.702     ,  99.523   , 36.536 ,   42.851   ,  98.003   ,   27.267
  terminalblock  , 92.724  , 96.495 ,    88.744     ,   90.990   ,     81.863     ,  99.478   , 36.354 ,   40.734   ,  97.827   ,   25.576
   toothbrush    , 84.607  , 91.283 ,    79.596     ,   81.411   ,     76.981     ,  96.110   , 28.199 ,   35.916   ,  87.955   ,   21.889
       toy       , 68.723  , 81.541 ,    60.381     ,   69.420   ,     73.715     ,  92.758   , 4.794  ,   11.582   ,  78.706   ,    6.147
    toy_brick    , 69.044  , 80.717 ,    71.048     ,   62.718   ,     62.926     ,  97.210   , 18.666 ,   26.922   ,  84.155   ,   15.555
   transistor1   , 95.613  , 97.921 ,    92.114     ,   94.285   ,     87.548     ,  98.871   , 39.373 ,   42.085   ,  94.959   ,   26.650
     u_block     , 92.653  , 96.256 ,    86.213     ,   80.369   ,     70.560     ,  99.209   , 36.244 ,   43.760   ,  95.255   ,   28.008
       usb       , 79.551  , 88.561 ,    72.094     ,   74.319   ,     65.072     ,  96.262   , 24.207 ,   32.508   ,  83.800   ,   19.409
   usb_adaptor   , 53.548  , 73.582 ,    64.125     ,   55.775   ,     57.457     ,  96.218   , 10.773 ,   21.984   ,  82.193   ,   12.349
     vcpill      , 76.687  , 87.594 ,    82.871     ,   78.180   ,     69.110     ,  98.647   , 45.536 ,   49.589   ,  92.345   ,   32.969
  wooden_beads   , 87.844  , 95.016 ,    85.157     ,   84.038   ,     74.018     ,  97.704   , 33.487 ,   39.578   ,  87.580   ,   24.671
    woodstick    , 66.055  , 83.240 ,    74.116     ,   61.072   ,     54.432     ,  95.856   , 34.849 ,   42.772   ,  79.502   ,   27.204
     zipper      , 99.420  , 99.700 ,    95.563     ,   97.649   ,     91.719     ,  98.706   , 46.337 ,   49.745   ,  94.512   ,   33.107
       Avg       , 79.763  , 89.385 ,    78.220     ,   75.662   ,     70.577     ,  96.814   , 26.635 ,   33.689   ,  88.650   ,   20.687
