      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 72.809  , 85.667 ,    68.211     ,   60.537   ,     53.700     ,  95.973   , 21.367 ,   31.485   ,  78.111   ,   18.684
   bottle_cap    , 97.660  , 98.949 ,    89.405     ,   88.662   ,     77.345     ,  99.382   , 28.575 ,   34.508   ,  96.858   ,   20.852
 button_battery  , 72.678  , 87.026 ,    66.829     ,   74.462   ,     72.995     ,  95.146   , 24.540 ,   29.355   ,  79.903   ,   17.202
     end_cap     , 74.783  , 87.434 ,    72.544     ,   79.331   ,     74.627     ,  95.019   , 12.950 ,   22.224   ,  86.062   ,   12.501
     eraser      , 82.552  , 92.577 ,    86.179     ,   85.409   ,     75.027     ,  99.061   , 35.827 ,   40.683   ,  94.409   ,   25.536
    fire_hood    , 83.030  , 91.685 ,    78.738     ,   72.690   ,     64.619     ,  98.325   , 28.020 ,   36.738   ,  89.080   ,   22.502
      mint       , 57.424  , 86.366 ,    62.627     ,   61.057   ,     63.928     ,  91.489   , 5.641  ,   15.241   ,  65.291   ,    8.249
     mounts      , 92.260  , 94.419 ,    86.355     ,   78.686   ,     72.106     ,  98.902   , 33.837 ,   37.959   ,  94.672   ,   23.426
       pcb       , 79.230  , 89.713 ,    75.154     ,   84.324   ,     76.144     ,  96.540   , 19.843 ,   26.686   ,  85.456   ,   15.397
  phone_battery  , 76.238  , 89.571 ,    79.230     ,   76.031   ,     66.931     ,  79.625   , 21.811 ,   30.726   ,  91.565   ,   18.152
   plastic_nut   , 91.236  , 95.177 ,    82.739     ,   74.133   ,     66.171     ,  98.842   , 28.934 ,   34.508   ,  95.135   ,   20.852
  plastic_plug   , 69.876  , 84.276 ,    73.281     ,   64.715   ,     61.438     ,  98.297   , 21.760 ,   28.396   ,  90.275   ,   16.548
 porcelain_doll  , 92.057  , 95.140 ,    84.787     ,   77.527   ,     69.981     ,  98.758   , 28.807 ,   36.106   ,  94.795   ,   22.030
    regulator    , 54.792  , 72.814 ,    49.438     ,   30.853   ,     43.808     ,  91.896   , 2.125  ,   6.402    ,  70.324   ,    3.307
rolled_strip_base, 96.472  , 98.336 ,    93.206     ,   96.721   ,     89.410     ,  99.446   , 27.932 ,   37.290   ,  98.335   ,   22.918
  sim_card_set   , 93.294  , 95.385 ,    88.656     ,   90.732   ,     82.976     ,  98.570   , 47.582 ,   48.806   ,  91.587   ,   32.280
     switch      , 83.412  , 92.407 ,    75.838     ,   80.816   ,     71.960     ,  92.751   , 19.975 ,   27.512   ,  84.752   ,   15.950
      tape       , 97.830  , 99.046 ,    94.665     ,   94.309   ,     87.936     ,  99.577   , 41.666 ,   48.058   ,  98.351   ,   31.629
  terminalblock  , 94.979  , 98.046 ,    88.855     ,   91.466   ,     81.569     ,  99.170   , 36.903 ,   41.768   ,  96.861   ,   26.397
   toothbrush    , 76.948  , 87.898 ,    78.482     ,   80.811   ,     75.683     ,  96.226   , 26.110 ,   34.444   ,  88.446   ,   20.805
       toy       , 66.613  , 81.956 ,    61.781     ,   71.773   ,     73.503     ,  91.781   , 8.875  ,   16.614   ,  79.150   ,    9.060
    toy_brick    , 70.253  , 81.274 ,    72.509     ,   64.027   ,     64.115     ,  97.259   , 18.059 ,   26.176   ,  87.683   ,   15.059
   transistor1   , 92.040  , 96.136 ,    86.450     ,   90.206   ,     81.315     ,  98.558   , 35.991 ,   38.408   ,  93.627   ,   23.769
     u_block     , 88.277  , 94.044 ,    83.412     ,   76.906   ,     66.641     ,  99.270   , 36.672 ,   41.811   ,  95.597   ,   26.431
       usb       , 80.445  , 88.974 ,    71.965     ,   73.302   ,     64.643     ,  96.851   , 24.433 ,   33.226   ,  85.806   ,   19.923
   usb_adaptor   , 63.818  , 81.699 ,    65.731     ,   60.031   ,     58.668     ,  96.716   , 15.198 ,   24.407   ,  84.694   ,   13.900
     vcpill      , 82.798  , 90.979 ,    78.747     ,   73.389   ,     66.301     ,  97.911   , 33.676 ,   40.980   ,  88.738   ,   25.771
  wooden_beads   , 81.768  , 92.370 ,    81.831     ,   80.121   ,     71.286     ,  97.309   , 25.985 ,   30.941   ,  86.820   ,   18.302
    woodstick    , 75.420  , 87.287 ,    76.692     ,   65.699   ,     58.432     ,  95.497   , 36.317 ,   42.029   ,  80.781   ,   26.606
     zipper      , 99.459  , 99.726 ,    96.538     ,   98.138   ,     93.716     ,  98.798   , 48.988 ,   51.576   ,  95.649   ,   34.749
       Avg       , 81.348  , 90.546 ,    78.362     ,   76.562   ,     70.899     ,  96.432   , 26.613 ,   33.169   ,  88.294   ,   20.293
