      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 89.945  , 94.405 ,    74.114     ,   55.830   ,     61.125     ,  95.837   , 9.136  ,   16.897   ,  78.290   ,    9.228
   bottle_cap    , 96.242  , 98.437 ,    88.958     ,   87.096   ,     79.521     ,  99.320   , 21.334 ,   28.074   ,  96.657   ,   16.329
 button_battery  , 70.355  , 85.406 ,    75.258     ,   80.420   ,     76.483     ,  97.271   , 37.573 ,   41.029   ,  85.528   ,   25.809
     end_cap     , 83.586  , 91.055 ,    76.167     ,   81.305   ,     76.121     ,  95.406   , 11.706 ,   19.859   ,  85.318   ,   11.024
     eraser      , 81.251  , 91.847 ,    84.696     ,   83.796   ,     73.907     ,  98.880   , 24.150 ,   30.600   ,  93.216   ,   18.064
    fire_hood    , 81.809  , 90.038 ,    78.206     ,   70.244   ,     63.630     ,  98.105   , 18.854 ,   27.647   ,  87.116   ,   16.041
      mint       , 64.524  , 89.733 ,    65.741     ,   67.216   ,     64.256     ,  93.882   , 13.454 ,   25.538   ,  71.857   ,   14.638
     mounts      , 98.367  , 99.233 ,    87.315     ,   78.814   ,     73.862     ,  98.914   , 24.979 ,   31.943   ,  92.707   ,   19.007
       pcb       , 88.046  , 94.709 ,    83.902     ,   90.531   ,     80.306     ,  97.913   , 27.589 ,   32.769   ,  88.469   ,   19.595
  phone_battery  , 88.686  , 94.497 ,    87.911     ,   86.591   ,     76.566     ,  82.877   , 25.357 ,   34.661   ,  92.715   ,   20.964
   plastic_nut   , 90.996  , 95.307 ,    84.005     ,   76.823   ,     68.061     ,  98.947   , 26.183 ,   32.033   ,  94.910   ,   19.071
  plastic_plug   , 91.256  , 95.619 ,    85.173     ,   79.563   ,     72.295     ,  98.795   , 23.138 ,   30.051   ,  93.830   ,   17.682
 porcelain_doll  , 94.737  , 97.293 ,    88.178     ,   81.746   ,     74.368     ,  99.143   , 26.556 ,   33.763   ,  95.929   ,   20.310
    regulator    , 69.558  , 83.546 ,    60.428     ,   45.484   ,     44.170     ,  96.091   , 8.101  ,   17.453   ,  83.515   ,    9.561
rolled_strip_base, 98.406  , 99.233 ,    97.870     ,   98.901   ,     94.854     ,  99.510   , 23.159 ,   31.840   ,  98.347   ,   18.934
  sim_card_set   , 96.492  , 98.032 ,    94.565     ,   95.037   ,     88.443     ,  98.506   , 44.046 ,   44.204   ,  90.489   ,   28.373
     switch      , 91.277  , 96.063 ,    85.067     ,   88.105   ,     78.944     ,  95.951   , 29.058 ,   36.995   ,  89.942   ,   22.696
      tape       , 97.271  , 98.729 ,    95.183     ,   94.312   ,     87.111     ,  99.569   , 38.925 ,   46.278   ,  98.028   ,   30.105
  terminalblock  , 97.068  , 98.903 ,    92.559     ,   93.168   ,     87.159     ,  99.475   , 30.176 ,   35.730   ,  97.414   ,   21.751
   toothbrush    , 89.295  , 94.355 ,    83.333     ,   85.990   ,     77.731     ,  96.836   , 29.525 ,   36.852   ,  89.453   ,   22.588
       toy       , 85.394  , 92.256 ,    78.039     ,   84.032   ,     76.714     ,  94.019   , 16.696 ,   28.051   ,  84.077   ,   16.313
    toy_brick    , 69.688  , 83.073 ,    64.871     ,   57.740   ,     59.372     ,  94.605   , 12.542 ,   19.777   ,  74.646   ,   10.974
   transistor1   , 99.005  , 99.551 ,    93.894     ,   96.097   ,     89.164     ,  99.108   , 37.452 ,   39.682   ,  95.550   ,   24.752
     u_block     , 88.787  , 94.271 ,    86.471     ,   80.689   ,     70.524     ,  99.366   , 29.397 ,   38.900   ,  96.167   ,   24.147
       usb       , 88.726  , 93.755 ,    87.820     ,   88.020   ,     77.898     ,  98.439   , 30.709 ,   39.701   ,  91.496   ,   24.767
   usb_adaptor   , 88.326  , 94.578 ,    74.656     ,   68.651   ,     63.523     ,  97.053   , 14.495 ,   23.214   ,  84.407   ,   13.131
     vcpill      , 89.504  , 94.937 ,    81.836     ,   78.980   ,     68.976     ,  97.619   , 32.837 ,   41.276   ,  86.301   ,   26.005
  wooden_beads   , 83.091  , 93.092 ,    83.704     ,   82.835   ,     72.929     ,  97.251   , 23.811 ,   31.718   ,  85.580   ,   18.848
    woodstick    , 73.168  , 85.964 ,    76.476     ,   62.966   ,     56.825     ,  96.753   , 29.235 ,   36.795   ,  80.863   ,   22.545
     zipper      , 99.788  , 99.894 ,    98.050     ,   98.907   ,     94.548     ,  99.059   , 54.685 ,   58.163   ,  96.523   ,   41.007
       Avg       , 87.488  , 93.927 ,    83.148     ,   80.663   ,     74.313     ,  97.150   , 25.829 ,   33.050   ,  89.311   ,   20.142
