      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 92.298  , 95.647 ,    76.799     ,   66.339   ,     60.850     ,  95.643   , 19.436 ,   28.572   ,  76.515   ,   16.667
   bottle_cap    , 94.919  , 97.675 ,    86.751     ,   83.470   ,     78.541     ,  99.121   , 17.361 ,   24.566   ,  95.778   ,   14.003
 button_battery  , 76.521  , 88.660 ,    72.517     ,   79.480   ,     74.288     ,  96.395   , 34.409 ,   39.525   ,  82.109   ,   24.630
     end_cap     , 77.109  , 88.856 ,    73.847     ,   80.563   ,     75.050     ,  94.758   , 11.762 ,   21.078   ,  84.087   ,   11.780
     eraser      , 79.586  , 91.040 ,    84.778     ,   83.682   ,     72.768     ,  98.923   , 25.887 ,   33.294   ,  93.217   ,   19.972
    fire_hood    , 80.845  , 90.300 ,    77.329     ,   70.752   ,     62.474     ,  98.134   , 20.987 ,   28.549   ,  86.216   ,   16.651
      mint       , 63.941  , 89.359 ,    64.584     ,   64.391   ,     64.175     ,  93.204   , 9.837  ,   22.418   ,  67.451   ,   12.624
     mounts      , 97.522  , 98.871 ,    88.250     ,   81.311   ,     74.588     ,  98.923   , 26.153 ,   33.426   ,  92.356   ,   20.067
       pcb       , 82.633  , 92.119 ,    78.338     ,   86.626   ,     77.784     ,  96.622   , 17.713 ,   26.181   ,  85.376   ,   15.062
  phone_battery  , 86.637  , 94.225 ,    86.377     ,   85.844   ,     75.326     ,  79.756   , 21.326 ,   31.341   ,  91.224   ,   18.583
   plastic_nut   , 86.107  , 92.641 ,    80.774     ,   72.156   ,     64.550     ,  98.128   , 21.165 ,   28.486   ,  90.106   ,   16.609
  plastic_plug   , 79.886  , 89.733 ,    76.263     ,   69.562   ,     63.639     ,  98.192   , 18.515 ,   26.536   ,  90.193   ,   15.298
 porcelain_doll  , 92.322  , 95.688 ,    86.434     ,   79.604   ,     73.282     ,  98.902   , 25.794 ,   35.062   ,  95.045   ,   21.257
    regulator    , 62.685  , 79.119 ,    53.093     ,   37.341   ,     44.053     ,  93.475   , 3.049  ,   9.204    ,  74.352   ,    4.824
rolled_strip_base, 96.810  , 98.377 ,    94.094     ,   96.933   ,     90.711     ,  99.101   , 18.282 ,   27.296   ,  96.575   ,   15.805
  sim_card_set   , 94.754  , 96.971 ,    90.715     ,   92.135   ,     84.016     ,  98.472   , 38.839 ,   41.294   ,  89.545   ,   26.019
     switch      , 88.097  , 94.671 ,    80.670     ,   84.559   ,     75.178     ,  95.322   , 20.417 ,   28.278   ,  88.201   ,   16.467
      tape       , 96.886  , 98.554 ,    95.505     ,   94.932   ,     88.231     ,  99.551   , 34.517 ,   41.939   ,  97.901   ,   26.534
  terminalblock  , 94.383  , 97.656 ,    87.197     ,   89.332   ,     80.678     ,  99.169   , 29.536 ,   36.315   ,  96.243   ,   22.186
   toothbrush    , 79.080  , 89.090 ,    81.099     ,   82.759   ,     77.472     ,  96.377   , 28.049 ,   34.411   ,  88.184   ,   20.781
       toy       , 74.436  , 85.681 ,    69.409     ,   76.335   ,     74.653     ,  93.180   , 9.375  ,   18.436   ,  79.822   ,   10.154
    toy_brick    , 66.476  , 78.814 ,    63.155     ,   54.816   ,     59.422     ,  95.183   , 9.639  ,   16.763   ,  72.120   ,    9.148
   transistor1   , 96.088  , 98.074 ,    88.254     ,   91.702   ,     82.993     ,  98.930   , 34.802 ,   36.908   ,  94.705   ,   22.630
     u_block     , 88.560  , 93.863 ,    85.618     ,   78.745   ,     70.261     ,  99.275   , 26.727 ,   37.077   ,  95.931   ,   22.757
       usb       , 85.716  , 92.179 ,    80.901     ,   81.801   ,     71.440     ,  97.456   , 24.450 ,   33.587   ,  87.081   ,   20.183
   usb_adaptor   , 83.442  , 91.443 ,    74.310     ,   66.907   ,     63.589     ,  94.956   , 11.402 ,   19.049   ,  76.329   ,   10.527
     vcpill      , 83.677  , 91.391 ,    79.887     ,   75.089   ,     66.942     ,  97.907   , 33.250 ,   41.106   ,  87.540   ,   25.870
  wooden_beads   , 81.759  , 92.292 ,    81.628     ,   80.259   ,     71.046     ,  97.350   , 21.871 ,   30.266   ,  86.216   ,   17.832
    woodstick    , 75.710  , 86.869 ,    77.763     ,   65.654   ,     59.202     ,  96.120   , 29.915 ,   36.005   ,  80.048   ,   21.955
     zipper      , 99.735  , 99.868 ,    97.574     ,   98.715   ,     93.979     ,  98.929   , 45.594 ,   50.120   ,  96.012   ,   33.440
       Avg       , 84.621  , 92.324 ,    80.464     ,   78.393   ,     72.373     ,  96.582   , 23.002 ,   30.570   ,  87.216   ,   18.344
