      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 88.997  , 92.369 ,    75.221     ,   61.775   ,     60.256     ,  95.861   , 12.487 ,   21.164   ,  78.193   ,   11.834
   bottle_cap    , 96.786  , 98.546 ,    89.688     ,   86.871   ,     80.409     ,  99.448   , 22.617 ,   31.735   ,  97.072   ,   18.860
 button_battery  , 74.219  , 87.602 ,    70.491     ,   75.618   ,     74.748     ,  96.725   , 25.460 ,   30.748   ,  84.517   ,   18.167
     end_cap     , 85.155  , 91.868 ,    79.187     ,   83.797   ,     77.913     ,  96.066   , 13.559 ,   24.634   ,  88.858   ,   14.047
     eraser      , 88.706  , 95.041 ,    89.855     ,   89.061   ,     79.347     ,  99.491   , 34.244 ,   39.960   ,  96.686   ,   24.968
    fire_hood    , 80.645  , 89.557 ,    79.980     ,   73.090   ,     67.018     ,  98.660   , 26.898 ,   35.779   ,  90.271   ,   21.787
      mint       , 62.850  , 87.810 ,    64.631     ,   63.557   ,     64.358     ,  93.637   , 8.943  ,   19.285   ,  70.880   ,   10.672
     mounts      , 96.311  , 98.290 ,    89.644     ,   81.977   ,     76.352     ,  99.259   , 33.251 ,   39.833   ,  95.609   ,   24.869
       pcb       , 74.235  , 85.344 ,    74.201     ,   80.965   ,     77.536     ,  95.862   , 7.966  ,   16.376   ,  84.060   ,    8.918
  phone_battery  , 88.610  , 94.683 ,    86.106     ,   84.886   ,     74.636     ,  79.545   , 23.377 ,   32.816   ,  93.017   ,   19.629
   plastic_nut   , 86.755  , 93.106 ,    79.660     ,   69.241   ,     63.023     ,  98.267   , 19.786 ,   28.073   ,  90.723   ,   16.329
  plastic_plug   , 79.137  , 87.096 ,    78.479     ,   69.420   ,     65.545     ,  98.853   , 20.681 ,   28.945   ,  94.067   ,   16.922
 porcelain_doll  , 91.448  , 94.444 ,    83.945     ,   74.336   ,     69.049     ,  98.844   , 23.418 ,   33.426   ,  95.293   ,   20.067
    regulator    , 62.322  , 77.451 ,    58.912     ,   39.430   ,     44.187     ,  96.531   , 3.782  ,   9.709    ,  84.518   ,    5.102
rolled_strip_base, 98.397  , 99.238 ,    97.670     ,   98.800   ,     94.741     ,  99.609   , 30.764 ,   39.709   ,  98.429   ,   24.773
  sim_card_set   , 91.995  , 95.413 ,    89.926     ,   91.186   ,     83.149     ,  98.169   , 38.128 ,   43.716   ,  89.924   ,   27.972
     switch      , 62.646  , 80.748 ,    70.969     ,   72.824   ,     72.344     ,  93.154   , 13.896 ,   18.969   ,  88.045   ,   10.478
      tape       , 94.259  , 97.235 ,    95.513     ,   94.206   ,     86.701     ,  99.685   , 42.711 ,   47.701   ,  98.666   ,   31.321
  terminalblock  , 25.340  , 54.366 ,    68.891     ,   59.208   ,     76.883     ,  99.010   , 6.954  ,   15.430   ,  95.990   ,    8.360
   toothbrush    , 79.481  , 88.949 ,    81.035     ,   82.969   ,     76.652     ,  96.623   , 28.303 ,   35.096   ,  89.757   ,   21.282
       toy       , 63.332  , 77.833 ,    63.906     ,   68.775   ,     75.063     ,  93.671   , 3.672  ,   9.935    ,  80.080   ,    5.227
    toy_brick    , 62.915  , 76.228 ,    63.585     ,   54.910   ,     59.273     ,  96.584   , 14.410 ,   22.982   ,  79.677   ,   12.983
   transistor1   , 96.914  , 98.658 ,    91.092     ,   94.025   ,     84.723     ,  98.852   , 30.973 ,   36.731   ,  94.687   ,   22.498
     u_block     , 92.514  , 96.328 ,    89.291     ,   84.996   ,     74.923     ,  99.463   , 40.994 ,   46.493   ,  97.120   ,   30.287
       usb       , 79.103  , 87.021 ,    79.131     ,   77.947   ,     70.653     ,  96.701   , 20.337 ,   29.084   ,  85.613   ,   17.016
   usb_adaptor   , 71.329  , 83.931 ,    68.830     ,   58.120   ,     61.119     ,  94.492   , 7.574  ,   15.106   ,  75.328   ,    8.170
     vcpill      , 90.196  , 95.272 ,    87.370     ,   84.741   ,     74.733     ,  98.483   , 45.063 ,   48.804   ,  92.152   ,   32.279
  wooden_beads   , 80.438  , 91.758 ,    81.493     ,   79.823   ,     70.325     ,  97.716   , 25.757 ,   34.227   ,  87.134   ,   20.647
    woodstick    , 65.232  , 80.170 ,    75.490     ,   58.178   ,     56.604     ,  97.271   , 25.680 ,   34.219   ,  85.438   ,   20.641
     zipper      , 99.174  , 99.597 ,    96.003     ,   97.825   ,     91.977     ,  98.890   , 42.836 ,   47.501   ,  95.792   ,   31.148
       Avg       , 80.315  , 89.199 ,    80.007     ,   76.419   ,     72.808     ,  96.847   , 23.151 ,   30.606   ,  89.253   ,   18.575
