      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 90.713  , 95.469 ,    80.593     ,   72.571   ,     64.093     ,  96.417   , 23.761 ,   34.135   ,  79.251   ,   20.580
   bottle_cap    , 96.424  , 98.462 ,    81.812     ,   78.660   ,     74.656     ,  98.280   , 17.117 ,   28.519   ,  90.977   ,   16.631
 button_battery  , 77.374  , 88.658 ,    76.384     ,   81.896   ,     76.424     ,  97.882   , 47.632 ,   48.194   ,  82.471   ,   31.747
     end_cap     , 78.849  , 87.981 ,    72.071     ,   76.784   ,     75.230     ,  93.365   , 6.373  ,   12.840   ,  74.763   ,    6.860
     eraser      , 86.521  , 94.064 ,    86.645     ,   85.855   ,     74.833     ,  98.343   , 28.191 ,   35.713   ,  89.261   ,   21.738
    fire_hood    , 80.971  , 89.644 ,    76.659     ,   69.029   ,     62.164     ,  97.685   , 17.674 ,   28.428   ,  83.742   ,   16.569
      mint       , 73.893  , 93.252 ,    69.544     ,   70.473   ,     65.172     ,  93.623   , 14.150 ,   26.999   ,  69.410   ,   15.607
     mounts      , 95.758  , 98.061 ,    84.850     ,   74.862   ,     71.193     ,  98.652   , 27.299 ,   34.079   ,  91.353   ,   20.539
       pcb       , 85.692  , 92.885 ,    81.783     ,   88.230   ,     79.709     ,  97.727   , 25.732 ,   34.992   ,  87.012   ,   21.206
  phone_battery  , 94.337  , 97.399 ,    90.235     ,   88.788   ,     78.496     ,  92.842   , 23.596 ,   33.035   ,  91.057   ,   19.786
   plastic_nut   , 90.587  , 95.108 ,    82.791     ,   74.947   ,     66.187     ,  97.491   , 22.359 ,   29.076   ,  87.191   ,   17.011
  plastic_plug   , 87.260  , 93.889 ,    81.197     ,   75.570   ,     67.425     ,  96.912   , 13.687 ,   22.509   ,  83.693   ,   12.682
 porcelain_doll  , 94.275  , 96.794 ,    85.675     ,   77.026   ,     69.703     ,  98.588   , 22.791 ,   30.785   ,  93.093   ,   18.193
    regulator    , 67.940  , 83.168 ,    59.749     ,   43.345   ,     44.548     ,  94.417   , 7.518  ,   17.908   ,  75.730   ,    9.835
rolled_strip_base, 99.029  , 99.485 ,    97.908     ,   98.932   ,     94.923     ,  99.505   , 30.091 ,   39.734   ,  97.839   ,   24.792
  sim_card_set   , 97.618  , 98.491 ,    93.483     ,   93.124   ,     88.673     ,  95.775   , 27.979 ,   34.808   ,  77.595   ,   21.071
     switch      , 93.188  , 96.793 ,    86.852     ,   89.168   ,     80.010     ,  96.178   , 31.119 ,   40.277   ,  87.310   ,   25.217
      tape       , 98.688  , 99.407 ,    93.232     ,   92.110   ,     83.158     ,  99.201   , 31.766 ,   39.936   ,  95.749   ,   24.950
  terminalblock  , 96.720  , 98.724 ,    89.091     ,   88.831   ,     84.547     ,  98.828   , 22.254 ,   31.489   ,  94.591   ,   18.687
   toothbrush    , 83.933  , 91.805 ,    82.001     ,   84.929   ,     77.041     ,  96.593   , 29.066 ,   36.858   ,  87.986   ,   22.593
       toy       , 84.121  , 91.863 ,    76.789     ,   83.091   ,     75.981     ,  92.152   , 9.908  ,   19.978   ,  79.541   ,   11.098
    toy_brick    , 73.821  , 85.552 ,    69.853     ,   65.069   ,     61.211     ,  94.663   , 21.562 ,   29.716   ,  74.487   ,   17.451
   transistor1   , 96.683  , 98.342 ,    91.322     ,   93.718   ,     85.960     ,  98.741   , 34.675 ,   38.027   ,  93.288   ,   23.478
     u_block     , 94.271  , 97.302 ,    83.871     ,   78.141   ,     67.063     ,  98.598   , 32.533 ,   41.423   ,  89.276   ,   26.121
       usb       , 90.110  , 94.014 ,    85.782     ,   86.035   ,     76.738     ,  97.857   , 27.171 ,   36.583   ,  89.725   ,   22.386
   usb_adaptor   , 91.506  , 95.056 ,    76.834     ,   68.649   ,     65.225     ,  90.994   , 8.285  ,   17.508   ,  60.093   ,    9.594
     vcpill      , 87.613  , 94.120 ,    83.069     ,   81.345   ,     70.839     ,  97.381   , 44.628 ,   49.477   ,  82.544   ,   32.870
  wooden_beads   , 85.896  , 94.243 ,    82.808     ,   82.391   ,     72.537     ,  96.630   , 31.734 ,   38.593   ,  79.314   ,   23.911
    woodstick    , 75.233  , 87.217 ,    76.151     ,   64.645   ,     57.538     ,  95.544   , 37.736 ,   43.059   ,  77.463   ,   27.436
     zipper      , 99.864  , 99.931 ,    98.663     ,   99.168   ,     95.681     ,  99.071   , 51.610 ,   53.722   ,  96.166   ,   36.726
       Avg       , 88.296  , 94.239 ,    82.590     ,   80.246   ,     73.565     ,  96.664   , 25.667 ,   33.613   ,  84.732   ,   20.579
