      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 96.609  , 98.577 ,    75.790     ,   62.905   ,     67.416     ,  96.350   , 15.312 ,   21.977   ,  79.592   ,   12.345
   bottle_cap    , 96.078  , 98.489 ,    89.631     ,   89.243   ,     80.135     ,  99.267   , 26.916 ,   33.455   ,  96.088   ,   20.088
 button_battery  , 73.325  , 87.880 ,    76.336     ,   83.813   ,     79.767     ,  96.706   , 37.519 ,   41.910   ,  85.503   ,   26.510
     end_cap     , 76.162  , 84.618 ,    71.465     ,   75.400   ,     75.465     ,  93.157   , 9.443  ,   17.396   ,  81.968   ,    9.527
     eraser      , 79.006  , 91.865 ,    83.481     ,   85.830   ,     76.812     ,  98.915   , 27.366 ,   34.331   ,  93.141   ,   20.723
    fire_hood    , 82.480  , 91.728 ,    80.203     ,   77.514   ,     69.672     ,  98.305   , 17.804 ,   28.966   ,  85.944   ,   16.936
      mint       , 59.679  , 87.531 ,    67.864     ,   68.336   ,     67.170     ,  94.003   , 17.937 ,   27.878   ,  68.056   ,   16.196
     mounts      , 95.384  , 97.567 ,    84.901     ,   75.240   ,     72.619     ,  98.764   , 26.756 ,   33.617   ,  92.439   ,   20.204
       pcb       , 86.792  , 94.181 ,    75.948     ,   85.433   ,     77.674     ,  96.993   , 15.750 ,   20.930   ,  86.364   ,   11.688
  phone_battery  , 90.114  , 94.708 ,    88.685     ,   87.689   ,     76.489     ,  98.840   , 36.405 ,   42.844   ,  93.022   ,   27.262
   plastic_nut   , 90.360  , 95.263 ,    85.468     ,   79.682   ,     71.212     ,  99.267   , 37.319 ,   40.749   ,  95.682   ,   25.588
  plastic_plug   , 72.712  , 86.984 ,    74.918     ,   69.126   ,     63.912     ,  98.908   , 30.382 ,   36.747   ,  93.989   ,   22.509
 porcelain_doll  , 91.176  , 94.361 ,    86.123     ,   78.653   ,     76.349     ,  98.550   , 23.136 ,   30.475   ,  94.885   ,   17.977
    regulator    , 69.792  , 84.461 ,    54.384     ,   29.233   ,     41.919     ,  92.973   , 1.561  ,   3.911    ,  75.968   ,    1.995
rolled_strip_base, 99.510  , 99.786 ,    96.941     ,   98.668   ,     93.617     ,  99.541   , 25.916 ,   34.013   ,  98.573   ,   20.491
  sim_card_set   , 94.542  , 97.319 ,    93.616     ,   93.792   ,     86.413     ,  98.903   , 50.088 ,   51.006   ,  92.919   ,   34.234
     switch      , 94.281  , 97.221 ,    84.644     ,   87.892   ,     78.469     ,  93.940   , 33.514 ,   41.445   ,  85.836   ,   26.139
      tape       , 100.000 ,100.000 ,    96.682     ,   95.967   ,     89.209     ,  99.623   , 41.561 ,   46.578   ,  98.516   ,   30.359
  terminalblock  , 97.516  , 98.997 ,    90.456     ,   89.971   ,     86.311     ,  99.335   , 26.240 ,   30.697   ,  97.104   ,   18.131
   toothbrush    , 83.374  , 91.884 ,    82.695     ,   85.468   ,     79.825     ,  96.299   , 28.095 ,   35.427   ,  87.922   ,   21.527
       toy       , 84.750  , 92.101 ,    76.878     ,   83.416   ,     76.688     ,  93.961   , 16.740 ,   26.089   ,  82.632   ,   15.001
    toy_brick    , 71.958  , 81.351 ,    63.183     ,   60.463   ,     65.726     ,  95.392   , 10.758 ,   17.847   ,  78.174   ,    9.798
   transistor1   , 97.875  , 99.114 ,    95.830     ,   97.136   ,     91.327     ,  99.327   , 36.502 ,   38.395   ,  96.653   ,   23.759
     u_block     , 90.646  , 95.902 ,    82.786     ,   76.985   ,     66.667     ,  99.279   , 36.109 ,   43.332   ,  96.115   ,   27.658
       usb       , 88.235  , 92.937 ,    85.751     ,   83.898   ,     77.238     ,  98.496   , 32.413 ,   41.293   ,  93.248   ,   26.018
   usb_adaptor   , 87.601  , 95.213 ,    74.949     ,   70.993   ,     61.891     ,  96.838   , 13.511 ,   26.806   ,  82.786   ,   15.478
     vcpill      , 84.760  , 92.785 ,    80.655     ,   81.036   ,     68.241     ,  97.994   , 41.032 ,   48.307   ,  88.426   ,   31.845
  wooden_beads   , 77.338  , 90.268 ,    83.682     ,   80.601   ,     74.636     ,  97.511   , 27.479 ,   32.396   ,  86.993   ,   19.329
    woodstick    , 74.960  , 86.768 ,    72.760     ,   58.268   ,     56.881     ,  93.731   , 18.947 ,   26.092   ,  73.104   ,   15.003
     zipper      , 99.720  , 99.868 ,    97.283     ,   98.219   ,     92.694     ,  98.833   , 54.056 ,   55.900   ,  96.176   ,   38.793
       Avg       , 86.225  , 93.324 ,    81.799     ,   79.696   ,     74.748     ,  97.333   , 27.219 ,   33.694   ,  88.594   ,   20.770
