      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 90.237  , 95.891 ,    71.687     ,   56.834   ,     62.974     ,  95.871   , 9.098  ,   14.415   ,  76.893   ,    7.767
   bottle_cap    , 96.691  , 98.667 ,    90.037     ,   90.009   ,     81.787     ,  99.165   , 27.959 ,   33.168   ,  95.690   ,   19.881
 button_battery  , 71.977  , 86.327 ,    73.616     ,   81.551   ,     79.078     ,  95.647   , 27.109 ,   33.716   ,  82.820   ,   20.276
     end_cap     , 76.442  , 85.240 ,    69.944     ,   73.602   ,     75.836     ,  91.494   , 7.812  ,   16.474   ,  78.159   ,    8.976
     eraser      , 82.171  , 92.894 ,    85.344     ,   86.719   ,     77.397     ,  98.835   , 29.818 ,   35.788   ,  92.956   ,   21.794
    fire_hood    , 81.360  , 91.354 ,    79.533     ,   76.553   ,     67.704     ,  98.399   , 23.151 ,   32.193   ,  86.863   ,   19.184
      mint       , 59.809  , 88.362 ,    67.061     ,   66.955   ,     67.014     ,  93.935   , 14.216 ,   22.161   ,  67.600   ,   12.461
     mounts      , 91.340  , 94.511 ,    82.501     ,   71.443   ,     70.769     ,  98.423   , 26.990 ,   33.081   ,  92.649   ,   19.818
       pcb       , 79.375  , 89.025 ,    73.636     ,   82.457   ,     77.656     ,  94.660   , 6.355  ,   10.528   ,  79.836   ,    5.556
  phone_battery  , 97.794  , 98.928 ,    85.703     ,   83.379   ,     75.610     ,  98.356   , 29.453 ,   39.174   ,  91.910   ,   24.358
   plastic_nut   , 91.000  , 96.066 ,    82.496     ,   74.894   ,     68.085     ,  98.687   , 28.754 ,   39.112   ,  92.990   ,   24.310
  plastic_plug   , 74.469  , 86.443 ,    74.027     ,   66.247   ,     63.239     ,  98.731   , 29.484 ,   34.791   ,  93.037   ,   21.059
 porcelain_doll  , 90.645  , 93.658 ,    84.568     ,   73.336   ,     73.729     ,  98.041   , 16.660 ,   25.306   ,  93.081   ,   14.486
    regulator    , 73.197  , 85.151 ,    48.222     ,   27.041   ,     41.667     ,  89.873   , 1.041  ,   1.794    ,  68.274   ,    0.905
rolled_strip_base, 99.632  , 99.829 ,    96.873     ,   98.629   ,     94.118     ,  99.232   , 20.102 ,   25.665   ,  97.738   ,   14.722
  sim_card_set   , 92.667  , 96.803 ,    90.472     ,   91.461   ,     83.425     ,  98.923   , 48.452 ,   49.127   ,  92.415   ,   32.562
     switch      , 90.850  , 95.588 ,    79.741     ,   82.609   ,     76.298     ,  90.767   , 19.418 ,   27.098   ,  83.091   ,   15.673
      tape       , 99.308  , 99.681 ,    94.160     ,   93.963   ,     88.123     ,  99.356   , 37.220 ,   43.205   ,  97.355   ,   27.555
  terminalblock  , 98.758  , 99.475 ,    88.206     ,   89.613   ,     84.778     ,  99.113   , 30.141 ,   34.598   ,  96.448   ,   20.918
   toothbrush    , 89.910  , 94.914 ,    79.546     ,   82.972   ,     77.801     ,  95.512   , 23.029 ,   30.431   ,  85.684   ,   17.946
       toy       , 71.708  , 84.447 ,    68.458     ,   75.468   ,     73.611     ,  90.702   , 7.132  ,   12.941   ,  76.115   ,    6.918
    toy_brick    , 69.000  , 79.901 ,    63.001     ,   59.938   ,     65.878     ,  96.428   , 9.432  ,   17.493   ,  83.692   ,    9.585
   transistor1   , 96.792  , 98.463 ,    95.845     ,   96.790   ,     91.176     ,  99.128   , 33.736 ,   35.638   ,  95.883   ,   21.683
     u_block     , 90.051  , 95.550 ,    81.412     ,   75.030   ,     65.098     ,  99.175   , 36.140 ,   42.310   ,  95.679   ,   26.831
       usb       , 78.309  , 84.420 ,    76.696     ,   72.268   ,     69.779     ,  97.450   , 21.737 ,   33.252   ,  88.095   ,   19.942
   usb_adaptor   , 85.225  , 94.203 ,    70.068     ,   66.379   ,     58.824     ,  97.097   , 12.553 ,   23.203   ,  85.205   ,   13.124
     vcpill      , 75.640  , 87.759 ,    77.866     ,   77.280   ,     68.852     ,  97.759   , 37.635 ,   44.730   ,  88.021   ,   28.808
  wooden_beads   , 82.058  , 92.563 ,    87.201     ,   85.029   ,     77.249     ,  97.205   , 30.751 ,   34.711   ,  86.921   ,   21.001
    woodstick    , 71.800  , 85.649 ,    74.504     ,   60.427   ,     58.955     ,  94.264   , 17.964 ,   23.752   ,  77.043   ,   13.476
     zipper      , 99.920  , 99.960 ,    96.255     ,   97.890   ,     93.392     ,  98.597   , 51.948 ,   54.258   ,  95.227   ,   37.229
       Avg       , 84.938  , 92.391 ,    79.623     ,   77.226   ,     73.663     ,  96.694   , 23.843 ,   30.137   ,  87.246   ,   18.293
