      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 97.467  , 98.805 ,    71.018     ,   51.188   ,     63.807     ,  84.195   , 0.486  ,   1.450    ,  47.023   ,    0.730
   bottle_cap    , 78.472  , 77.316 ,    62.429     ,   49.427   ,     61.842     ,  81.181   , 0.529  ,   1.281    ,  44.295   ,    0.645
 button_battery  , 82.843  , 90.714 ,    64.594     ,   70.643   ,     77.431     ,  82.581   , 1.197  ,   2.555    ,  53.298   ,    1.294
     end_cap     , 63.502  , 80.890 ,    60.603     ,   65.110   ,     73.810     ,  75.369   , 0.272  ,   1.219    ,  32.272   ,    0.613
     eraser      , 78.165  , 85.389 ,    65.452     ,   58.393   ,     61.573     ,  79.952   , 0.743  ,   4.388    ,  40.036   ,    2.243
    fire_hood    , 90.400  , 95.428 ,    62.276     ,   45.720   ,     55.238     ,  80.307   , 0.222  ,   0.982    ,  44.376   ,    0.493
      mint       , 58.811  , 82.657 ,    50.790     ,   47.448   ,     64.923     ,  71.009   , 0.429  ,   2.587    ,  34.361   ,    1.311
     mounts      , 85.539  , 89.489 ,    61.621     ,   42.474   ,     56.448     ,  77.027   , 0.436  ,   2.139    ,  35.415   ,    1.081
       pcb       , 93.250  , 96.812 ,    75.590     ,   83.135   ,     77.239     ,  86.972   , 0.932  ,   2.389    ,  53.095   ,    1.209
  phone_battery  , 83.129  , 86.636 ,    70.988     ,   57.989   ,     67.619     ,  77.181   , 0.345  ,   1.760    ,  39.225   ,    0.888
   plastic_nut   , 80.960  , 88.507 ,    62.238     ,   42.823   ,     53.422     ,  69.184   , 0.151  ,   1.521    ,  30.397   ,    0.766
  plastic_plug   , 80.229  , 88.373 ,    61.235     ,   48.760   ,     57.768     ,  74.759   , 0.195  ,   1.268    ,  35.482   ,    0.638
 porcelain_doll  , 71.405  , 82.450 ,    55.343     ,   35.459   ,     50.980     ,  86.199   , 0.319  ,   0.854    ,  56.639   ,    0.429
    regulator    , 66.587  , 82.259 ,    53.931     ,   30.162   ,     42.358     ,  74.803   , 0.061  ,   0.131    ,  36.221   ,    0.065
rolled_strip_base, 88.930  , 89.684 ,    91.778     ,   93.424   ,     92.460     ,  74.926   , 0.473  ,   2.085    ,  37.606   ,    1.053
  sim_card_set   , 87.833  , 88.806 ,    73.524     ,   68.462   ,     75.375     ,  67.501   , 0.987  ,   5.875    ,  33.277   ,    3.026
     switch      , 86.438  , 91.693 ,    65.920     ,   67.531   ,     69.776     ,  78.273   , 1.683  ,   4.196    ,  46.237   ,    2.143
      tape       , 84.769  , 86.404 ,    66.493     ,   52.853   ,     57.895     ,  80.913   , 0.657  ,   4.525    ,  41.793   ,    2.315
  terminalblock  , 98.838  , 99.496 ,    81.625     ,   81.942   ,     79.319     ,  84.559   , 0.465  ,   1.306    ,  56.164   ,    0.657
   toothbrush    , 78.758  , 80.927 ,    69.439     ,   68.353   ,     74.609     ,  81.074   , 2.716  ,   5.615    ,  45.525   ,    2.889
       toy       , 68.208  , 74.965 ,    59.295     ,   65.127   ,     73.288     ,  75.579   , 0.274  ,   0.956    ,  34.300   ,    0.480
    toy_brick    , 70.458  , 81.680 ,    61.441     ,   56.688   ,     65.275     ,  73.943   , 0.358  ,   0.894    ,  32.036   ,    0.449
   transistor1   , 93.833  , 97.000 ,    75.499     ,   76.199   ,     76.957     ,  78.651   , 0.552  ,   1.578    ,  39.468   ,    0.795
     u_block     , 75.510  , 81.421 ,    61.364     ,   39.772   ,     53.623     ,  72.441   , 0.280  ,   1.438    ,  30.772   ,    0.724
       usb       , 84.804  , 93.272 ,    69.068     ,   59.463   ,     65.581     ,  82.603   , 0.570  ,   2.343    ,  47.999   ,    1.185
   usb_adaptor   , 87.198  , 91.909 ,    56.073     ,   43.408   ,     56.223     ,  64.954   , 0.097  ,   0.776    ,  25.047   ,    0.390
     vcpill      , 82.840  , 89.357 ,    62.951     ,   57.359   ,     60.927     ,  75.268   , 1.810  ,   4.839    ,  40.729   ,    2.479
  wooden_beads   , 84.609  , 90.318 ,    61.447     ,   52.306   ,     62.548     ,  79.250   , 0.404  ,   1.152    ,  41.070   ,    0.580
    woodstick    , 76.000  , 88.256 ,    62.512     ,   39.555   ,     48.555     ,  61.555   , 0.297  ,   2.542    ,  23.982   ,    1.287
     zipper      , 100.000 ,100.000 ,    88.736     ,   88.322   ,     87.805     ,  77.196   , 3.751  ,   8.911    ,  43.235   ,    4.663
       Avg       , 81.993  , 88.364 ,    66.176     ,   57.983   ,     65.489     ,  76.980   , 0.723  ,   2.452    ,  40.046   ,    1.251
