      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 87.990  , 95.090 ,    69.226     ,   54.724   ,     60.849     ,  95.469   , 7.904  ,   15.276   ,  75.123   ,    8.269
   bottle_cap    , 96.078  , 98.554 ,    89.680     ,   89.853   ,     81.818     ,  99.141   , 30.678 ,   35.336   ,  95.612   ,   21.460
 button_battery  , 71.977  , 86.361 ,    74.141     ,   81.354   ,     79.785     ,  95.422   , 28.365 ,   32.737   ,  82.393   ,   19.572
     end_cap     , 73.037  , 83.988 ,    67.603     ,   72.392   ,     76.277     ,  90.684   , 6.756  ,   15.564   ,  75.979   ,    8.438
     eraser      , 83.694  , 93.663 ,    87.756     ,   88.349   ,     79.646     ,  98.766   , 31.108 ,   37.105   ,  92.609   ,   22.779
    fire_hood    , 83.760  , 92.667 ,    80.247     ,   77.405   ,     68.103     ,  98.437   , 24.491 ,   32.386   ,  86.579   ,   19.322
      mint       , 64.019  , 90.615 ,    65.628     ,   63.842   ,     66.667     ,  93.344   , 9.480  ,   19.271   ,  66.119   ,   10.663
     mounts      , 93.260  , 96.505 ,    83.440     ,   73.701   ,     70.732     ,  98.289   , 26.548 ,   32.805   ,  92.498   ,   19.621
       pcb       , 71.125  , 84.687 ,    71.942     ,   80.695   ,     76.404     ,  94.088   , 5.581  ,   10.439   ,  77.112   ,    5.507
  phone_battery  , 98.121  , 99.072 ,    82.943     ,   79.377   ,     74.151     ,  98.005   , 24.278 ,   33.450   ,  90.228   ,   20.084
   plastic_nut   , 89.280  , 95.133 ,    81.278     ,   73.114   ,     65.198     ,  98.591   , 28.871 ,   37.841   ,  92.854   ,   23.336
  plastic_plug   , 73.652  , 88.121 ,    78.423     ,   72.245   ,     67.630     ,  98.753   , 32.810 ,   37.993   ,  93.216   ,   23.451
 porcelain_doll  , 87.949  , 91.330 ,    84.626     ,   71.889   ,     73.387     ,  97.730   , 15.899 ,   24.104   ,  91.688   ,   13.704
    regulator    , 71.074  , 84.491 ,    51.810     ,   29.682   ,     41.336     ,  89.320   , 1.364  ,   2.423    ,  65.989   ,    1.226
rolled_strip_base, 99.714  , 99.867 ,    96.631     ,   98.596   ,     94.188     ,  99.276   , 21.286 ,   26.741   ,  97.882   ,   15.434
  sim_card_set   , 81.208  , 88.293 ,    85.490     ,   85.087   ,     79.564     ,  98.879   , 41.627 ,   44.408   ,  92.045   ,   28.542
     switch      , 88.930  , 95.067 ,    76.345     ,   80.028   ,     73.364     ,  90.047   , 17.898 ,   25.765   ,  81.331   ,   14.788
      tape       , 98.038  , 98.958 ,    93.587     ,   93.215   ,     88.172     ,  99.277   , 34.446 ,   42.462   ,  97.057   ,   26.954
  terminalblock  , 95.553  , 98.039 ,    85.999     ,   88.153   ,     82.301     ,  98.856   , 28.547 ,   34.421   ,  95.623   ,   20.788
   toothbrush    , 89.502  , 93.908 ,    77.597     ,   80.589   ,     75.822     ,  94.828   , 19.682 ,   27.742   ,  83.551   ,   16.105
       toy       , 72.000  , 85.429 ,    65.531     ,   74.945   ,     73.703     ,  89.187   , 6.294  ,   10.899   ,  73.934   ,    5.764
    toy_brick    , 71.167  , 79.625 ,    67.171     ,   63.882   ,     66.667     ,  96.612   , 13.600 ,   21.828   ,  85.314   ,   12.251
   transistor1   , 97.958  , 99.128 ,    94.730     ,   96.189   ,     88.675     ,  98.933   , 33.877 ,   36.228   ,  95.036   ,   22.121
     u_block     , 92.219  , 96.492 ,    80.214     ,   75.582   ,     66.667     ,  99.041   , 36.814 ,   43.767   ,  95.166   ,   28.014
       usb       , 75.041  , 84.277 ,    72.404     ,   68.576   ,     66.818     ,  96.745   , 17.907 ,   28.481   ,  85.441   ,   16.605
   usb_adaptor   , 82.729  , 92.900 ,    67.724     ,   60.924   ,     57.884     ,  97.003   , 11.475 ,   21.553   ,  85.392   ,   12.078
     vcpill      , 70.440  , 85.236 ,    78.316     ,   77.992   ,     68.639     ,  97.607   , 35.295 ,   43.638   ,  87.643   ,   27.908
  wooden_beads   , 76.148  , 90.304 ,    84.858     ,   81.860   ,     76.506     ,  97.011   , 26.523 ,   31.218   ,  86.714   ,   18.496
    woodstick    , 73.400  , 87.714 ,    77.913     ,   67.609   ,     60.465     ,  94.306   , 21.913 ,   30.304   ,  78.018   ,   17.858
     zipper      , 98.840  , 99.463 ,    90.565     ,   94.655   ,     85.511     ,  98.194   , 47.994 ,   51.064   ,  93.691   ,   34.286
       Avg       , 83.597  , 91.833 ,    78.794     ,   76.550   ,     72.898     ,  96.395   , 22.977 ,   29.575   ,  86.395   ,   17.847
