      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 90.645  , 95.849 ,    70.632     ,   54.097   ,     62.963     ,  95.346   , 4.694  ,   8.732    ,  75.429   ,    4.565
   bottle_cap    , 96.895  , 98.737 ,    90.072     ,   89.763   ,     81.119     ,  99.194   , 28.798 ,   35.047   ,  95.852   ,   21.246
 button_battery  , 68.423  , 83.236 ,    74.516     ,   81.377   ,     79.846     ,  95.468   , 23.890 ,   29.056   ,  83.199   ,   16.997
     end_cap     , 74.319  , 86.739 ,    68.924     ,   74.166   ,     75.763     ,  91.194   , 8.329  ,   16.771   ,  77.262   ,    9.153
     eraser      , 79.688  , 92.248 ,    83.523     ,   85.977   ,     75.458     ,  98.737   , 27.782 ,   34.730   ,  92.198   ,   21.014
    fire_hood    , 82.520  , 92.369 ,    79.640     ,   75.757   ,     67.925     ,  98.308   , 18.754 ,   27.400   ,  85.923   ,   15.875
      mint       , 63.021  , 88.595 ,    64.436     ,   64.761   ,     65.983     ,  93.519   , 10.488 ,   18.366   ,  67.849   ,   10.111
     mounts      , 91.258  , 94.388 ,    83.632     ,   74.208   ,     70.336     ,  98.273   , 23.899 ,   32.035   ,  91.649   ,   19.072
       pcb       , 83.500  , 91.338 ,    71.010     ,   80.594   ,     76.138     ,  94.167   , 3.649  ,   7.539    ,  78.647   ,    3.917
  phone_battery  , 92.157  , 96.000 ,    83.162     ,   82.130   ,     71.554     ,  98.297   , 30.204 ,   38.530   ,  90.670   ,   23.862
   plastic_nut   , 90.560  , 95.866 ,    82.165     ,   74.679   ,     65.863     ,  98.611   , 28.406 ,   36.259   ,  92.683   ,   22.144
  plastic_plug   , 78.881  , 90.618 ,    76.162     ,   69.738   ,     64.820     ,  98.674   , 27.851 ,   35.076   ,  93.041   ,   21.268
 porcelain_doll  , 89.542  , 91.242 ,    85.365     ,   73.415   ,     73.770     ,  98.081   , 17.497 ,   26.567   ,  93.019   ,   15.319
    regulator    , 72.957  , 85.745 ,    46.587     ,   28.163   ,     41.991     ,  90.306   , 1.085  ,   1.810    ,  70.236   ,    0.913
rolled_strip_base, 99.265  , 99.664 ,    96.441     ,   98.410   ,     93.281     ,  99.203   , 19.468 ,   25.768   ,  97.652   ,   14.789
  sim_card_set   , 95.708  , 98.119 ,    91.147     ,   92.022   ,     83.146     ,  98.926   , 48.528 ,   49.760   ,  92.276   ,   33.121
     switch      , 89.502  , 95.156 ,    78.769     ,   81.962   ,     76.404     ,  90.126   , 14.579 ,   22.053   ,  82.155   ,   12.393
      tape       , 98.808  , 99.440 ,    93.966     ,   93.581   ,     87.879     ,  99.433   , 37.884 ,   45.019   ,  97.668   ,   29.048
  terminalblock  , 97.957  , 99.200 ,    87.515     ,   88.097   ,     84.455     ,  99.065   , 25.156 ,   30.986   ,  96.307   ,   18.334
   toothbrush    , 83.824  , 91.664 ,    77.045     ,   80.736   ,     76.596     ,  94.969   , 20.694 ,   27.432   ,  84.418   ,   15.897
       toy       , 77.500  , 83.623 ,    69.905     ,   77.650   ,     73.840     ,  91.428   , 8.739  ,   16.477   ,  77.940   ,    8.978
    toy_brick    , 64.833  , 77.037 ,    61.881     ,   58.098   ,     66.260     ,  95.565   , 8.646  ,   17.161   ,  81.137   ,    9.386
   transistor1   , 98.042  , 99.120 ,    95.451     ,   96.775   ,     91.346     ,  99.051   , 31.735 ,   35.638   ,  95.601   ,   21.683
     u_block     , 82.908  , 91.320 ,    79.891     ,   71.978   ,     63.787     ,  99.131   , 28.614 ,   33.375   ,  95.807   ,   20.030
       usb       , 77.982  , 87.517 ,    78.985     ,   75.908   ,     70.388     ,  96.870   , 17.813 ,   27.853   ,  86.812   ,   16.180
   usb_adaptor   , 86.634  , 94.473 ,    69.569     ,   65.402   ,     59.551     ,  96.514   , 11.126 ,   19.720   ,  82.365   ,   10.938
     vcpill      , 79.920  , 90.757 ,    76.113     ,   76.962   ,     66.133     ,  97.441   , 32.427 ,   39.460   ,  86.910   ,   24.580
  wooden_beads   , 76.913  , 89.986 ,    84.809     ,   82.465   ,     76.796     ,  96.957   , 26.035 ,   31.872   ,  86.323   ,   18.957
    woodstick    , 77.360  , 88.495 ,    75.406     ,   64.124   ,     59.524     ,  94.658   , 17.181 ,   21.783   ,  78.767   ,   12.223
     zipper      , 99.880  , 99.940 ,    97.102     ,   98.310   ,     94.196     ,  98.739   , 54.121 ,   54.910   ,  95.932   ,   37.846
       Avg       , 84.713  , 92.283 ,    79.127     ,   77.044   ,     73.237     ,  96.542   , 21.936 ,   28.240   ,  86.858   ,   16.995
