      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 92.892  , 97.176 ,    74.843     ,   62.667   ,     64.881     ,  96.066   , 13.597 ,   20.513   ,  77.400   ,   11.429
   bottle_cap    , 96.732  , 98.730 ,    90.916     ,   91.034   ,     82.877     ,  99.209   , 31.078 ,   35.648   ,  95.888   ,   21.690
 button_battery  , 68.137  , 84.935 ,    74.432     ,   82.203   ,     79.608     ,  95.710   , 29.830 ,   35.945   ,  83.215   ,   21.910
     end_cap     , 73.798  , 82.571 ,    68.714     ,   71.881   ,     76.173     ,  91.729   , 8.059  ,   16.467   ,  78.544   ,    8.972
     eraser      , 84.696  , 94.047 ,    86.910     ,   88.360   ,     78.182     ,  98.909   , 31.004 ,   36.574   ,  93.381   ,   22.380
    fire_hood    , 83.160  , 92.352 ,    79.699     ,   76.148   ,     67.143     ,  98.453   , 19.876 ,   30.195   ,  86.892   ,   17.782
      mint       , 57.422  , 87.804 ,    66.870     ,   67.290   ,     67.681     ,  93.990   , 14.787 ,   24.340   ,  68.105   ,   13.857
     mounts      , 92.688  , 95.843 ,    83.322     ,   74.476   ,     69.617     ,  98.534   , 27.091 ,   33.115   ,  93.686   ,   19.843
       pcb       , 78.833  , 88.320 ,    72.826     ,   81.069   ,     78.022     ,  94.859   , 6.674  ,   11.900   ,  79.938   ,    6.326
  phone_battery  , 92.402  , 96.152 ,    84.300     ,   82.293   ,     73.926     ,  98.377   , 31.396 ,   39.336   ,  91.367   ,   24.484
   plastic_nut   , 91.360  , 96.250 ,    83.848     ,   75.752   ,     67.593     ,  98.965   , 33.104 ,   40.920   ,  94.458   ,   25.723
  plastic_plug   , 73.284  , 87.069 ,    73.991     ,   67.765   ,     64.407     ,  98.712   , 30.290 ,   35.578   ,  93.032   ,   21.638
 porcelain_doll  , 92.402  , 94.847 ,    85.008     ,   74.008   ,     74.603     ,  98.018   , 16.866 ,   25.870   ,  92.754   ,   14.856
    regulator    , 73.237  , 86.171 ,    50.523     ,   28.514   ,     41.901     ,  90.781   , 1.175  ,   1.821    ,  70.799   ,    0.919
rolled_strip_base, 99.592  , 99.802 ,    96.536     ,   98.494   ,     93.725     ,  99.264   , 19.182 ,   25.842   ,  97.802   ,   14.838
  sim_card_set   , 93.500  , 97.129 ,    92.009     ,   92.539   ,     85.039     ,  98.966   , 47.844 ,   48.144   ,  92.842   ,   31.704
     switch      , 93.096  , 96.611 ,    82.299     ,   85.131   ,     77.184     ,  92.183   , 23.057 ,   30.392   ,  83.739   ,   17.919
      tape       , 99.808  , 99.909 ,    94.595     ,   94.200   ,     90.370     ,  99.439   , 39.319 ,   45.268   ,  97.695   ,   29.256
  terminalblock  , 97.997  , 99.153 ,    89.555     ,   91.036   ,     85.185     ,  99.187   , 30.755 ,   36.295   ,  96.861   ,   22.171
   toothbrush    , 89.992  , 94.846 ,    80.590     ,   84.239   ,     77.419     ,  95.603   , 24.166 ,   30.688   ,  85.918   ,   18.125
       toy       , 75.833  , 87.862 ,    67.982     ,   75.718   ,     74.153     ,  90.454   , 5.949  ,   13.530   ,  75.760   ,    7.256
    toy_brick    , 66.958  , 78.884 ,    65.121     ,   59.906   ,     68.220     ,  96.400   , 10.704 ,   19.148   ,  83.893   ,   10.588
   transistor1   , 98.208  , 99.257 ,    95.747     ,   96.990   ,     90.073     ,  99.159   , 34.057 ,   36.394   ,  96.103   ,   22.245
     u_block     , 92.772  , 96.549 ,    82.255     ,   77.400   ,     66.667     ,  99.198   , 36.610 ,   44.598   ,  95.827   ,   28.699
       usb       , 80.964  , 87.091 ,    77.816     ,   75.141   ,     69.231     ,  97.635   , 23.046 ,   33.562   ,  88.324   ,   20.165
   usb_adaptor   , 91.264  , 96.463 ,    72.565     ,   68.434   ,     61.202     ,  97.239   , 13.420 ,   24.549   ,  86.449   ,   13.992
     vcpill      , 78.320  , 89.583 ,    78.815     ,   79.182   ,     68.362     ,  97.887   , 39.845 ,   45.570   ,  88.338   ,   29.509
  wooden_beads   , 82.823  , 93.188 ,    86.315     ,   84.792   ,     76.190     ,  97.187   , 28.271 ,   33.417   ,  87.072   ,   20.061
    woodstick    , 72.520  , 86.393 ,    73.890     ,   60.388   ,     56.557     ,  94.498   , 19.588 ,   26.036   ,  77.757   ,   14.966
     zipper      , 100.000 ,100.000 ,    96.430     ,   97.962   ,     93.860     ,  98.597   , 53.316 ,   53.850   ,  95.224   ,   36.845
       Avg       , 85.490  , 92.833 ,    80.291     ,   78.167   ,     74.002     ,  96.840   , 24.799 ,   31.184   ,  87.635   ,   19.005
